18,MAHARASHTRA,177,"235,212.75
(238,989.52)
{263,997.81}","1,36,456.61"
19,MANIPUR,32,"25,355.56
(23,343.00)
{33,267.37}","19,554.67"
20,MEGHALAYA,15,"6,583.27
(6,574.29)
{6,528.65}","3,555.45"
21,MIZORAM,17,"14,519.38
(13,013.38)
{18,688.72}","16,133.12"
22,MULTI STATE,51,"333,913.59
(338,914.31)
{352,924.44}","2,43,139.16"
23,NAGALAND,30,"15,476.91
(16,825.59)
{16,524.56}","9,021.07"
24,ODISHA,79,"149,765.57
(151,845.86)
{154,533.92}","64,807.08"
25,PUNJAB,38,"37,743.85
(38,226.32)
{38,643.81}","14,813.37"
26,RAJASTHAN,65,"138,451.86
(166,631.81)
{167,672.73}","91,740.84"
27,SIKKIM,21,"20,872.24
(25,371.63)
{26,215.20}","18,481.26"
28,TAMIL NADU,63,"92,087.08
(98,096.10)
{103,639.15}","27,057.19"
29,TELANGANA,52,"29,124.48
(29,461.83)
{31,449.35}","14,352.84"
30,TRIPURA,14,"7,910.17
(7,947.06)
{8,032.54}","1,230.63"
31,UTTAR PRADESH,128,"212,871.97
(218,361.06)
{224,779.80}","1,10,082.09"
32,UTTARAKHAND,31,"58,781.06
(63,618.31)
{62,977.39}","46,271.73"
33,WEST BENGAL,58,"79,080.16
(83,881.33)
{91,512.25}","47,633.12"
,Total,1670,"2,793,673.76
(2,909,349.23)
{3,104,364.43}","16,81,479.95"
