Sl. No.,Sector,Projects,"Cost
Original
(Revised)*
{Anticipated}
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,CIVIL AVIATION,38,"26,718.18
(27,878.25)
{30,487.46}","18,038.38"
2,COAL,116,"187,533.87
(192,077.91)
{196,907.16}","67,974.52"
3,DEPARTMENT OF HIGHER EDUCATION,20,"9,680.92
(10,072.78)
{10,271.25}","7,214.67"
4,DPIIT,2,"24,857.00
(31,457.00)
{32,085.00}","16,231.95"
5,FINANCE,2,"577.27
(577.27)
{569.04}",399.67
6,HEALTH AND FAMILY WELFARE,7,"7,150.98
(7,459.11)
{7,194.19}","4,974.49"
7,HOME AFFAIRS,3,"1,663.54
(2,539.11)
{2,539.11}","2,209.10"
8,MINES,8,"7,559.78
(9,356.73)
{9,845.57}","6,076.89"
9,PETROLEUM,102,"415,375.80
(466,585.36)
{476,738.57}","2,47,728.10"
10,POWER,105,"376,149.61
(399,127.37)
{454,133.11}","2,30,429.15"
11,RAILWAYS,203,"580,517.44
(570,567.02)
{600,296.37}","4,05,391.57"
12,ROAD TRANSPORT AND HIGHWAYS,923,"730,133.91
(757,547.67)
{768,280.94}","3,87,153.65"
13,SHIPPING AND PORTS,1,"5,369.18
(5,061.15)
{5,061.15}","3,472.54"
14,STEEL,20,"16,297.20
(20,228.73)
{20,228.73}","8,030.85"
15,TELECOMMUNICATIONS,6,"26,961.69
(26,949.89)
{26,949.89}","9,777.17"
16,URBAN DEVELOPMENT,24,"253,593.42
(258,103.77)
{271,961.41}","1,88,202.04"
