,AGENCY_NAME,,AGENCY_NAME_SHORT,
PAWAN HANS HELICOPTERTERS LTD.,,,PAWAN HANS HELI,
POWER GRID CORPORATION OF INDIA LIMITED,,,PGCIL,
PORT TRUST,,,PORT TRUST,
Polavaram Project Authority,,,PPA,
RASHTRIYA CHEMICAL & FERTILISER LIMITED,,,RCF,
RAILWAY ELECTRIFICATION,,,RE,
RASTRIYA ISPAT NIGAM LIMITED,,,RINL,
RAIL INDIA TECHNICAL AND ECONOMIC SERVICE,,,RITES,
RITES OF HIGHER EDUCATION,,,RITES OF HIGHER,
RAIL VIKAS NIGAM LTD.,,,RVNL,
SIGNALLING & TELECOMMUNICATIONS,,,S&T,
STEEL AUTHORITY OF INDIA LIMITED (SAIL),,,SAIL,
SINGARENI COLLIERS COMPANY LIMITTED,,,SCCL,
SOUTH CENTRAL RAILWAY,,,SCR,
SOUTH-EASTERN COAL FIELDS LIMITED,,,SECL,
SOUTH EAST CENTRAL RAILWAY,,,SECR,
SOUTH EASTERN RAILWAY,,,SER,
SER(GC) GAUGE CONVERSION,,,SER(GC,
SHIPPING CRP. OF INDIA,,,SHIPP.,
SATLUJ JAL VIDYUT NIGAM LIMITED,,,SJVN,
SOUTHERN RAILWAY,,,SR,
SOUTH WESTERN RAILWAY,,,SWR,
Sikkim University,,,Sikkim Universi,
THDC INDIA LIMITED,,,THDCIL,
TUTICORIN PORT TRUST,,,TUTICORIN,
URANIUM CORPORATION OF INDIA LIMITED,,,UCIL,
URBAN DEVELOPMENT,,,UD,
Uttarakhand Pey Jal Nigam,,,UKJalNigam,
Uttar Pradesh Jal Nigam,,,UPJalNigam,
VISAKHAPATNAM PORT TRUST,,,VPT,
Varanasi Smart City,,,Varanasi Smart,
WAPCOS,,,WAPCOS,
WESTERN COAL FIELDS LIMITED,,,WCL,
WEST CENTRAL RAILWAY,,,WCR,
WESTERN RAILWAY,,,WR,
WORKSHOPS & PRODUCTION UNIT,,,WS&PU,
