Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
11,Gujarat,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,2,"1668.1
1914.1",984.70
,,Ministry of Coal,Electricity Generation,4,"5421.78
5421.78",2566.37
,,Ministry of Health & Family Welfare,Healthcare,3,"1845
2477.48",2165.58
,,Ministry of Housing & Urban Affairs,Real Estate,1,"539
539",599.76
,,,Urban Public Transport,2,"22793.32
24944.9",21450.30
,,Ministry of Labour and Employment,Healthcare,2,"763.99
763.99",107.55
,,Ministry of Petroleum & Natural Gas,Energy Storage,3,"19472.86
19420.4",15762.72
,,,Oil & Gas,11,"32704.12
32400",24888.12
,,"Ministry of Ports, Shipping and Waterways",Shipping,2,"4414.64
4455.25",2393.50
,,,"Tourism, Hospitality & Wellness",1,"573
1238.05",614.91
,,Ministry of Power,Electricity Generation,1,"339.35
339.35",370.00
,,,Transmission & Distribution,15,"69416.71
69416.7",14254.80
,,Ministry of Railways,Railways,27,"189399.71
267208",239144.30
,,Ministry of Road Transport & Highways,Roads & Highways,46,"50009.07
56623.3",25864.80
,,,Total,123,425591.21,388320.33
12,Haryana,"Department for Promotion of Industry &
Internal Trade",Logistics Infrastructure,1,"763
763",430.00
,,Ministry of Health & Family Welfare,Healthcare,1,"1299
1646.43",651.42
,,Ministry of Housing & Urban Affairs,Urban Public Transport,2,"11683.71
11683.7",165.10
,,,Waste & Water,1,"278.01
278.01",228.49
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"9028
9028",7160.82
,,,Oil & Gas,6,"46284.07
49955.1",36928.14
,,Ministry of Power,Transmission & Distribution,2,"11326
11326",2759.57
,,Ministry of Railways,Railways,4,"53464
126368",125791.51
,,Ministry of Road Transport & Highways,Roads & Highways,24,"32523.29
35571.1",13971.95
,,,Total,42,166649.08,188087.00
13,Himachal Pradesh,Department of Higher Education,Education,3,"811.15
921.89",682.18
,,Ministry of Power,Electricity Generation,3,"5113.04
11168.7",4115.64
,,Ministry of Railways,Railways,3,"17005
17005.1",10532.56
,,Ministry of Road Transport & Highways,Roads & Highways,25,"22698.11
26851.5",9814.17
,,,Total,34,45627.3,25144.55
14,Jammu and Kashmir,Department of Higher Education,Education,1,"424.93
500.91",484.52
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"861.37
861.37",319.50
,,Ministry of Health & Family Welfare,Healthcare,1,"1828
2160.84",1545.05
,,Ministry of Petroleum & Natural Gas,Oil & Gas,2,"1059.9
1059.9",306.82
,,Ministry of Power,Electricity Generation,4,"22207.77
27945.1",15983.32
,,,Transmission & Distribution,1,"218.6
218.6",3.72
,,Ministry of Road Transport & Highways,Roads & Highways,37,"33781.46
33862.9",13255.67
,,,Total,47,60382.03,31898.60
15,Jharkhand,Department of Telecommunications,Telecommunication,3,"7147.17
7147.17",2535.97
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"5430.04
12010.3",6172.77
,,Ministry of Coal,Coal,28,"50047.42
49811.8",10660.97
,,,Railways,1,"1799.64
2564.34",1713.19
,,Ministry of Health & Family Welfare,Healthcare,2,"500
958.9",334.00
,,Ministry of Housing & Urban Affairs,Waste & Water,3,"654.14
654.14",403.16
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"10228
11407",10912.42
