Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Actual Date of Completion
(Orignal/Target DoC)
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
,Ministry of Housing & Urban Affairs,,,,,
,Waste & Water,,,,,
1,"Upgradation of Sewerage system in Gandhinagar City
(ministry of housing and urban affairs)
707267",Gujarat,"07/2020
(03/2021)","03/2026
(06/2023)
(-)","200
(-)",100
2,"Sewerage Management Scheme Part-3 Implementation
(Ministry of Housing & Urban Affairs)
702735",Haryana,"03/2017
(10/2018)","04/2026
(03/2023)
(04/2026)","213.19
(-)",180.32
3,"24/7 water supply under AMRUT for Davanagere
(Ministry of Housing & Urban Affairs)
702764",Karnataka,"11/2016
(01/2018)","05/2026
(03/2023)
(05/2026)","174.96
(-)",171.6
4,"Jabalpur Sewerage Management and Treatment Infrastructure Project
(Ministry of Housing & Urban Affairs)
702798",Madhya Pradesh,"10/2018
(12/2017)","04/2026
(03/2023)
(04/2026)","362.31
(-)",332.05
,Total (4),,,,950.46,783.97
,Ministry of Labour and Employment,,,,,
,Healthcare,,,,,
5,"Construction of 100 Bedded ESIC Hospital building and 32 Nos Residential
Quarters at Vallam Vadangal, SIPCOT, Sriperumbudur
(Employee's State Insurance Company [ESIC])
612178",Tamil Nadu,"02/2015
(03/2023)","05/2026
(06/2025)
(05/2026)","152.95
(177.01)",130.22
,Total (1),,,,152.95,130.22
,Ministry of Power,,,,,
,Transmission & Distribution,,,,,
6,"Transmission System for Evacuation of Power from potential Renewable Energy
zone in Khavda Area of Gujarat under Phase IV [7 GW] Part E3
(Power Grid Corporation of India Limited [POWERGRID])
612151",Gujarat,"07/2023
(07/2023)","04/2026
(07/2025)
(04/2026)","334
(-)",334
7,"Transmission system for evacuation of power from REZ in Rajasthan 20GW
under Phase-III Part E1
(Power Grid Corporation of India Limited [POWERGRID])
611951",Rajasthan,"12/2021
(08/2023)","04/2026
(02/2025)
(04/2026)","688.74
(-)",688.74
,Total (2),,,,1022.74,1022.74
,Ministry of Railways,,,,,
,Railways,,,,,
8,"Pune - Miraj-Londa [467 Kilometres]
(Central Railway)
705503",Maharashtra,"06/2016
(06/2016)","NA
(02/2025)
(08/2025)","4027.53
(4872.52)",4924.05
,Total (1),,,,4027.53,4924.05
,Ministry of Road Transport & Highways,,,,,
,Roads & Highways,,,,,
9,"Flyover at Km.544.650 including ROB, Service Roads ,Footpath for RCC drains
on urban link to Nagpur -Raipur road Pardi octroi Naka to Itwari
(National Highways Authority of India [NHAI])
618555",Maharashtra,"12/2015
(03/2016)","NA
(03/2019)
(04/2026)","1097.81
(758.4)",316.23
,Total (1),,,,1097.81,316.23
