Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Ministry of Health & Family Welfare,,,,,,
,Healthcare,,,,,,
46,"Establishment of new GMC Gangtok
(Medical Education, Ministry of Health and Family Welfare)
(707039)",Sikkim,"10/2018
(12/2018)","12/2026
(-)","250
(635.21)",666.21,92
,Total (1),,,,250,666.21,
,Ministry of Labour and Employment,,,,,,
,Healthcare,,,,,,
47,"Construction of 200 bedded ESIC Hospital with 62 Nos Staff quarters , Beltola
(Employee's State Insurance Company [ESIC])
(612201)",Assam,"12/2017
(10/2021)","04/2025
(06/2026)","143.23
(154.75)",130.08,98
,Total (1),,,,143.23,130.08,
,Ministry of Railways,,,,,,
,Railways,,,,,,
48,"Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km
(Northeast Frontier Railway [NFR])
(705572)",Assam,"09/2016
(09/2016)","03/2026
(03/2026)","4060
(4961)",3797.35,95.13
49,"Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh
(Central Organisation for Railway Electrification [CORE])
(706922)",Assam,"09/2020
(09/2018)","09/2020
(06/2024)","890.36
(889.36)",391.73,89
50,"Mariani-Jorhat, Tinsukia-Dangri and Makum -TirapTrack Electrification Project
(GM/C/ NFR)
(706940)",Assam,"09/2018
(01/2022)","05/2024
(-)","183.99
(183.99)",0,0
51,"Harmuty-Murkongselek Branch Line Electrification Project
(GM/C/ NFR)
(706942)",Assam,"09/2018
(01/2022)","05/2024
(-)","237.52
(237.52)",0,0
52,"Furkating-New Tinsukia[194 Km]
(Northeast Frontier Railway [NFR])
(618986)",Assam,"09/2025
(09/2025)","06/2029
(-)","3633.58
(3633.58)",0,0
53,"Jiribam-Imphal new line project
(Northeast Frontier Railway [NFR])
(705391)",Manipur,"03/2013
(12/2007)","12/2026
(06/2029)","14323
(21885.9)",16020.78,72.1
54,"Byrnihat-Shillong New Rail Line- 108 km
(Northeast Frontier Railway [NFR])
(705396)",Meghalaya,"04/2011
(03/2010)","03/2021
(03/2027)","8324.28
(8342.28)",266.12,2.04
55,"Murkongselek-Pasighat
(Northeast Frontier Railway [NFR] - II)
(705401)","Multi-States (Arunachal
Pradesh, Assam)","02/2011
(03/2023)","03/2025
(12/2026)","435
(1250)",853,68
56,"Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km]
(Northeast Frontier Railway [NFR] - II)
(705392)","Multi-States (Assam,
Nagaland)","08/2015
(02/2016)","03/2025
(12/2029)","6663
(6663)",6282.3,43
57,"Tetlia-Byrnihat New Railway Line
(Northeast Frontier Railway [NFR])
(705394)","Multi-States
(Meghalaya, Assam)","08/2010
(03/2007)","11/2011
(06/2027)","1304.62
(1304.62)",1254.47,86.16
58,"Lumding Furkating Doubling Project 140 km
(Northeast Frontier Railway [NFR])
(616701)","Multi-States (Nagaland,
Assam)","02/2024
(01/2025)","02/2028
(-)","2123.7
(2123.7)",121.34,10
59,"Sivok-Rangpo New Rail Line
(Indian Railway Construction International Limited [IRCON])
(705432)",Sikkim,"10/2009
(05/2010)","05/2015
(12/2027)","7877
(11775)",10770.42,93
,Total (12),,,,50056.05,39757.51,
