Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
528,"Kurnool - Setting up facilities for coach midlife rehabilitation workshop
(WPO/Patna)
(611927)
(-) (5430)",Andhra Pradesh,"01/2014
(10/2017)","12/2023
(-)","560.72
(560.72)",276.66,65
529,"Flyover between Pendurthi and Simhachalam North to avoid surface crossing at
Simhachalam 7.135 km PB 73 of 2023 24 NR
(East Coast Railway [ECoR] - II)
(612827)
(-) (-)",Andhra Pradesh,"04/2023
(05/2024)","04/2027
(-)","183.65
(183.65)",14.79,15
530,"3rd & 4th line between Vadlapudi -Gate Jn. cabin and Tie line between Gate Junction
to Gangavaram port
(East Coast Railway [ECoR] - II)
(616697)
(-) (-)",Andhra Pradesh,"04/2023
(03/2024)","06/2026
(-)","154.28
(154.28)",58.16,75
531,"Tiupati Katpadi 104.39 kms
(South Central Railway [SCR] - II)
(617210)
(-) (7532)",Andhra Pradesh,"04/2025
(04/2025)","03/2029
(-)","1215.56
(1215.56)",0.16,0.05
532,"3rd Line between Gudur Renigunta 83.17 Km
(South Central Railway [SCR] - II)
(617216)
(-) (7545)",Andhra Pradesh,"10/2024
(10/2024)","03/2027
(-)","877.34
(877.34)",205.35,0.16
533,"Kurnool Coach Midlife Rehabilitation Project
(South Central Railway [SCR] - II)
(705253)
(-) (-)",Andhra Pradesh,"05/2016
(07/2014)","12/2020
(12/2026)","563
(560.72)",949.34,75
534,"Kotapalli - Narasapur New Line
(South Central Railway [SCR] - II)
(705436)
(220100265) (1800)",Andhra Pradesh,"03/2009
(09/2013)","03/2028
(03/2028)","2501
(2501)",1417.65,30.01
535,"Guntur-Guntakal Doubling Project
(South Central Railway [SCR] - II)
(705633)
(N22000368) (1799)",Andhra Pradesh,"03/2017
(11/2017)","12/2025
(12/2026)","3733
(4295)",5523.6,94.01
536,"Vijaywada-Gudur 3rd Line
(RVNL - II)
(705648)
(N22000369) (1873)",Andhra Pradesh,"08/2016
(04/2018)","11/2024
(03/2026)","6654
(6654)",6170.32,96
537,"Furkating-New Tinsukia[194 Km]
(Northeast Frontier Railway [NFR])
(618986)
(-) (10768)",Assam,"09/2025
(09/2025)","06/2029
(-)","3633.58
(3633.58)",0,0
538,"Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km
(Northeast Frontier Railway [NFR])
(705572)
(N22000388) (1796)",Assam,"09/2016
(09/2016)","03/2026
(03/2026)","4060
(4961)",3797.35,95.13
539,"Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh
(Central Organisation for Railway Electrification [CORE])
(706922)
(-) (3221)",Assam,"09/2020
(09/2018)","09/2020
(06/2024)","890.36
(889.36)",391.73,89
540,"Mariani-Jorhat, Tinsukia-Dangri and Makum -TirapTrack Electrification Project
(GM/C/ NFR)
(706940)
(-) (-)",Assam,"09/2018
(01/2022)","05/2024
(-)","183.99
(183.99)",0,0
541,"Harmuty-Murkongselek Branch Line Electrification Project
(GM/C/ NFR)
(706942)
(-) (-)",Assam,"09/2018
(01/2022)","05/2024
(-)","237.52
(237.52)",0,0
542,"Sakri -Hasanpur [via Harnagar - Kusheshwar Asthan] New Railway line
(East Central Railway [ECR] - I)
(400254)
(-) (1731)",Bihar,"12/2023
(08/1997)","12/2024
(03/2027)","735.2
(735.2)",589.37,84.2
543,"Construction of Bulb line at Nabinagar Ankorah of East Central Railway
(East Central Railway [ECR] - I)
(617231)
(-) (9908)",Bihar,"06/2024
(06/2024)","06/2028
(-)","611.74
(611.74)",0,0
544,"Doubling of Narkatiaganj Raxaul Sitamarhi Darbhanga & Sitamarhi Muzaffarpur 256
KM
(East Central Railway [ECR] - I)
(617239)
(-) (9904)",Bihar,"11/2024
(11/2025)","11/2029
(-)","4079.95
(4079.95)",2.67,0
545,"Khagaria-Kusheshwar Asthan [42Km] new line project
(East Central Railway [ECR] - I)
(705364)
(220100257) (1883)",Bihar,"04/2019
(12/1998)","12/2024
(03/2027)","614
(1384.16)",491.2,55.7
546,"Hajipur-Sagauli New line
(East Central Railway [ECR] - I)
(705366)
(220100303) (1729)",Bihar,"10/2007
(10/2004)","03/2020
(06/2027)","2067
(2087)",2084.14,75.3
547,"Araria Supaul New BG Line
(East Central Railway [ECR] - I)
(705368)
(N22000177) (2265)",Bihar,"06/2018
(03/2009)","03/2024
(01/2027)","1605
(2514)",1711.89,46.7
548,"Fatuha-Islampur incl. MM for extn.of NL from Neora to Daniawan , Daniawan to
Biharsharif, Biharsharif to Barbigha , Barbigha to Shekhpura
(East Central Railway [ECR] - I)
(705373)
(N22000476) (2260)",Bihar,"08/2002
(03/2002)","03/2023
(08/2025)","1473
(2882)",2641.14,98
549,"Jogbani-Biratnagar New Rail Line project
(Indian Railway Construction International Limited [IRCON])
(705450)
(N22000207) (1904)",Bihar,"06/2010
(01/2011)","03/2022
(12/2026)","402
(486)",369.28,86.26
