Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,Offshore,Ministry of Petroleum & Natural Gas,Oil & Gas,6,"19714.58
22972.8",10210.97
,,Ministry of Railways,Railways,2,"1311.83
1311.83",583.60
,PAN India,Department of Telecommunications,Telecommunication,6,"141891.67
264213",69165.67
,,,Total,14,162918.08,79960.24
2,Andaman & Nicobar,Ministry of Housing & Urban Affairs,Real Estate,1,"209.88
209.88",0.00
,,,Total,1,209.88,0.00
3,Andhra Pradesh,"Department for Promotion of Industry &
Internal Trade",Real Estate,1,"2139.44
2139.44",406.05
,,Department of Higher Education,Education,1,"305
305",83.33
,,Department of Telecommunications,Telecommunication,2,"5262.57
5262.57",1699.75
,,"Department of Water Resources, River
Development & GR",Water Resources,3,"10901.5
57269.5",25827.76
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,"1224.86
1224.86",613.89
,,Ministry of Housing & Urban Affairs,Waste & Water,1,"172.22
172.22",622.02
,,Ministry of Petroleum & Natural Gas,Energy Storage,2,"2898.34
3050",2242.80
,,,Oil & Gas,5,"37997
38057",33498.29
,,Ministry of Power,Transmission & Distribution,5,"13395.24
13395.2",4512.61
,,Ministry of Railways,Railways,28,"56255.53
63480.7",32347.60
,,,Total,51,130551.7,101854.10
4,Arunachal Pradesh,Department of Higher Education,Education,1,"592.61
592.61",549.96
,,Department of Telecommunications,Telecommunication,1,"1255.49
1255.49",284.04
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"43129
79459",60295.14
,,,Oil & Gas,1,"9265
9265",6393.85
,,Ministry of Power,Electricity Generation,4,"41850.64
61640.8",28586.95
,,,Transmission & Distribution,1,"4754.42
9129.32",7462.20
,,Ministry of Railways,Railways,1,"435
1250",901.00
,,,Total,10,101282.16,104473.14
5,Assam,Department of Higher Education,Education,1,"153.71
153.71",54.05
,,Department of Telecommunications,Telecommunication,1,"1255.49
1255.49",284.04
,,"Department of Water Resources, River
Development & GR",Water Resources,1,"256.16
256.16",0.00
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"1712
1712",2335.44
,,Ministry of Coal,Coal,2,"449.23
449.23",186.31
,,Ministry of Housing & Urban Affairs,Waste & Water,1,"186.8
186.8",1291.55
,,Ministry of Petroleum & Natural Gas,Energy Storage,3,"10768.4
11947.4",9941.27
,,,Oil & Gas,13,"28019.15
41554",30591.24
,,Ministry of Power,Electricity Generation,1,"6285.33
26075.5",24880.95
,,,Transmission & Distribution,1,"5111.33
6700",5277.24
,,Ministry of Railways,Railways,7,"14593.57
16308.6",10302.48
,,,Total,32,68791.17,85144.57
6,Bihar,Department of Higher Education,Education,1,"499.21
499.21",425.47
,,Department of Telecommunications,Telecommunication,3,"2336.11
2107.64",960.21
,,"Department of Water Resources, River
Development & GR",Waste & Water,5,"2351.43
2351.43",1303.45
,,,Water Resources,3,"2884.49
4060.84",1590.27
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,"3541.56
3541.56",1256.71
,,Ministry of Housing & Urban Affairs,Urban Public Transport,1,"13365.77
13365.8",4039.77
,,,Waste & Water,1,"158.78
158.78",48.61
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"10228
11407",9766.72
,,,Oil & Gas,7,"24636.5
26501.2",13258.37
