Sl.No,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,Department for Promotion of Industry & Internal Trade,Real Estate,2,"3841.25
3841.25",752.38
,,Total,2,"3,841.25",752.38
2,Department of Higher Education,Education,28,"14512.44
14255",7689.22
,,Total,28,"14,512.44","7,689.22"
3,Department of Sports,Education,1,"906.47
611.74",565.17
,,Total,1,906.47,565.17
4,Department of Telecommunications,Telecommunication,14,"151923.46
274016",77210.7
,,Total,14,"151,923.46","77,210.70"
5,"Department of Water Resources, River Development
& GR",Waste & Water,8,"4039.12
4039.12",1643.05
,,Water Resources,39,"93740.23
193594",140622
,,Total,47,"97,779.35","142,265.05"
6,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,25,"21237.66
22451.7",9260.93
,,Total,25,"21,237.66","9,260.93"
7,Ministry of Coal,Coal,113,"156284.68
153741",47277.8
,,Electricity Generation,8,"51903.57
56446.7",26675.7
,,Railways,2,"3485.86
4250.56",1974
,,Total,123,"211,674.11","75,927.50"
8,Ministry of Health & Family Welfare,Healthcare,8,"12677.19
14452.9",4077.54
,,Total,8,"12,677.19","4,077.54"
9,Ministry of Housing & Urban Affairs,Construction,1,"644
644",116.18
,,Real Estate,4,"33749.85
33749.8",58.58
,,Urban Public Transport,25,"311946.96
332528",203575
,,Waste & Water,23,"5625.02
5649.35",4096.26
,,Total,53,"351,965.83","207,846.02"
10,Ministry of Labour and Employment,Healthcare,13,"3234.03
3466.61",1862.5
,,Total,13,"3,234.03","1,862.50"
11,Ministry of Mines,Construction,1,"255.37
255.37",93.39
,,Metals & Mining,6,"8344.36
10724.5",6765.91
,,Total,7,"8,599.73","6,859.30"
12,Ministry of Petroleum & Natural Gas,Energy Storage,18,"81884.05
120754",95874.3
,,Oil & Gas,93,"353462.93
381881",191901
,,Total,111,"435,346.98","287,775.30"
13,"Ministry of Ports, Shipping and Waterways",Healthcare,1,"693
693",58
,,Inland Waterways,2,"5546.18
5258.15",4100.49
,,Shipping,9,"15124.41
15290.9",9130.93
,,"Tourism, Hospitality & Wellness",1,"573
1238.05",545.51
,,Total,13,"21,936.59","13,834.93"
14,Ministry of Power,Coal,2,"2083
2365",987.47
,,Electricity Generation,29,"228838.76
283079",123930
,,Transmission & Distribution,63,"152121.4
158085",59380.8
,,Total,94,"383,043.16","184,298.27"
15,Ministry of Railways,Railways,249,"702266.73
852603",686201
,,Total,249,"702,266.73","686,201.00"
16,Ministry of Road Transport & Highways,Roads & Highways,584,"527441.16
537799",185964
,,Total,584,"527,441.16","185,964.00"
17,Ministry of Steel,Metals & Mining,1,"1700
1756.2",155.07
,,Steel,19,"18161.41
21399.7",8617.56
,,Total,20,"19,861.41","8,772.63"
Total,,,1392,"2,968,247.55","1,901,162.44"
