Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
25,Odisha,"Department of Water Resources, River
Development & GR",Water Resources,2,"1556.46
5291.33",5427.87
,,Ministry of Coal,Coal,13,"37048.73
34740.4",13642.46
,,,Electricity Generation,1,"27212.96
27213",2607.89
,,Ministry of Labour and Employment,Healthcare,1,"164.6
164.6",16.40
,,Ministry of Mines,Metals & Mining,4,"6322
8702.17",5679.97
,,Ministry of Petroleum & Natural Gas,Energy Storage,2,"12886.34
14217",12553.16
,,,Oil & Gas,6,"25800.35
24283.5",16656.64
,,"Ministry of Ports, Shipping and Waterways",Shipping,1,"3004.63
3004.63",1277.52
,,Ministry of Power,Electricity Generation,1,"11843.75
12543",5347.06
,,,Transmission & Distribution,1,"342.69
342.69",6.85
,,Ministry of Railways,Railways,28,"43414.1
49171.3",31196.37
,,,Railways,1,"267.61
267.61",0.00
,,Ministry of Road Transport & Highways,Roads & Highways,20,"12259.74
14260.5",5144.48
,,,Total,85,190500.45,102761.29
26,Puducherry,Department of Higher Education,Education,1,"618.34
544.34",530.45
,,Ministry of Railways,Railways,1,"713
981",633.24
,,Ministry of Road Transport & Highways,Roads & Highways,2,"4488.17
4315.67",1288.86
,,,Total,4,5819.51,2452.55
27,Punjab,Department of Higher Education,Education,2,"559.3
559.3",320.39
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"3727.07
5177.86",5182.41
,,Ministry of Housing & Urban Affairs,Waste & Water,2,"545.53
545.53",374.66
,,Ministry of Petroleum & Natural Gas,Oil & Gas,5,"12693.36
12693.4",8191.03
,,Ministry of Power,Transmission & Distribution,1,"5969
5969",837.04
,,Ministry of Railways,Railways,3,"15702.64
15703",96835.77
,,Ministry of Road Transport & Highways,Roads & Highways,24,"31275.39
34504.4",16008.20
,,,Total,39,70472.29,127749.50
28,Rajasthan,Department of Telecommunications,Telecommunication,2,"758.54
530.07",380.25
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,"2874
2874",803.08
,,Ministry of Coal,Electricity Generation,1,"1813
1813",1627.06
,,Ministry of Petroleum & Natural Gas,Energy Storage,3,"52618.05
88948.1",71132.20
,,,Oil & Gas,2,"10599
10599",6714.28
,,Ministry of Power,Transmission & Distribution,20,"50547.23
50547.2",19497.19
,,Ministry of Railways,Railways,22,"87820.03
163243",140848.77
,,Ministry of Road Transport & Highways,Roads & Highways,16,"10383.1
9938.64",5813.09
,,,Total,69,217412.95,246815.92
29,Sikkim,Department of Higher Education,Education,2,"999.82
924.82",409.78
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"323.26
323.26",51.21
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"9265
9265",6622.00
,,Ministry of Power,Electricity Generation,2,"6686.33
7576.15",5503.93
,,,Transmission & Distribution,1,"4754.42
9129.32",7809.22
,,Ministry of Railways,Railways,1,"7877
11775",9861.45
,,Ministry of Road Transport & Highways,Roads & Highways,6,"2629.21
2525.29",1.91
,,,Total,14,32535.04,30259.50
30,Tamil Nadu,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"1207
1207",208.06
,,Ministry of Coal,Electricity Generation,1,"218.03
218.03",165.50
,,Ministry of Health & Family Welfare,Healthcare,1,"1264
2021.51",366.59
