Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Ministry of Labour and Employment,,,,,,
,Healthcare,,,,,,
44,"Construction of 200 bedded ESIC Hospital with 62 Nos Staff quarters , Beltola
(Employee's State Insurance Company [ESIC])
(612201)",Assam,"12/2017
(10/2021)","04/2025
(02/2026)","143.23
(154.75)",116.08,96
,Total (1),,,,143.23,116.08,
,Ministry of Railways,,,,,,
,Railways,,,,,,
45,"Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh
(Central Organisation for Railway Electrification [CORE])
(706922)",Assam,"09/2020
(09/2018)","09/2020
(06/2024)","890.36
(889.36)",391.73,89
46,"Mariani-Jorhat, Tinsukia-Dangri and Makum -TirapTrack Electrification Project
(GM/C/ NFR)
(706940)",Assam,"09/2018
(01/2022)","05/2024
(-)","183.99
(183.99)",0,0
47,"Harmuty-Murkongselek Branch Line Electrification Project
(GM/C/ NFR)
(706942)",Assam,"09/2018
(01/2022)","05/2024
(-)","237.52
(237.52)",0,0
48,"Furkating-New Tinsukia[194 Km]
(Northeast Frontier Railway [NFR])
(618986)",Assam,"09/2025
(09/2025)","06/2029
(-)","3633.58
(3633.58)",0,0
49,"Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km
(Northeast Frontier Railway [NFR])
(705572)",Assam,"09/2016
(09/2016)","03/2026
(03/2026)","4060
(4961)",3739.15,93
50,"Jiribam-Imphal new line project
(Northeast Frontier Railway [NFR])
(705391)",Manipur,"03/2013
(12/2007)","12/2026
(06/2029)","14323
(21885.9)",15824.48,72
51,"Murkongselek-Pasighat
(Northeast Frontier Railway (NFR) - II)
(705401)","Multi-States (Assam,
Arunachal Pradesh)","02/2011
(03/2023)","03/2025
(05/2026)","435
(1250)",805.31,65
52,"Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km]
(Northeast Frontier Railway (NFR) - II)
(705392)","Multi-States (Assam,
Nagaland)","08/2015
(02/2016)","03/2025
(12/2025)","6663
(6663)",5828.35,81
53,"Lumding Furkating Doubling Project 140 km
(Northeast Frontier Railway [NFR])
(616701)","Multi-States (Nagaland,
Assam)","02/2024
(01/2025)","02/2028
(-)","2123.7
(2123.7)",13.74,0
54,"Sivok-Rangpo New Rail Line
(Indian Railway Construction International Limited [IRCON])
(705432)",Sikkim,"10/2009
(05/2010)","05/2015
(12/2027)","7877
(11775)",9861.45,90
,Total (10),,,,40427.15,36464.21,
,Ministry of Road Transport & Highways,,,,,,
,Roads & Highways,,,,,,
55,"Construction of 2-Laning with hard shoulders of Hayuliang Hawai bypass Road
on EPC basis from design Km. 51.825 to Km. 63.131 Existing Km 45.050 of
HayuliangHawai road to Hawai Town under SARDP-NE -Balance work Pkg - IV
(NHIDCL)
(618424)",Arunachal Pradesh,"01/2017
(05/2021)","05/2023
(07/2026)","256.66
(216.76)",0,93
56,"Construction of Balance work of 2-Lane with PS of Joram-Koloriang Road NH-
713 on EPC basis from Design Km 44.989 to Km 61.547 Existing Km 50.050 to
Km 70.000 in the state of Arunachal Pradesh under SARDP-NE Pkg-3
(NHIDCL)
(618432)",Arunachal Pradesh,"02/2017
(10/2020)","04/2022
(07/2023)","228.72
(228.72)",0,99
57,"Construction of Balance work of 2-Lane with PS of Joram Koloriang Road from
existing Km122.600 to km138.00 [Design Km108.724 to Km123.714] in
Arunachal Pradesh on EPC Mode under SARDP-NE Pkg-7
(NHIDCL)
(618433)",Arunachal Pradesh,"02/2017
(10/2020)","04/2022
(07/2023)","184.89
(184.89)",0,98
58,"Roing-Hunli Road Greenfield Alignment Project
(NHIDCL)
(618434)",Arunachal Pradesh,"02/2017
(03/2018)","03/2022
(04/2025)","1718.59
(1718.59)",0,77
