Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
709,"Dholpur - Sirmuttra Gauge Conversion
(North Central Railway)
(705482)",Rajasthan,"03/2022
(04/2020)","02/2019
(02/2027)","747
(747)",436.56,45
710,"Gudha-Thatha Mithri Construction of Railway Track Project
(North Western Railway [NWR])
(705752)",Rajasthan,"04/2019
(04/2019)","11/2026
(11/2026)","819.48
(967.06)",393.8,99
711,"Sawai Madhopur-Jaipur Railway Line Project
(North Western Railway [NWR])
(705912)",Rajasthan,"02/2024
(04/2023)","03/2027
(-)","1203.89
(1203.89)",137.81,13
712,"Agra Fort-Bandikui Doubling Line Project
(CAO/C/NCR)
(705919)",Rajasthan,"06/2022
(02/2021)","06/2027
(06/2027)","1390
(1390)",362.92,57
713,"Sawaimadhopur Bye Pass Line Project
(North Western Railway [NWR])
(706866)",Rajasthan,"12/2022
(01/2023)","03/2026
(05/2027)","304
(304)",60.48,65
714,"Phase II extension of MRTS from Velachery to St Thomas Mount
(Ministry of Railways)
(400280)",Tamil Nadu,"11/2007
(11/2008)","07/2025
(09/2025)","734
(734.01)",479.19,99
715,"Redevelopment of Chennai Egmore Station
(Ministry of Railways)
(613002)",Tamil Nadu,"05/2022
(10/2022)","03/2026
(-)","842
(842)",340,0
716,"Coach Production Factory Upgradation Project
(CPM/ICF)
(705244)",Tamil Nadu,"12/2017
(07/2018)","12/2021
(-)","520
(520)",192.25,0
717,"Doubling between Bhadrachalam Road and Dornakal
(South Central Railway [SCR] - II)
(616856)",Telangana,"08/2023
(04/2025)","04/2029
(-)","770.12
(770.12)",48.35,0
718,"Railway Manufacturing Unit
(RVNL - II)
(617409)",Telangana,"07/2016
(02/2023)","12/2026
(03/2026)","521.36
(521.36)",439.95,80
719,"Kazipet Wagon Overhauling Project
(RVNL)
(705252)",Telangana,"09/2017
(07/2017)","12/2023
(-)","385
(385)",0,0
720,"Manoharabad-Kothapalli New Rail Line [151 km]
(South Central Railway [SCR] - II)
(705437)",Telangana,"07/2016
(01/2017)","03/2027
(12/2027)","1160
(2781)",2332.39,71
721,"Bahraich-Shravasti-Balrampur-Siddharthnagar -Santkabir nagar
(North Eastern Railway [NER])
(400204)",Uttar Pradesh,"10/2018
(03/2017)","10/2030
(10/2030)","4939.78
(4939.78)",1263.98,8
