Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
1212,"6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km.
97.000 to Km. 162.500 in Yadgir of NH-150C Pkg-III
(National Highways Authority of India [NHAI])
(619211)
(-)",Karnataka,"03/2022
(04/2023)","10/2025
(-)","2104.7
(2065.83)",690.04,73
1213,"4L of Channarayapatna Bypass and Hassan Bypass with structures in Devihalli -
Hassan section
(National Highways Authority of India [NHAI])
(619214)
(-)",Karnataka,"04/2020
(01/2021)","01/2023
(05/2025)","688
(684.54)",415.02,82
1214,"4L Tumkur-Shimoga Pkg-I from Mallasandra to Karadi village of NH-206 from Km.
12.300 to Km. 65.195
(National Highways Authority of India [NHAI])
(619218)
(-)",Karnataka,"02/2018
(10/2019)","10/2021
(10/2024)","1364.14
(1692.12)",177,100
1215,"4L of Tumkur-Shimoga Pkg-II from Km 65.195 Karadi to Km 121.900 Banawara of
NH-206
(National Highways Authority of India [NHAI])
(619219)
(-)",Karnataka,"02/2018
(10/2019)","10/2021
(10/2024)","1505.85
(1989.89)",188.49,99
1216,"Tumkur-Shimoga Pkg-III from Km 121.900 Banawara to Km 170.415 Bettadahalli of
Old NH-206
(National Highways Authority of India [NHAI])
(619220)
(-)",Karnataka,"02/2018
(03/2021)","03/2023
(01/2025)","1444.5
(1834.81)",492.85,96
1217,"Widening to 2 Lanes with paved shoulders from Km.87/000 to 133/720 Nattukal to
Thanau Jn. in Palakkad of NH-966 Old NH-213 on EPC mode Basis under NHO
Annual Plan 2016-17 in the state of Kerala
(MoRTH)
(618070)
(N24001369)",Kerala,"02/2017
(08/2017)","08/2019
(06/2025)","294.28
(315.63)",0,98
1218,"6L of Chengala - Neeleshwaram from km. 56.200 to km. 93.468
(National Highways Authority of India [NHAI])
(618595)
(N24001664)",Kerala,"06/2020
(10/2021)","04/2024
(12/2024)","1746.45
(2538.06)",785.78,82
1219,"6L of Taliparamba to Muzhappilangad from Km 134.650 to Km 170.6 of NH-66
(National Highways Authority of India [NHAI])
(618596)
(N24001660)",Kerala,"08/2020
(11/2021)","05/2024
(08/2025)","2714.6
(3557.65)",1008.4,82
1220,"6L of Azhiyur-Vengalam from km. 189.200 to km. 230.400 of NH-66
(National Highways Authority of India [NHAI])
(618597)
(N24001661)",Kerala,"10/2020
(10/2021)","07/2024
(-)","3205.77
(3898.46)",771.49,60
1221,"6L Minor Bridge Paloli Palam at km. 203.160 & Major Bridge Morad at km. 204.895
and allied works
(National Highways Authority of India [NHAI])
(618598)
(N24001652)",Kerala,"03/2020
(12/2020)","06/2022
(02/2024)","210
(216.94)",70.89,100
1222,"6L of Ramanatukkara Junction to start of Valanchery bypass section of NH-66
(National Highways Authority of India [NHAI])
(618599)
(N24001658)",Kerala,"01/2021
(01/2022)","07/2024
(03/2025)","4924.11
(4919.46)",1762.86,99
1223,"6L of Valanchery bypass to Kappirikkad of NH 66 from km. 298500 to km 335850
(National Highways Authority of India [NHAI])
(618600)
(N24001659)",Kerala,"02/2021
(01/2022)","07/2024
(03/2025)","4023.94
(4023.94)",1466.03,98
1224,"6L of Kappirikkad to Thalikulam section from km 335.85 to km 369.015 of NH - 66 old
NH-17
(National Highways Authority of India [NHAI])
(618601)
(N24001655)",Kerala,"06/2021
(09/2022)","01/2025
(10/2025)","4225.59
(4225.59)",646.67,88
1225,"6L of Thalikulam to Kodugallur section from km 369.015 to km 397.850 of NH - 66 old
NH-17
(National Highways Authority of India [NHAI])
(618602)
(N24001656)",Kerala,"06/2021
(09/2022)","02/2025
(11/2025)","4302.06
(4302.06)",705.39,84
1226,"6L of Kodugallur to Edapppally section from km 397.750 to km 423.780 of NH - 66 old
NH-17
(National Highways Authority of India [NHAI])
(618603)
(N24001653)",Kerala,"11/2021
(10/2022)","04/2025
(-)","3465.82
(3606.2)",767.68,64
1227,"Aroor-Thuravoor Thekku
(National Highways Authority of India [NHAI])
(618604)
(N24001648)",Kerala,"08/2022
(02/2023)","01/2026
(-)","2429.52
(2382.83)",1677.4,83
1228,"Thuravoor Thekku-Paravoor
(National Highways Authority of India [NHAI])
(618605)
(N24001651)",Kerala,"09/2021
(03/2022)","09/2024
(03/2026)","2878.97
(2638.67)",1998.42,73
1229,"Paravoor-Kottankulangara
(National Highways Authority of India [NHAI])
(618606)
(N24001649)",Kerala,"12/2021
(08/2022)","02/2025
(-)","3273.61
(3200.24)",1185.17,71
1230,"Kottankulangara- Start of Kollam Bypass
(National Highways Authority of India [NHAI])
(618607)
(N24001657)",Kerala,"06/2021
(04/2022)","10/2024
(-)","2842.14
(3680.49)",783.02,73
1231,"Widening/Development of Existing NH-85 from Km 0.000 to Km 124.636 section to
2L/LPS section in the state of Kerala on EPC Mode under Bharatmala Pariyojana
(National Highways Authority of India [NHAI])
(618708)
(N24002074)",Kerala,"09/2022
(06/2023)","06/2025
(-)","1187.47
(1265.47)",631.69,52
1232,"Kozhikode Bypass Calicut Bypass Vengalam Jn. to Ramanattukara Jn.
(National Highways Authority of India [NHAI])
(619098)
(N24000784)",Kerala,"02/2018
(02/2021)","02/2023
(12/2024)","1424.77
(2139.18)",927.08,98
