Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
33,Uttar Pradesh,Ministry of Housing & Urban Affairs,Waste & Water,1,"561.74
561.74",485.91
,,Ministry of Petroleum & Natural Gas,Energy Storage,2,"11068.45
11068.5",8398.59
,,,Oil & Gas,3,"17116.12
17116.1",691.78
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",3806.78
,,Ministry of Power,Electricity Generation,1,"17195
17195",2572.87
,,,Transmission & Distribution,5,"35482.81
35482.8",3052.12
,,Ministry of Railways,Railways,26,"95077.38
168712",146825.25
,,Ministry of Road Transport & Highways,Roads & Highways,120,"139113.61
133689",39658.12
,,,Total,180,429013.4,286639.37
34,Uttarakhand,Department of Higher Education,Education,1,"650.85
650.85",335.50
,,"Department of Water Resources, River
Development & GR",Water Resources,1,"2584.1
2584.1",990.18
,,Ministry of Health & Family Welfare,Healthcare,2,"650
1093.89",577.08
,,Ministry of Housing & Urban Affairs,Real Estate,1,"150.97
150.97",18.95
,,Ministry of Labour and Employment,Healthcare,1,"102.4
297.63",322.55
,,Ministry of Power,Electricity Generation,3,"11663.95
25651.4",20934.71
,,Ministry of Railways,Railways,1,"38953
38953",27881.09
,,Ministry of Road Transport & Highways,Roads & Highways,38,"22223.35
22220.1",5875.80
,,,Total,48,76978.62,56935.86
35,West Bengal,Department of Higher Education,Education,1,"500
442",403.85
,,Department of Telecommunications,Telecommunication,2,"3462.17
3462.17",1060.27
,,"Department of Water Resources, River
Development & GR",Waste & Water,1,"154.73
154.73",96.17
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,2,"1877.3
1877.3",519.41
,,Ministry of Coal,Coal,13,"15863.74
15863.7",2974.69
,,Ministry of Mines,Construction,1,"255.37
255.37",96.26
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"10228
11407",10626.49
,,,Oil & Gas,11,"19590.65
20535.2",12338.36
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",3806.78
,,,Shipping,2,"551.91
551.91",489.28
,,Ministry of Power,Electricity Generation,3,"20091.84
21644.6",4235.05
,,,Transmission & Distribution,2,"751.63
751.63",65.39
,,Ministry of Railways,Railways,16,"49559.1
60771",36953.27
,,Ministry of Road Transport & Highways,Roads & Highways,24,"16531.77
15962",3391.78
,,Ministry of Steel,Steel,6,"6733.06
6733.06",1133.38
,,,Total,86,151520.45,78190.43
