Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
206,"Realignment of NH-717A from Design Ch.0.00 Km 77.800 of NH-10 to Design
Ch.2.00 Km 3.100 of NH-717A with two lane paved shoulder including Major
Bridge of 680 m in the State of Sikkim on EPC Mode-COS work
(NHIDCL)
(618428)",Sikkim,"01/2021
(04/2021)","04/2023
(10/2025)","264.84
(380.94)",54.47,95
207,"Construction/Up gradation of Existing road to 2 Lane with Paved Shoulder
including Geometric Improvement from Ranipool to Pakyong Balance work from
Km 2.000 to 16.167 of NH-717-A on EPC basis under SARDP-NE Phase A in the
State of Sikkim
(NHIDCL)
(618426)",Sikkim,"03/2018
(01/2023)","07/2024
(09/2025)","264.84
(380.94)",0,82
208,"Construction of two lane with paved shoulder Gangtok Bypass Road from
Ranipool to Burtuk Ch 0.00 Km to 23.316 L23.316 Km in the State of Sikkim
(MoRTH)
(618071)",Sikkim,"10/2021
(05/2022)","05/2024
(01/2025)","385.15
(342.89)",0,88
209,"Improvement and Widening to 2-lane with paved shoulder of road from existing
Km 438.170 Khowai Chowmuhani to existing Km 439.410 South Pulinpur of NH-
08 and from design Km 0.000 South Pulinpur to design Km 36.00 near
Rangamati of NH 208 on Khowai Teliamura- Harina section Total length 37.24 in
the state of Tripura on EPC mode under JICA ODA Loan Phase VI Package-2
(NHIDCL)
(618369)",Tripura,"01/2024
(09/2024)","09/2026
(-)","657.21
(657.21)",0,50
210,"Improvement and Widening to 2-lane with paved shoulder of road from design
Km 36.000 Rangamati to design Km 72.000 Pati Chhari Total length 36.000 Km
on Teliamura to Harina section of NH 208 in the state of Tripura on EPC mode
under JICA ODA Loan Phase VI Package-3
(NHIDCL)
(618368)",Tripura,"01/2024
(09/2024)","09/2026
(-)","670.9
(670.9)",0,10
211,"Improvement and Widening to 2-lane with paved shoulder of road from design
Km 72.000 Pati Chhari to design Km 107.654 Harina Total length 35.654 Km on
Teliamura to Harina section of NH 208 in the state of Tripura on EPC mode under
JICA ODA Loan Phase VI Package-4
(NHIDCL)
(618367)",Tripura,"01/2024
(12/2024)","12/2026
(-)","726.9
(726.9)",179.61,6
212,"Improvement and Widening to 2-lane with paved shoulder of road from Km
101.300 to km 127.319 Total Length 26.019 Km i.e. the Khowai Teliamura-
Amarpur-Harina-Sabroom section of NH 208 in the state of Tripura on EPC under
JICA ODA Loan Phase VI Package-1
(NHIDCL)
(618370)",Tripura,"01/2024
(07/2024)","07/2026
(-)","431.78
(431.78)",0,47
213,"Rehabilitation & Upgradation of Road from Km 0.00 to Km 18.600 Total length-
18.600 km of Kumarghat-Kailashahar section on NH-208 to 2-lane with Paved
shoulder on EPC bais under NHO
(NHIDCL)
(618386)",Tripura,"02/2020
(07/2020)","01/2022
(10/2024)","277.5
(302.03)",0,0
214,"Rehabilitation and up-gradation of road from design km 25.250 to km 36.460
Total lengh 11.210 km of Kailashahar-Kurti Bridge section on NH-208A to 2-lane
with paved shoulder on EPC basis under NHO Package-III- Balance Work
(NHIDCL)
(618385)",Tripura,"02/2020
(09/2024)","09/2025
(-)","174.43
(174.43)",0,0
215,"Melaghar-Srimantapur section on NH-08 Spur from Km 23 to Km 34.500 11.5 Km
and overlay from Km 20.30 to Km 22.00 1.7 Km Total Length 13.2 Km
(NHIDCL)
(618411)",Tripura,"01/2023
(05/2023)","11/2024
(11/2025)","195.95
(195.95)",75.38,65
216,"Improvement & widening of existing NH-08 to 4-lane with Paved Shoulder from
Champak Nagar to Khayerpur section design Km 242500 to Km 261610 in the
state of Tripura on EPC basis under NHO-NE
(NHIDCL)
(618350)",Tripura,"12/2023
(09/2024)","09/2026
(-)","920.66
(920.66)",0,41
217,"Construction of 4-Lane with paved shoulder Agartala bypass Western side, length
25.402 km connecting NH-8 near Amtali to NH-108B near Lembuchhera in the
state of Tripura on EPC basis under NHO-NE
(NHIDCL)
(618417)",Tripura,"03/2023
(03/2024)","03/2027
(-)","2026.05
(2026.05)",0,0
,Total (163),,,,102331.73,23593.05,
,Department of Telecommunications,,,,,,
,Telecommunication,,,,,,
218,"Provision of 4G based Mobile Services in Uncovered Villages and National
Highways of Meghalaya
(Department of Telecommunications)
(701598)",Meghalaya,"09/2019
(09/2020)","03/2022
(03/2026)","971.96
(971.96)",224.6,99
219,"Provision of 4G Mobile Services in Uncovered Villages of Arunachal Pradesh and
2 Districts of Assam
(Department of Telecommunications)
(701597)","Multi-States (Arunachal
Pradesh, Assam)","12/2020
(10/2021)","04/2023
(03/2026)","1255.49
(1255.49)",315,99
,Total (2),,,,2227.45,539.6,
,"Department of Water Resources, River Development & GR",,,,,,
,Water Resources,,,,,,
220,"Borolia Irrigation Project
(Department of Water Resources, River Development & GR)
(701370)",Assam,"04/1996
(12/1996)","12/2022
(03/2026)","256.16
(256.16)",44.7,55
221,"Thoubal Multipurpose Project
(Water Resources Department-MN)
(701400)",Manipur,"04/1997
(04/1997)","12/2019
(03/2026)","1449.44
(1822.24)",1837.91,98
,Total (2),,,,1705.6,1882.61,
