Sl.No,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,1,"763
763",430
,,Real Estate,2,"3841.25
3841.25",809.72
,,Total,3,"4,604.25","1,239.72"
2,Department of Higher Education,Education,29,"14711.41
14454",7786.65
,,Total,29,"14,711.41","7,786.65"
3,Department of Sports,Education,1,"906.47
611.74",569.37
,,Total,1,906.47,569.37
4,Department of Telecommunications,Telecommunication,14,"151923.46
274016",77232.3
,,Total,14,"151,923.46","77,232.30"
5,"Department of Water Resources, River Development
& GR",Waste & Water,8,"4039.12
4039.12",1643.05
,,Water Resources,39,"93740.23
193594",140376
,,Total,47,"97,779.35","142,019.05"
6,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,"21600.76
22814.8",9677.27
,,Total,26,"21,600.76","9,677.27"
7,Ministry of Coal,Coal,116,"183894.27
181350",47547.4
,,Electricity Generation,8,"51903.57
56446.7",27270.8
,,Railways,2,"3485.86
5002.87",2199.39
,,Total,126,"239,283.70","77,017.59"
8,Ministry of Health & Family Welfare,Healthcare,23,"17252.19
21471",7780.69
,,Total,23,"17,252.19","7,780.69"
9,Ministry of Housing & Urban Affairs,Construction,1,"644
644",127.46
,,Real Estate,4,"33749.85
33740.8",12397.6
,,Urban Public Transport,28,"335215.64
355797",205666
,,Waste & Water,23,"5625.02
5693.55",4134.88
,,Total,56,"375,234.51","222,325.94"
10,Ministry of Labour and Employment,Healthcare,13,"3234.03
3466.61",1915.78
,,Total,13,"3,234.03","1,915.78"
11,Ministry of Mines,Construction,1,"255.37
255.37",94.91
,,Metals & Mining,6,"8344.36
10724.5",7002.68
,,Total,7,"8,599.73","7,097.59"
12,Ministry of Petroleum & Natural Gas,Energy Storage,17,"81207.16
120038",96246.4
,,Oil & Gas,93,"353598.97
382328",191044
,,Total,110,"434,806.13","287,290.40"
13,"Ministry of Ports, Shipping and Waterways",Healthcare,1,"693
693",58
,,Inland Waterways,2,"5546.18
5258.15",4149.62
,,Shipping,9,"15124.41
15290.9",9338.98
,,"Tourism, Hospitality & Wellness",1,"573
1238.05",545.51
,,Total,13,"21,936.59","14,092.11"
14,Ministry of Power,Coal,2,"2083
2365",999.33
,,Electricity Generation,30,"258786.76
313027",127610
,,Transmission & Distribution,70,"206140.79
212104",61527.5
,,Total,102,"467,010.55","190,136.83"
15,Ministry of Railways,Railways,249,"694031.39
845968",698710
,,Total,249,"694,031.39","698,710.00"
16,Ministry of Road Transport & Highways,Roads & Highways,863,"799040.39
814341",247872
,,Total,863,"799,040.39","247,872.00"
17,Ministry of Steel,Metals & Mining,1,"1700
1756.2",170.13
,,Steel,19,"18161.41
21399.7",8959.01
,,Total,20,"19,861.41","9,129.14"
Total,,,1702,"3,371,816.32","2,001,892.43"
