Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,,Department of Higher Education,Education,1,"494.52
429.7",362.48
,Offshore,Ministry of Petroleum & Natural Gas,Oil & Gas,6,"19714.58
22972.8",13054.32
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"177
197",383.41
,,Ministry of Railways,Railways,1,"819
819",580.51
,PAN India,Department of Telecommunications,Telecommunication,5,"141080.68
263402",73544.16
,,Ministry of Railways,Railways,1,"274.39
274.39",0.00
,,,Total,15,162560.17,87924.88
2,Andaman & Nicobar,Ministry of Housing & Urban Affairs,Real Estate,1,"209.88
209.88",0.00
,,,Total,1,209.88,0.00
3,Andhra Pradesh,"Department for Promotion of Industry &
Internal Trade",Real Estate,1,"2139.44
2139.44",625.56
,,Department of Higher Education,Education,1,"305
305",62.16
,,Department of Telecommunications,Telecommunication,3,"7147.17
7147.17",2381.99
,,"Department of Water Resources, River
Development & GR",Water Resources,3,"10901.5
57269.5",27427.67
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,"1224.86
1224.86",756.23
,,Ministry of Housing & Urban Affairs,Waste & Water,1,"172.22
172.22",88.86
,,Ministry of Labour and Employment,Healthcare,1,"384.27
384.27",167.37
,,Ministry of Petroleum & Natural Gas,Energy Storage,2,"2898.34
3050",2446.67
,,,Oil & Gas,4,"37804
37864",32993.65
,,Ministry of Power,Transmission & Distribution,7,"20653.73
20653.7",6098.51
,,Ministry of Railways,Railways,25,"47518.61
55475.5",34409.69
,,Ministry of Road Transport & Highways,Roads & Highways,74,"68855.71
67798.5",23792.10
,,,Total,125,200004.85,131250.46
4,Arunachal Pradesh,Department of Higher Education,Education,1,"592.61
592.61",550.61
,,Department of Telecommunications,Telecommunication,1,"1255.49
1255.49",299.42
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"9265
9265",6678.00
,,Ministry of Power,Electricity Generation,4,"41850.64
61640.8",29893.04
,,,Transmission & Distribution,2,"4963.8
9338.7",7904.57
,,Ministry of Railways,Railways,1,"435
1250",816.33
,,Ministry of Road Transport & Highways,Roads & Highways,10,"7190.77
7150.87",628.28
,,,Total,20,65553.31,46770.25
5,Assam,Department of Higher Education,Education,1,"153.71
153.71",125.03
,,Department of Telecommunications,Telecommunication,1,"1255.49
1255.49",299.42
,,"Department of Water Resources, River
Development & GR",Water Resources,1,"256.16
256.16",44.70
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"1712
2520",2558.19
,,Ministry of Coal,Coal,2,"449.23
449.23",187.08
,,Ministry of Labour and Employment,Healthcare,1,"143.23
154.75",116.08
,,Ministry of Petroleum & Natural Gas,Energy Storage,3,"10768.4
11947.4",10727.92
,,,Oil & Gas,14,"27720.47
38075.3",28233.63
,,Ministry of Power,Electricity Generation,1,"6285.33
26075.5",25826.41
,,,Transmission & Distribution,1,"5111.33
6700",5474.57
,,Ministry of Railways,Railways,8,"18227.15
19942.2",10973.02
,,Ministry of Road Transport & Highways,Roads & Highways,53,"46706.64
47312.2",10742.93
,,,Total,87,118789.14,95308.98
6,Bihar,Department of Higher Education,Education,1,"499.21
499.21",446.99
,,Department of Telecommunications,Telecommunication,4,"4220.71
3992.24",1426.77
,,"Department of Water Resources, River
Development & GR",Waste & Water,5,"2351.43
2351.43",1303.45
