Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
176,"4L Access Controlled Greenfield Highway section on NH-163G Khammam Vijayawada
from V. Venkatayapalem village at Design Ch. 220.480 Km to BrahmanapalliK village
at Design Ch. 250.400 Km Package-I.
(National Highways Authority of India [NHAI])
(618817)",Telangana,"03/2023
(07/2024)","03/2027
(-)","973.45
(1021.96)"
177,"Construction of two lane with paved shoulders bypass to Mungrabadshapur town
starting from near Kodahu at Km 47/225 of NH-319D and ending near Nauwadandi at
Km 219/720 of NH-31 under NHO in the state of Uttar Pradesh on EPC mode
(National Highways Authority of India [NHAI])
(618843)",Uttar Pradesh,"02/2025
(09/2025)","03/2027
(-)","197.6
(165.28)"
178,"Construction of Underpass beneath airport runway on NH-31 old NH-56 for proposed
expansion of runway of Babatpur Airport Varanasi
(National Highways Authority of India [NHAI])
(618848)",Uttar Pradesh,"02/2025
(09/2025)","09/2027
(-)","649.44
(-)"
179,"Four Lane Highway from Chandan Nagar Existing Km. 59.025 of NH 530B/Design Km.
179.5000 to Bareilly BypassStartExisting Km. 59.025 of NH 530B/Design Km. 218.000
Section of NH 530B, in the State of Uttar Pradesh on HAM Mode under NH0
(National Highways Authority of India [NHAI])
(618866)",Uttar Pradesh,"12/2024
(11/2025)","11/2027
(-)","2077
(1112.44)"
180,"4L Kasganj-Badaun Section from Km. 123.100 to Km. 179.500 Pkg-III of NH530B
(National Highways Authority of India [NHAI])
(618867)",Uttar Pradesh,"03/2023
(05/2025)","05/2027
(-)","2009.11
(1936.61)"
181,"Construction of 4/6 lane Highway of Southern Bareilly Bypass, starting at Ch. 237000
of NH 530 near Jhumka chauraha, Dhantiya village and ending at Ch. 267000 of NH
30 near Invertis University including Trumpet Interchange
(National Highways Authority of India [NHAI])
(618869)",Uttar Pradesh,"12/2024
(12/2025)","06/2028
(-)","1122.02
(1869.59)"
182,"4/6L of Northern Ayodhya Bypass starting Km. 112.540 and ending Km. 139.928 north
of existing NH-27 part-1 and part-2 south of NH-27 from km 0.000 to km 5.000.
(NHAI)
(618567)",Uttar Pradesh,"08/2024
(07/2025)","01/2028
(-)","2289.34
(1834.25)"
183,"4 Lane Inner Ring Road around Allahabad City Pkg-1 Prayagraj Southern Bypass
34.400 43.200
(National Highways Authority of India [NHAI])
(618961)",Uttar Pradesh,"02/2025
(12/2025)","12/2027
(-)","775.94
(498.97)"
184,"Rehabilitation & Up-gradation from design Km. 0.000 to Km. 69.280 of NH-931
Pratapgarh - Amethi - Gauriganj -Musafirkhana to two lane with paved shoulder on
Engineering, Procurement & Construction EpC mode in the State of Uttar Pradesh
(MoRTH)
(618067)",Uttar Pradesh,"05/2023
(11/2025)","11/2027
(-)","1086.3
(-)"
185,"Construction of 4 lane Mirzapur bypass including bridge over river Ganga from km
0.000 to km 15.000 of NH 135A in the State of Uttar Pradesh on HAM Mode.
(MoRTH)
(618247)",Uttar Pradesh,"03/2024
(01/2026)","01/2029
(-)","1708.62
(-)"
186,"Widening to 4 lane from km. 139.00 to km 179.20 of NH-135A Pkg-III Jaunpur
Akbarpur section and Akbarpur bypass on Hybrid Annuity Mode in the state of Uttar
Pradesh.
(MoRTH)
(618248)",Uttar Pradesh,"05/2023
(01/2026)","01/2028
(-)","1653.15
(-)"
187,"Construction of Ring Road around Kanpur from Ch.68.650 to Ch.93.209 Jarkala to
Pakari Package-IV in State of Uttar Pradesh.
(National Highways Authority of India [NHAI])
(618536)",Uttar Pradesh,"02/2023
(12/2024)","06/2027
(-)","1603.53
(1192.16)"
188,"Construction of Ring Road around Kanpur from Ch.23.325 to Ch.32.090 Chaudhariya
to Transganga Package-IIA
(National Highways Authority of India [NHAI])
(618540)",Uttar Pradesh,"08/2024
(11/2025)","10/2027
(-)","1089.41
(977.45)"
189,"lmprovement and Up-gradation from Km. 73.300 Bikapur to Km.140.960 Patranga of
NH-227B 84 Kosi Parikrama Marg to 2LPS along with Parikrama Path
(MoRTH)
(618116)",Uttar Pradesh,"11/2022
(01/2026)","01/2028
(-)","1679.75
(-)"
190,"Improvement and up-gradation to 2LPS of NH-227B 84-Kosi Parikrama Marg
PackageVI, Design Km 160200 Bahuvan Madar Majha to Km 224040 Jagarnathpur
under HAM
(MoRTH)
(618162)",Uttar Pradesh,"05/2023
(01/2026)","01/2028
(-)","2008.7
(-)"
191,"Rehabilitation and upgradation of Salon - Jais - Jagdishpur Road section of NH-931A,
from design Chainage km 0.000 to km 5.740 to four lane divided carriageway and from
design Chainage km 5.740 to km 53.500 to two lane with paved Total length km
53.500 along with One time improvement in 04 no's of realigned/bypassed built-up
areas in a total length of 9.732 km in the state of Uttar Pradesh on EPC mode
(MoRTH)
(618187)",Uttar Pradesh,"05/2023
(10/2025)","10/2027
(-)","947.15
(-)"
192,"Construction of Salempur bypass to 4LPS from km 64.000 of NH-727A Km 171.00 of
Sonauli Balia Marg, old SH-01, near Mahadahan Chauraha to km 61.500 of NH-727B
Km 178.500 of Sonauli Balia Marg, old SH-01, near near Ahirauli Village under Hybrid
Annuity Mode HAM in the State of Uttar Pradesh
(MoRTH)
(618260)",Uttar Pradesh,"03/2022
(11/2025)","11/2027
(-)","1348.06
(-)"
