Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
790,"Muddanur to B. Kothapalli section of NH-716G from Km. 0/000 to Km. 56/500 56.500
Km in the State of Andhra Pradesh on EPC mode Job no. 741
(MoRTH)
(618053)",Andhra Pradesh,"10/2024
(08/2025)","08/2027
(-)","1019.97
(1019.97)",0,0
791,"Dornala to Kunta Junction from Design Chainage Km 244000 to 267990 section of
NH-765 Package-2
(MoRTH)
(618062)",Andhra Pradesh,"12/2022
(03/2024)","09/2025
(-)","244.83
(244.83)",0,84
792,"Rehabilitation and upgradation of NH 326A from km 0/0 to 41/979 excluding km 2/255
to 3/372 and km 36/820 to 38/275 Odisha border to Narasamapeta to two lane with
paved Shoulders in the State of Andhra Pradesh under NHO on EPC Mode
(MoRTH)
(618125)",Andhra Pradesh,"03/2018
(09/2018)","03/2020
(03/2021)","228.32
(228.32)",70.6,100
793,"Widening to two lane with paved shoulder of Rampachodavaram - Koyyuru section of
NH 516E from Km 43700 to Km 113820 in the State of Andhra Pradesh on EPC
mode Job No. 737
(MoRTH)
(618145)",Andhra Pradesh,"03/2022
(01/2023)","01/2025
(-)","568.12
(568.12)",289.47,92
794,"Widening and Reconstruction of existing road to four lane from Km.56400 to Km
120300 i.e. from B.Kothapalli Junction to Gorantla excluding Kadiri Bypass from Km
70200 to Km 77105 of NH 716G in the State of Andhra Pradesh on EPC mode Job
no. 742
(MoRTH)
(618161)",Andhra Pradesh,"03/2022
(09/2023)","12/2025
(-)","839.98
(839.98)",360.45,99
795,"Rehabilitation and upgradation of NH-167AD from Macherla to Dachepalli via Paluvai
Junction, Rentachinthala, Gurazala from Km.0.000 to 43.659 to two lane with paved
shoulders in the state of Andhra Pradesh job-729
(MoRTH)
(618191)",Andhra Pradesh,"01/2022
(01/2023)","01/2025
(-)","403.22
(403.22)",220.99,97
796,"Duttalur at NH-565 Junction to Kavali Joining on NH-16 Chainage Km. 36/400 to Km.
107/224 excluding the stretch from Km 101.880 to 105.300 67.404 Km of NH-167BG
from in the State of Andhra Pradesh on EPC mode
(MoRTH)
(618192)",Andhra Pradesh,"03/2021
(07/2022)","07/2024
(-)","423.67
(423.67)",0,81
797,"Rehabilitation and upgradation of New NH 544DD from design Chainage Km. 56/000
to 102/20 of Kalyandrg - Molakalmuru Section
(MoRTH)
(618194)",Andhra Pradesh,"03/2018
(08/2018)","02/2020
(11/2021)","294.13
(285.29)",287.94,98
798,"Rehabilitation and Up-gradation of Pasarlapudi to Dhindi section from Km 105/170 to
Km 126/510 of NH -214 New NH -216 to two lane with paved shoulder in the state of
Andhra Pradesh under NHDP-IV
(MoRTH)
(618237)",Andhra Pradesh,"03/2017
(09/2017)","09/2019
(05/2024)","263.45
(263.45)",151.56,98
799,"Rehabilitation and Up-gradation of Thimmapuram to Gurajanapalli section from Km
26/150 to Km 41/161 of NH - 214 New NH - 216 to two lane with paved shoulder in
the state of Andhra Pradesh under NHDP-IV
(MoRTH)
(618238)",Andhra Pradesh,"08/2016
(01/2017)","07/2018
(06/2025)","350.61
(432.91)",233.92,98
800,"Construction of Paderu bypass Km 0000 to Km 13000 of 2- lane with paved shoulder
on NH-516E
(MoRTH)
(618254)",Andhra Pradesh,"03/2023
(01/2025)","07/2026
(-)","244.43
(244.43)",2.14,3
801,"Two laning with paved shoulders of Lambasingi to Paderusection of NH 516E
(MoRTH)
(618255)",Andhra Pradesh,"04/2020
(11/2023)","11/2025
(-)","361.24
(358.05)",77.68,23
802,"Rehabilitation and Upgradation to 2-lane with paved should ders Sir, configuration of
Chaprathipalem to Lambasingi section Km 165500 to Km 205000 of NH-516E in the
State of Andhra Pradesh under Green National Highways Corridor Project GNHCP
with the loan assistance of World Bank on EPC mode
(MoRTH)
(618256)",Andhra Pradesh,"08/2020
(10/2022)","10/2024
(-)","311.22
(311.22)",172.01,76
803,"Rehabilitation and Upgradation to 2-lane with paved shoulders configuration of
Koyyuru to Chaprathipalem section Km 120000 to Km 165500 of NH-516E in the
State of Andhra Pradesh under Green National Highways Corridor Project GNHCP
with the loan assistance of World Bank on EPC mode
(MoRTH)
(618257)",Andhra Pradesh,"08/2020
(07/2022)","07/2024
(10/2025)","349.29
(349.29)",221.52,86
804,"Two laning with paved shoulders of Gondiguda to Araku uptoBhallaguda section of NH
516E
(MoRTH)
(618258)",Andhra Pradesh,"08/2020
(09/2021)","09/2023
(04/2024)","296.66
(289.11)",237.52,91
805,"Two laning with paved shoulders of Paderu to GundigudaSection of NH 516E
(MoRTH)
(618259)",Andhra Pradesh,"08/2020
(03/2021)","03/2023
(03/2024)","222.61
(222.61)",122.52,100
806,"Construction of i Connecting Road from Z-Morh Tunnel to Zojila Tunnel Road Length
18.475km and ii 14.150 Km long 2-L Bi-directional single tube Zoji-la Tunnel across
Zojila Pass on Sonamarg - Kargil section from Km 82 to Km 118 of NH-01 under
PMDP
(NHIDCL)
(618412)",Andhra Pradesh,"01/2018
(10/2020)","09/2026
(12/2027)","6808.69
(6808.69)",3147.58,66
807,"Bangalore Chennai Expressway Phase-II Pkg-II from km.96.000 to Km 127.000
Baireddypalle to Bangarupalem section
(National Highways Authority of India [NHAI])
(618475)",Andhra Pradesh,"02/2021
(06/2023)","06/2025
(06/2026)","2548.04
(2548.04)",1079.15,83
808,"Bangalore Chennai Expressway Phase-II Pkg-III from km.127.000 to Km 156.000
Bangarupalem to Gudipala section
(National Highways Authority of India [NHAI])
(618476)",Andhra Pradesh,"11/2020
(10/2022)","10/2024
(-)","1407.33
(1407.33)",675.57,99
809,"Construction of flyover at Gammon Junction at Km.903.265 on NH16 including vent at
Diwancheruvu junction at Km.902.308 Blackspot ID No.AP03299 in Andhra Pradesh
on EPC mode under NHO
(National Highways Authority of India [NHAI])
(618525)",Andhra Pradesh,"03/2025
(10/2025)","10/2027
(-)","326.61
(223.29)",5.34,4
