Sl.No,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,Department for Promotion of Industry & Internal Trade,Real Estate,2,"3841.25
3841.25",422.99
,,"Tourism, Hospitality & Wellness",1,"5178
5401",4470
2,Department of Higher Education,Education,30,"12754.41
12685.5",8277.36
3,Department of Telecommunications,Telecommunication,15,"151089.45
273182",71833.2
4,"Department of Water Resources, River Development
& GR",Waste & Water,8,"4039.12
4039.12",1590.56
,,Water Resources,45,"97037.25
215274",143186
5,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,27,"23265.01
23726.2",5883.97
6,Ministry of Coal,Coal,118,"169952.27
170585",52990.5
,,Electricity Generation,5,"46865.63
51408.8",23308.2
,,Railways,2,"3485.86
3485.86",1636.67
7,Ministry of Health & Family Welfare,Healthcare,3,"4155
4492.95",2646.56
8,Ministry of Housing & Urban Affairs,Construction,1,"646.53
646.52",518.46
,,Inland Waterways,1,"63246
63246",47162.7
,,Real Estate,10,"44555.17
44555.2",6303.55
,,Urban Public Transport,21,"223016.77
230264",157669
,,Waste & Water,2,"410
410",100
9,Ministry of Mines,Construction,1,"255.37
255.37",78.34
,,Metals & Mining,9,"12736.35
15116.5",6040.77
10,Ministry of Petroleum & Natural Gas,Energy Storage,17,"82155.48
114517",90143.8
,,Oil & Gas,93,"353990.1
385767",186037
11,"Ministry of Ports, Shipping and Waterways",Healthcare,1,"693
693",58
,,Inland Waterways,2,"9612.82
9304.79",3778.54
,,Shipping,5,"4823.34
4823.34",1812.05
,,"Tourism, Hospitality & Wellness",1,"573
1238.05",487.35
12,Ministry of Power,Coal,2,"2083
2365",901.38
,,Electricity Generation,31,"224064.24
273137",129610
,,Transmission & Distribution,61,"142976.51
145116",49396.5
13,Ministry of Railways,Inland Waterways,3,"4265
5184",2178.18
,,Railways,252,"673330.1
809778",503708
,,Real Estate,1,"493
493",252.45
,,Urban Public Transport,1,"2298
2734",393
14,Ministry of Steel,Metals & Mining,1,"1700
1756.2",65.44
,,Steel,19,"16748.25
19986.5",7759.53
Total,,,791,"2,386,335.28","1,510,700.05"
