Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
12,Gujarat,"Ministry of Ports, Shipping and Waterways","Tourism, Hospitality & Wellness",1,"573
1238.05",487.35
,,Ministry of Power,Electricity Generation,1,"339.35
339.35",317.59
,,,Transmission & Distribution,13,"45319.41
45318.9",12189.63
,,Ministry of Railways,Railways,31,"189276.71
263686",214924.05
,,,Total,75,405146.58,392988.46
13,Haryana,Ministry of Health & Family Welfare,Healthcare,1,"1299
1299",349.41
,,Ministry of Housing & Urban Affairs,Urban Public Transport,1,"6230.99
6230.99",0.14
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"9028
9028",7071.08
,,,Oil & Gas,5,"45925.07
49596.1",33255.25
,,Ministry of Power,Transmission & Distribution,4,"13362
13914",2575.26
,,Ministry of Railways,Railways,4,"53464
126368",125556.07
,,,Total,16,129309.06,168807.21
14,Himachal Pradesh,Department of Higher Education,Education,3,"811.15
921.89",576.20
,,Department of Telecommunications,Telecommunication,1,"336.89
301.13",225.71
,,Ministry of Power,Electricity Generation,4,"7728.04
12252.1",4103.90
,,Ministry of Railways,Railways,3,"17005
17005",8745.88
,,,Total,11,25881.08,13651.69
15,Jammu and Kashmir,Department of Higher Education,Education,1,"424.93
500.91",484.52
,,Department of Telecommunications,Telecommunication,1,"336.89
301.13",225.71
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"861.37
861.37",154.30
,,Ministry of Health & Family Welfare,Healthcare,1,"1828
1828",1504.91
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"676.89
676.89",518.22
,,,Oil & Gas,2,"1059.9
1059.9",194.19
,,Ministry of Power,Electricity Generation,4,"22207.77
22207.8",12060.37
,,,Transmission & Distribution,3,"825.43
825.43",488.41
,,,Total,14,28221.18,15630.63
16,Jharkhand,Department of Telecommunications,Telecommunication,2,"5262.57
5262.57",1697.56
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"5430.04
12010.3",5692.84
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"215.17
215.17",104.92
,,Ministry of Coal,Coal,27,"45414.48
45178.8",10320.88
,,,Railways,1,"1799.64
1799.64",1293.71
,,Ministry of Housing & Urban Affairs,Real Estate,1,"212.74
212.74",41.00
,,Ministry of Mines,Metals & Mining,2,"3370.02
3370.02",13.33
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"10228
11407",9701.95
,,,Oil & Gas,3,"2010.07
2010.07",596.23
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",3432.34
,,Ministry of Power,Coal,2,"2083
2365",901.38
,,,Electricity Generation,2,"31470
34660",18481.70
,,Ministry of Railways,Railways,12,"43938.71
44332.7",14801.80
,,Ministry of Steel,Steel,6,"2854.58
3572.87",1251.51
,,,Total,63,159658.2,68331.15
17,Karnataka,"Department for Promotion of Industry &
Internal Trade",Real Estate,1,"1701.81
1701.81",95.00
,,Department of Higher Education,Education,1,"420.41
420.41",360.72
,,"Department of Water Resources, River
Development & GR",Water Resources,1,"770.16
1606.07",1511.22
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,4,"1358.57
1358.57",583.49
,,Ministry of Housing & Urban Affairs,Urban Public Transport,2,"41193.24
45483.2",37902.51
