Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
572,"Koderma-Barkakana Arigada 133 Km
(CAO/Con/South/MHX ECR mor)
(617832)
(-) (-)",Jharkhand,"06/2025
(07/2026)","12/2029
(-)","2887.11
(2887.11)",0.85,0
573,"Gomoh - Flyover for down trains 20 km
(CAO/Con/South/MHX ECR mor)
(705765)
(-) (-)",Jharkhand,"01/2018
(04/2022)","03/2026
(03/2026)","686.00
(686.03)",531.63,65
574,"Lodhma-Piska - Link line bypassing Hatia / Ranchi with Y connection 17.2 km
(CAO/C/SER SER mor)
(705785)
(-) (-)",Jharkhand,"08/2021
(11/2025)","06/2026
(05/2027)","473.00
(472.50)",344.5,14
575,"Pradhan Kuntha Jn Line Doubling Project
(East Central Railway [ECR] - I)
(706837)
(-) (-)",Jharkhand,"11/2022
(11/2022)","11/2027
(11/2027)","349.22
(349.22)",145.57,72
576,"Construction of New BG line between Hassan to Belur [27 Km]
(South Western Railway [SWR] - II)
(400023)
(-) (-)",Karnataka,"03/2019
(12/2025)","04/2028
(03/2030)","749.00
(749.00)",3.43,0.5
577,"Gadag - Wadi 252 km
(CAOC/SWR SWR mor)
(705490)
(-) (-)",Karnataka,"04/2013
(08/2017)","03/2027
(12/2027)","2842.00
(3668.17)",2252.04,35
578,"Kadur-Chickmagalur-Sakleshpur 93 km
(CAOC/SWR SWR mor)
(705492)
(-) (-)",Karnataka,"01/2014
(06/2023)","06/2025
(12/2025)","825.00
(1043.15)",790.72,83
579,"Hubli-Ankola 167 km
(CAOC/SWR SWR mor)
(705493)
(-) (-)",Karnataka,"01/1999
(08/2023)","03/2005
(03/2030)","5174.00
(533.32)",186.31,10
580,"Bagalkot-Kudachi 142 km
(CAOC/SWR SWR mor)
(705495)
(-) (-)",Karnataka,"02/2010
(02/2025)","03/2027
(01/2027)","1378.00
(1710.44)",797.37,35
581,"Tumkur-Chitradurg-Davangere 199.7 km
(CAOC/SWR SWR mor)
(705496)
(-) (-)",Karnataka,"03/2011
(11/2017)","03/2019
(12/2027)","1876.00
(1801.01)",676.71,22
582,"Bangalore-Whitefield-Bangalore City-Krishnarajapuram 23.08 km - Quadrupling
(CPM/GS/SBC SWR mor)
(705663)
(-) (-)",Karnataka,"03/2018
(05/2022)","02/2026
(02/2026)","493.00
(717.54)",459.94,70
583,"Shimoga-Shikaripura-Ranebennur 103 km umbrella work PB23/2018-19/NR
(CAOC/SWR SWR mor)
(705761)
(-) (-)",Karnataka,"09/2019
(12/2023)","12/2027
(06/2028)","1454.00
(455.86)",106.18,14
584,"Bangalore Suburban Railway Project
(Karnataka Rail Infrastructure Development Company Limited [K-RIDE])
(705941)
(-) (-)",Karnataka,"10/2020
(10/2020)","12/2026
(03/2030)","15767.00
(15767.00)",3277.99,20.02
585,"Kumbalam-Turavur - Patch doubling 15.59 km
(CAO/CN/ERS SR mor)
(705638)
(-) (-)",Kerala,"04/2023
(10/2024)","03/2027
(03/2027)","813.00
(1171.46)",395.03,30
586,"Ernakulam-Kumbalam - Patch doubling 7.71 km
(CAO/CN/ERS SR mor)
(705639)
(-) (-)",Kerala,"04/2023
(10/2024)","03/2028
(02/2027)","601.00
(827.50)",312.63,25
587,"Gwalior-Sheorpurkalan with extension to Kota 284 km
(CAO/C/NCR NCR mor)
(705419)
(-) (-)",Madhya Pradesh,"02/2010
(04/2018)","03/2025
(02/2026)","2913.00
(3947.00)",3068.75,91
588,"Satna - Rewa 50 km
(CE/C-4/WCR WCR mor)
(705659)
(-) (-)",Madhya Pradesh,"11/2015
(08/2016)","03/2026
(03/2026)","500.00
(646.10)",618.19,88
589,"Katni - Grade separator / bypass 21.50 km
(GM IRCON KATNI WCR mor)
(705661)
(-) (-)",Madhya Pradesh,"08/2016
(09/2017)","09/2024
(09/2026)","1248.00
(2300.00)",1839.46,84
590,"Nimach-Ratlam 133 km
(CAOCWR WR mor)
(705933)
(-) (-)",Madhya Pradesh,"10/2021
(08/2022)","10/2027
(10/2027)","1095.88
(1770.58)",1488.18,100
591,"Aurangabad-Ankai 98.25 km
(CAOCON/SCR SCR mor)
(611751)
(-) (-)",Maharashtra,"05/2023
(06/2024)","12/2025
(-)","960.64
(960.64)",381.13,0
592,"Pachora-Jamner with extension upto Malkapur-Narrow gauge to broad gauge 84 km
(CAOC/CR CR mor)
(612845)
(-) (-)",Maharashtra,"08/2022
(01/2026)","08/2027
(-)","955.39
(2093.82)",294.53,10
593,"Redevelopment of Chhatrapati Shivaji Maharaj Terminus [CSMT] and construction of
associated infrastructure
(Rail Land Development Authority)
(613015)
(-) (-)",Maharashtra,"04/2023
(07/2023)","03/2027
(-)","1813.00
(1813.00)",873.99,25
