Sl.No,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,1,"763
763",430
,,Real Estate,8,"16507.91
16507.9",1742.34
,,Total,9,"17,270.91","2,172.34"
2,Department of Higher Education,Education,30,"15165.68
14945.9",8423.25
,,Total,30,"15,165.68","8,423.25"
3,Department of Sports,Education,1,"906.47
611.74",576.37
,,Total,1,906.47,576.37
4,Department of Telecommunications,Telecommunication,15,"161792.15
263714",79930.2
,,Total,15,"161,792.15","79,930.20"
5,"Department of Water Resources, River Development
& GR",Waste & Water,8,"4039.12
4039.12",1655.55
,,Water Resources,32,"98109.28
199840",143454
,,Total,40,"102,148.40","145,109.55"
6,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,25,"21345.07
22559.1",11209.2
,,Total,25,"21,345.07","11,209.20"
7,Ministry of Coal,Coal,113,"182823.26
180279",50030.4
,,Electricity Generation,6,"36781.81
36781.8",6166.01
,,Railways,2,"3485.86
5002.87",2505.92
,,Total,121,"223,090.93","58,702.33"
8,Ministry of Health & Family Welfare,Healthcare,35,"20308.19
24527",10433.5
,,Total,35,"20,308.19","10,433.50"
9,Ministry of Housing & Urban Affairs,Construction,1,"644
644",175.79
,,Real Estate,4,"33749.85
33816",15088
,,Urban Public Transport,29,"307834.71
326438",172730
,,Waste & Water,16,"3986.5
4085.78",3150.88
,,Total,50,"346,215.06","191,144.67"
10,Ministry of Labour and Employment,Healthcare,9,"2299.24
2496.24",1160.08
,,Total,9,"2,299.24","1,160.08"
11,Ministry of Mines,Construction,1,"255.37
255.37",98.92
,,Metals & Mining,5,"7989.36
12087.2",7351.9
,,Total,6,"8,244.73","7,450.82"
12,Ministry of Petroleum & Natural Gas,Energy Storage,14,"36838.3
40278.8",32754.4
,,Oil & Gas,91,"362124.04
392963",386636
,,Total,105,"398,962.34","419,390.40"
13,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",4117.61
,,Shipping,6,"14404.75
14445.4",10972
,,"Tourism, Hospitality & Wellness",1,"573
1238.05",636.91
,,Total,8,"20,346.93","15,726.52"
14,Ministry of Power,Coal,2,"2083
2365",1053.41
,,Electricity Generation,32,"314074.05
364801",136477
,,Transmission & Distribution,64,"197615.23
203579",65919.5
,,Total,98,"513,772.28","203,449.91"
15,Ministry of Railways,Railways,255,"721177.95
868991",581963
,,Total,255,"721,177.95","581,963.00"
16,Ministry of Road Transport & Highways,Roads & Highways,1022,"969676.9
989066",448973
,,Total,1022,"969,676.90","448,973.00"
17,Ministry of Steel,Metals & Mining,1,"1700
1756.2",263.01
,,Steel,17,"17297.84
20536.1",10585.1
,,Total,18,"18,997.84","10,848.11"
Total,,,1847,"3,561,721.07","2,196,663.25"
