Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
15,Jammu and Kashmir,Ministry of Power,Transmission & Distribution,1,"218.6
218.6",3.72
,,Ministry of Road Transport & Highways,Roads & Highways,36,"33480.75
33631.9",15604.95
,PAN India,Department of Telecommunications,Telecommunication,2,"61754.13
188645",49216.84
,,,Total,50,122485.45,84579.70
16,Jharkhand,Department of Telecommunications,Telecommunication,3,"7147.17
3937.81",1958.12
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"5430.04
12010.3",6213.24
,,Ministry of Coal,Coal,27,"48656.67
48421",11920.78
,,,Railways,1,"1799.64
2564.34",1713.19
,,Ministry of Health & Family Welfare,Healthcare,2,"500
958.9",336.00
,,Ministry of Housing & Urban Affairs,Waste & Water,3,"654.14
654.14",403.16
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"10228
12407",11036.00
,,,Oil & Gas,2,"633.07
633.07",332.89
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",4117.61
,,Ministry of Power,Coal,2,"2083
2365",1053.41
,,,Electricity Generation,2,"33026
34660",21321.88
,,,Transmission & Distribution,1,"1842.25
1842.25",1648.05
,,Ministry of Railways,Railways,13,"38167.71
39028.4",11435.06
,,Ministry of Road Transport & Highways,Roads & Highways,35,"39729.1
39718.4",18438.80
,,Ministry of Steel,Steel,5,"2340.76
3059.05",1629.15
,PAN India,Department of Telecommunications,Telecommunication,2,"61754.13
188645",49216.84
,,,Total,102,259360.86,142774.18
17,Karnataka,"Department for Promotion of Industry &
Internal Trade",Real Estate,1,"1701.81
1701.81",324.12
,,"Department of Water Resources, River
Development & GR",Water Resources,1,"770.16
1606.07",1515.60
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,"1143.4
1143.4",779.68
,,Ministry of Housing & Urban Affairs,Urban Public Transport,3,"56804.24
61094.2",40189.40
,,,Waste & Water,1,"162.73
162.73",79.50
,,Ministry of Labour and Employment,Healthcare,2,"428.92
428.92",111.57
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"678
1732",1155.32
,,,Oil & Gas,5,"9662
12693.6",9924.23
,,"Ministry of Ports, Shipping and Waterways",Shipping,1,"153.23
153.23",97.45
,,Ministry of Power,Transmission & Distribution,10,"23490.99
23491",8710.83
,,Ministry of Railways,Railways,20,"46557.93
52395.5",20413.77
,,Ministry of Road Transport & Highways,Roads & Highways,71,"75391.53
79644.5",47464.28
,,Ministry of Steel,Steel,1,"1043.63
1043.63",628.29
,PAN India,Department of Telecommunications,Telecommunication,3,"65496.13
192387",49652.15
,,,Total,123,283484.7,181046.19
18,Kerala,"Department for Promotion of Industry &
Internal Trade",Real Estate,1,"3805
3805",0.00
,,Department of Higher Education,Education,2,"2533.45
2744.4",696.00
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"484.57
484.57",227.50
,,Ministry of Housing & Urban Affairs,Urban Public Transport,1,"1957.05
1957.05",752.34
,,Ministry of Petroleum & Natural Gas,Oil & Gas,3,"8505
11889",6056.26
,,Ministry of Power,Transmission & Distribution,1,"173.14
173.14",2.08
,,Ministry of Railways,Railways,3,"2846
5183.64",3679.44
,,Ministry of Road Transport & Highways,Roads & Highways,21,"55629.95
61868.6",42226.82
,PAN India,Department of Telecommunications,Telecommunication,2,"61754.13
188645",49216.84
,,,Total,35,137688.29,102857.28
