Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","(Orignal/Target DoC)
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
,Ministry of Civil Aviation,,,,,
,Aviation & Aviation Infrastructure,,,,,
1,"Goa Airport Terminal Building Extension Project
(Airport Authority of India [AAI])
701105",Goa,"11/2017
(12/2019)","(12/2021)
(04/2026)","255.69
(255.69)",161.06
,Total (1),,,,255.69,161.06
,Ministry of Petroleum & Natural Gas,,,,,
,Energy Storage,,,,,
2,"Rajasthan Refinery Project
(MinistryofPetroleumNaturalGas)
701263",Rajasthan,"10/2017
(10/2017)","(10/2022)
(06/2026)","43129
(79459)",70293.57
3,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing
Dharmanagar Depot
(Indian Oil Corporation Limited [IOCL])
400035",Tripura,"06/2022
(06/2022)","(09/2025)
(06/2026)","656
(656)",546.57
,Total (2),,,,43785,70840.14
,Oil & Gas,,,,,
4,"HP TDAE Unit in Mumbai Refinery
(Hindustan Petroleum Corporation Limited)
709760",Maharashtra,"06/2024
(06/2024)","(04/2026)
(06/2026)","240
(240)",160.8
5,"ATF Pipeline from Jawaharlal Nehru Port Trust to Navi Mumbai International
Airport
(Indian Oil Corporation Limited [IOCL])
709782",Maharashtra,"08/2022
(08/2022)","(08/2025)
(06/2026)","165
(165)",103.36
,Total (2),,,,405,264.16
,Ministry of Power,,,,,
,Transmission & Distribution,,,,,
6,"Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and
Kurnool 1000MW
(Power Grid Corporation of India Limited [POWERGRID])
611967",Andhra Pradesh,"09/2023
(09/2023)","(09/2025)
(05/2026)","823
(-)",798.31
7,"Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone Part-A
and Part-B
(Power Grid Corporation of India Limited [POWERGRID])
900808","Multi-States (Telangana,
Andhra Pradesh)","11/2022
(03/2023)","(11/2024)
(05/2026)","3546.94
(-)",3546.94
8,"Transmission system for evacuation of power from REZ in Rajasthan 20 GW
under Phase-III part H
(Power Grid Corporation of India Limited [POWERGRID])
611948",Rajasthan,"10/2023
(10/2023)","(04/2025)
(06/2026)","1910
(-)",1910
,Total (3),,,,6279.94,6255.25
,Ministry of Road Transport & Highways,,,,,
,Roads & Highways,,,,,
9,"Rehabilitation and Up-gradation from Km 170700 Bhadrachalam to Km 234567
Konta on NH-30 to Two lane with Paved Shoulder in the State of Andra Pradesh
on EPC mode.
(MoRTH)
617907",Andhra Pradesh,"12/2021
(09/2022)","(09/2024)
(04/2026)","436.09
(-)",240.15
10,"Construction of bypass road to Adoni town connecting NH-167 Hagari -
Jadcharla road from km.62/700 to 71/400 in Kurnool District in the State of
Andhra Pradesh.
(MoRTH)
617990",Andhra Pradesh,"03/2023
(02/2024)","(11/2025)
(11/2025)","242
(-)",99.13
11,"Widening to two lane with paved shoulder of Rampachodavaram - Koyyuru
section of NH 516E from Km 43700 to Km 113820 in the State of Andhra
Pradesh on EPC mode Job No. 737
(MoRTH)
618145",Andhra Pradesh,"03/2022
(01/2023)","(01/2025)
(04/2026)","568.12
(-)",324.96
12,"Widening and Reconstruction of existing road to four lane from Km.56400 to Km
120300 i.e. from B.Kothapalli Junction to Gorantla excluding Kadiri Bypass from
Km 70200 to Km 77105 of NH 716G in the State of Andhra Pradesh on EPC
mode Job no. 742
(MoRTH)
618161",Andhra Pradesh,"03/2022
(09/2023)","(12/2025)
(03/2026)","839.98
(-)",415.11
13,"Rehabilitation and upgradation of NH-167AD from Macherla to Dachepalli via
Paluvai Junction, Rentachinthala, Gurazala from Km.0.000 to 43.659 to two lane
with paved shoulders in the state of Andhra Pradesh job-729
(MoRTH)
618191",Andhra Pradesh,"01/2022
(01/2023)","(01/2025)
(02/2026)","403.22
(-)",256.17
14,"Rehabilitation and Up-gradation of Pasarlapudi to Dhindi section from Km
105/170 to Km 126/510 of NH -214 New NH -216 to two lane with paved
shoulder in the state of Andhra Pradesh under NHDP-IV
(MoRTH)
618237",Andhra Pradesh,"03/2017
(09/2017)","(09/2019)
(01/2026)","263.45
(-)",158.8
15,"Two laning with paved shoulders of Gondiguda to Araku uptoBhallaguda section
of NH 516E
(MoRTH)
618258",Andhra Pradesh,"08/2020
(09/2021)","(09/2023)
(12/2025)","296.66
(289.11)",275.38
16,"Two laning with paved shoulders of Paderu to GundigudaSection of NH 516E
(MoRTH)
618259",Andhra Pradesh,"08/2020
(03/2021)","(03/2023)
(10/2025)","222.61
(-)",181.04
17,"Six Laning of Vijayawada Bypass from Gollapudi to Chinnakakani in Vijayawada -
Gundugolanu Section from km. 30.00 to km. 47.881 Pkg-IV
(NHAI)
618527",Andhra Pradesh,"01/2020
(07/2021)","(01/2024)
(05/2026)","1194.57
(1757.82)",862.83
18,"Khammam-Devarapalle Pkg IV [4L Access Controlled Greenfield from Recherla
village to Gurvaygudem village Design Chainage 105236 to 132664]
(NHAI)
618748",Andhra Pradesh,"11/2020
(09/2022)","(09/2024)
(01/2026)","569.37
(752.02)",499.99
