Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Ministry of Civil Aviation,,,,,,
,Aviation & Aviation Infrastructure,,,,,,
1,"Guwahati Airport New Integrated Terminal Building Construction Project
(Adani Airport Holdings Limited)
(706724)",Assam,"12/2016
(03/2018)","03/2025
(06/2026)","1712
(2520)",2660.15,99.3
2,"C/o NITB Imphal Airport
(Airport Authority of India [AAI])
(706718)",Manipur,"11/2021
(07/2022)","07/2024
(12/2026)","499
(499)",206.83,52.64
3,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c
slope stabilization Measures [Balance work] of uphill and Improvement of Storm
Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC]
with integrated 10 years maintenance.
(Airport Authority of India [AAI])
(612793)",Sikkim,"11/2023
(12/2023)","06/2026
(06/2027)","323.26
(323.26)",87.6,36.12
,Total (3),,,,2534.26,2954.58,
,Ministry of Coal,,,,,,
,Coal,,,,,,
4,"TIRAP OCP
(INVALID CO.)
(615821)",Assam,"11/2022
(11/2022)","11/2030
(-)","289.46
(289.46)",105.66,5.26
5,"TIKAK EXTENSION OCP
(INVALID CO.)
(615820)",Assam,"07/2022
(07/2022)","07/2031
(-)","159.77
(159.77)",112.8,89.73
,Total (2),,,,449.23,218.46,
,Department of Higher Education,,,,,,
,Education,,,,,,
6,"Construction of Permanent Campus of National Institute of Technology Arunachal
Pradesh
(National Institute of Technology, Arunachal Pradesh)
(612898)",Arunachal Pradesh,"09/2009
(03/2013)","08/2026
(08/2024)","592.61
(592.61)",551.3,80
7,"Tezpur University Projects
(Tezpur University)
(606112)",Assam,"05/2019
(06/2021)","11/2023
(12/2025)","153.71
(153.71)",137.84,97.97
8,"Construction and Developement of National Institute of Technology Meghalaya
Permanent Campus at Sohra
(National Institute of Technology, Meghalaya)
(612885)",Meghalaya,"09/2009
(09/2014)","03/2022
(10/2026)","494.52
(429.7)",368.98,96
9,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl
(NIT Mizoram)
(612876)",Mizoram,"09/2009
(06/2014)","12/2029
(03/2022)","474.23
(474.23)",167.55,4
10,"Establishment of NIT Nagaland
(NIT Nagaland)
(613013)",Nagaland,"09/2009
(12/2014)","12/2025
(-)","275.63
(275.63)",263.25,98
11,"Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok
District
(NIT Sikkim)
(612883)",Sikkim,"02/2024
(03/2024)","02/2028
(12/2026)","685.76
(610.76)",283.56,37.6
12,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South
Sikkim
(Sikkim University)
(609736)",Sikkim,"08/2020
(01/2022)","01/2025
(03/2026)","314.06
(351.74)",292,96
,Total (7),,,,2990.52,2064.48,
,Department of Sports,,,,,,
,Education,,,,,,
13,"National Sports University [NSU], Imphal [Manipur]
(Department of Sports & Youth Affairs)
(400081)",Manipur,"06/2022
(01/2022)","08/2024
(08/2026)","906.47
(611.74)",576.37,97.25
,Total (1),,,,906.47,576.37,
,Ministry of Power,,,,,,
,Electricity Generation,,,,,,
14,"Dibang Multipurpose Project
(National Hydroelectric Power Corporation Limited [NHPC])
(602182)",Arunachal Pradesh,"02/2023
(02/2023)","02/2032
(02/2032)","31876.39
(31876.4)",4749.66,17.78
15,"240MW Heo HE Project
(North Eastern Electric Power Corporation Limited)
(611698)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1938.85
(1938.85)",105.5,6.33
16,"186 MW Tato-I H E Project
(North Eastern Electric Power Corporation Limited)
(611699)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1750.07
(1750.07)",78.38,5.1
17,"700 MW Tato-II HE Project
(North Eastern Electric Power Corporation Limited)
(611716)",Arunachal Pradesh,"09/2025
(09/2025)","09/2031
(-)","8146.21
(8146.21)",253.97,6.54
18,"Kalai-II Hydro Electric Project [1200 MW]
(THDC India Limited)
(619311)",Arunachal Pradesh,"04/2026
(04/2026)","10/2032
(-)","14105.83
(14105.8)",188.62,0
19,"Subansiri Lower HE Project [2000 MW]
(National Hydroelectric Power Corporation Limited [NHPC])
(602096)","Multi-States (Arunachal
Pradesh, Assam)","09/2003
(01/2005)","09/2010
(05/2026)","6285.33
(26075.5)",26379.99,97.84
20,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA
HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired
through NCLT]
(National Hydroelectric Power Corporation Limited [NHPC])
(602181)",Sikkim,"03/2019
(03/2020)","03/2024
(12/2027)","5748.04
(5748.04)",4519.87,73.48
21,"Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] -
A wholly owned subsidiary of NHPC Ltd. acquired through NCLT
(National Hydroelectric Power Corporation Limited [NHPC])
(605156)",Sikkim,"03/2021
(08/2021)","05/2024
(11/2026)","938.29
(1828.11)",1691.2,97.34
,Total (8),,,,70789.01,37967.19,
