Sl.No,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,1,"763
763",430
,,Real Estate,2,"3841.25
3841.25",1032.71
,,Total,3,"4,604.25","1,462.71"
2,Department of Higher Education,Education,29,"14711.41
14454",8209.56
,,Total,29,"14,711.41","8,209.56"
3,Department of Sports,Education,1,"906.47
611.74",571.72
,,Total,1,906.47,571.72
4,Department of Telecommunications,Telecommunication,12,"151125.15
273253",77020.9
,,Total,12,"151,125.15","77,020.90"
5,"Department of Water Resources, River Development
& GR",Waste & Water,8,"4039.12
4039.12",1643.05
,,Water Resources,41,"117826.11
221647",159575
,,Total,49,"121,865.23","161,218.05"
6,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,"21600.76
22814.8",10583.3
,,Total,26,"21,600.76","10,583.30"
7,Ministry of Coal,Coal,117,"186920.44
184376",48552.3
,,Electricity Generation,8,"51903.57
56446.7",28993.4
,,Railways,2,"3485.86
5002.87",2281.77
,,Total,127,"242,309.87","79,827.47"
8,Ministry of Health & Family Welfare,Healthcare,23,"17252.19
21471",8257.63
,,Total,23,"17,252.19","8,257.63"
9,Ministry of Housing & Urban Affairs,Construction,1,"644
644",161.57
,,Real Estate,4,"33749.85
33740.8",13944.3
,,Urban Public Transport,26,"299557.47
320189",180184
,,Waste & Water,22,"5389.29
5457.82",3996.21
,,Total,53,"339,340.61","198,286.08"
10,Ministry of Labour and Employment,Healthcare,12,"3024.67
3257.25",1692.91
,,Total,12,"3,024.67","1,692.91"
11,Ministry of Mines,Construction,1,"255.37
255.37",98.92
,,Metals & Mining,5,"7989.36
10143.5",7154.51
,,Total,6,"8,244.73","7,253.43"
12,Ministry of Petroleum & Natural Gas,Energy Storage,15,"80140.16
118911",100403
,,Oil & Gas,93,"363711.6
392246",198328
,,Total,108,"443,851.76","298,731.00"
13,"Ministry of Ports, Shipping and Waterways",Healthcare,1,"693
693",58
,,Inland Waterways,2,"5546.18
5258.15",4340
,,Shipping,7,"14726.15
14766.8",9770.72
,,"Tourism, Hospitality & Wellness",1,"573
1238.05",611.24
,,Total,11,"21,538.33","14,779.96"
14,Ministry of Power,Coal,2,"2083
2365",1007.33
,,Electricity Generation,28,"251346.16
302073",127585
,,Transmission & Distribution,68,"203786.64
209750",65534.8
,,Total,98,"457,215.80","194,127.13"
15,Ministry of Railways,Railways,244,"687197.06
836904",568973
,,Total,244,"687,197.06","568,973.00"
16,Ministry of Road Transport & Highways,Roads & Highways,1120,"1034561.22
1.06074e+006",351917
,,Total,1120,"1,034,561.22","351,917.00"
17,Ministry of Steel,Metals & Mining,1,"1700
1756.2",253.33
,,Steel,18,"17811.66
21050",9797.06
,,Total,19,"19,511.66","10,050.39"
Total,,,1941,"3,588,861.17","1,992,962.24"
