Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
6,Bihar,"Department of Water Resources, River
Development & GR",Waste & Water,5,"2351.43
2351.43",1303.45
,,,Water Resources,2,"2193.34
3088.88",620.65
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,"3541.56
3541.56",1556.20
,,Ministry of Health & Family Welfare,Healthcare,1,"250
500",100.21
,,,Healthcare,1,"1264
1264",0.00
,,Ministry of Housing & Urban Affairs,Urban Public Transport,1,"13365.77
13365.8",5068.37
,,,Waste & Water,1,"158.78
158.78",93.35
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"10228
11407",10771.24
,,,Oil & Gas,7,"25153.5
27018.2",14283.32
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",3956.59
,,Ministry of Power,Electricity Generation,2,"40387.09
43704.6",15800.15
,,,Transmission & Distribution,3,"3119.63
3119.63",130.16
,,Ministry of Railways,Railways,21,"41041.25
45509.6",19683.67
,,Ministry of Road Transport & Highways,Roads & Highways,76,"93254.95
92354",27001.06
,,,Total,129,246061.51,102049.23
7,Chhattisgarh,Department of Higher Education,Education,1,"1188.97
1188.97",0.00
,,Department of Telecommunications,Telecommunication,3,"7147.17
7147.17",2529.89
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"842.26
1109.33",867.91
,,Ministry of Coal,Coal,14,"34428.39
34428.4",12677.49
,,,Railways,1,"1686.22
2438.53",618.64
,,Ministry of Health & Family Welfare,Healthcare,3,"975
972.85",503.99
,,Ministry of Petroleum & Natural Gas,Oil & Gas,3,"10613.29
11024",7458.67
,,Ministry of Power,Electricity Generation,2,"25321
25897",6162.51
,,Ministry of Railways,Railways,19,"35085.53
39529.7",21075.24
,,Ministry of Road Transport & Highways,Roads & Highways,24,"19089.87
20458.4",7723.21
,,Ministry of Steel,Metals & Mining,1,"1700
1756.2",253.33
,,,Steel,5,"7180.39
9700.39",5999.30
,,,Total,78,145258.09,65870.18
8,"Dadra & Nagar Haveli and
Daman & Diu",Ministry of Housing & Urban Affairs,Waste & Water,1,"210
210",0.00
,,Ministry of Power,Transmission & Distribution,1,"4546.26
4546.26",4523.49
,,Ministry of Railways,Railways,1,"108000
108000",90395.89
,,Ministry of Road Transport & Highways,Roads & Highways,2,"2107.8
2891.81",743.21
,,,Total,5,114864.06,95662.59
9,Delhi,Department of Higher Education,Education,2,"706.49
709.42",349.39
,,Department of Telecommunications,Telecommunication,1,"248.2
248.2",236.91
,,Ministry of Health & Family Welfare,Healthcare,2,"4799.19
4799.19",24.68
,,Ministry of Housing & Urban Affairs,Real Estate,1,"32850
32841",13885.72
,,,Urban Public Transport,4,"51594.36
51594.4",20289.29
,,Ministry of Power,Transmission & Distribution,2,"2331
2331",1835.29
,,Ministry of Railways,Railways,5,"19348.46
20637.1",10618.83
,,Ministry of Road Transport & Highways,Roads & Highways,6,"11477.2
15088.6",10367.02
,,,Total,23,123354.9,57607.13
10,Goa,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"255.69
255.69",156.70
,,Ministry of Railways,Railways,2,"5804.49
6182.62",6461.03
,,Ministry of Road Transport & Highways,Roads & Highways,4,"1729.55
1505.43",183.17
,,,Total,7,7789.73,6800.90
