Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
274,"New Suburba Station Development Project
(ministry of housing and urban affairs)
(701745)
(-)",Maharashtra,"04/2018
(03/2019)","07/2022
(-)","262.76
(262.76)",17.62,6
275,"Kalyan Station Precinct Imporvement Project
(ministry of housing and urban affairs)
(701991)
(-)",Maharashtra,"04/2018
(07/2020)","07/2023
(-)","600
(600)",272.42,70
276,"Mumbai Metro Line 3
(Mumbai Metro Rail Corporation Limited [MMRC])
(702637)
(N28000086)",Maharashtra,"07/2013
(06/2016)","03/2023
(08/2025)","23136
(37276)",33308.88,97.76
277,"Nagpur Metro Rail Phase II Development Project
(Maharashtra Metro Rail Corporation Limited [MMRCL])
(702658)
(N28000155)",Maharashtra,"12/2022
(12/2022)","12/2027
(-)","6708
(6708)",1876.99,36.76
278,"Delhi Metro Rail Phase-IV [Rithala - Kundli Corridor]
(Delhi Metro Rail Corporation Limited [DMRC])
(617206)
(-)","Multi-States (Delhi,
Haryana)","01/2025
(01/2025)","01/2029
(-)","6230.99
(6230.99)",72.89,0
279,"Chennai Metro Rail Phase-II Development Project
(Chennai Metro Rail Limited [CMRL])
(702668)
(-)",Tamil Nadu,"10/2024
(11/2020)","08/2029
(-)","63246
(63246)",32503.4,51.86
280,"LUCKNOW METRO RAIL PROJECT PHASE-1B EAST WEST CORRIDOR
(Uttar Pradesh metro rail corporation [UPMRC])
(619052)
(-)",Uttar Pradesh,"09/2025
(05/2026)","04/2031
(-)","5801.05
(5801.05)",0,0
281,"Kanpur Metro Rail Project
(Uttar Pradesh metro rail corporation [UPMRC])
(702628)
(N28000144)",Uttar Pradesh,"05/2019
(11/2019)","05/2024
(03/2027)","11076.48
(11076.5)",9098.65,80.5
282,"Agra Metro Rail Project
(Uttar Pradesh metro rail corporation [UPMRC])
(702629)
(N28000145)",Uttar Pradesh,"05/2019
(12/2020)","05/2024
(06/2027)","8379.62
(8379.62)",6069.78,68.6
,Total (26),,,,299557.47,180184.42,
,Waste & Water,,,,,,
283,"ESR - 8 nos., distribution system - 216 Km, new house service connections - 38760
nos. upgrading of feeder mains, pumping station etc. - Phase II
(Ministry of Housing & Urban Affairs)
(702674)
(-)",Andhra Pradesh,"02/2017
(07/2018)","03/2023
(06/2026)","172.22
(172.22)",88.86,82
284,"Muzaffarpur Storm Water Drainage Phase-I Project
(Ministry of Housing & Urban Affairs)
(702699)
(-)",Bihar,"11/2016
(02/2019)","10/2023
(06/2026)","158.78
(158.78)",93.35,84
285,"Storm water drainag Development Project
(ministry of housing and urban affairs)
(702355)
(-)","Dadra & Nagar
Haveli and Daman
& Diu","08/2020
(12/2021)","03/2024
(-)","210
(210)",0,20
286,"Upgradation of Sewerage system in Gandhinagar City
(ministry of housing and urban affairs)
(707267)
(-)",Gujarat,"07/2020
(03/2021)","06/2023
(-)","200
(200)",100,10
287,"Sewerage Management Scheme Part-3 Implementation
(Ministry of Housing & Urban Affairs)
(702734)
(-)",Haryana,"03/2017
(11/2017)","09/2023
(09/2026)","278.01
(278.01)",228.49,88
288,"Sewerage Management Scheme Part-3 Implementation
(Ministry of Housing & Urban Affairs)
(702735)
(-)",Haryana,"03/2017
(10/2018)","03/2023
(05/2026)","213.19
(213.19)",180.32,100
289,"Dhanbad Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702741)
(-)",Jharkhand,"02/2017
(12/2018)","03/2023
(06/2026)","216.55
(216.55)",129.16,76
290,"SAAP-3 Water Supply Infrastructure SAAP-3 Project
(Ministry of Housing & Urban Affairs)
(702742)
(-)",Jharkhand,"02/2017
(12/2018)","10/2023
(06/2026)","159.31
(159.31)",87.5,67
291,"Augmentation and Strenghthning of Urban Water Supply Phase 1 - SAAP 3
(Ministry of Housing & Urban Affairs)
(702746)
(-)",Jharkhand,"02/2017
(12/2018)","03/2023
(06/2026)","278.28
(278.28)",186.5,81
292,"Belgavi Improvement in Sewerage System Project
(Ministry of Housing & Urban Affairs)
(702760)
(-)",Karnataka,"12/2015
(10/2016)","07/2023
(06/2026)","162.73
(162.73)",79.5,80
293,"24/7 water supply under AMRUT for Davanagere
(Ministry of Housing & Urban Affairs)
(702764)
(-)",Karnataka,"11/2016
(01/2018)","03/2023
(05/2026)","174.96
(174.96)",103.73,65
294,"Indore Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702793)
(-)",Madhya Pradesh,"12/2016
(11/2017)","03/2023
(05/2026)","287.17
(287.17)",252.5,99
295,"Jabalpur Sewerage Management and Treatment Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702798)
(-)",Madhya Pradesh,"10/2018
(12/2017)","03/2023
(06/2026)","362.31
(362.31)",332.05,100
296,"Satna Sewerage Management and Treatment Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702808)
(-)",Madhya Pradesh,"11/2015
(12/2016)","03/2024
(05/2026)","191.56
(215.89)",200.32,95
