Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
11,Gujarat,Ministry of Housing & Urban Affairs,Real Estate,1,"539
539",623.44
,,,Urban Public Transport,1,"12020.32
12020.3",9031.25
,,Ministry of Labour and Employment,Healthcare,2,"763.99
763.99",107.55
,,Ministry of Petroleum & Natural Gas,Energy Storage,3,"19472.86
19420.4",16203.03
,,,Oil & Gas,11,"32704.12
32400",86424.59
,,"Ministry of Ports, Shipping and Waterways",Shipping,2,"4414.64
4455.25",2534.50
,,,"Tourism, Hospitality & Wellness",1,"573
1238.05",624.41
,,Ministry of Power,Electricity Generation,1,"339.35
339.35",370.00
,,,Transmission & Distribution,14,"64870.45
64870.4",10378.14
,,Ministry of Railways,Railways,27,"189399.71
267208",239926.57
,,Ministry of Road Transport & Highways,Roads & Highways,46,"49689.47
55574.5",25414.42
,,,Total,120,404930.59,429751.34
12,Haryana,"Department for Promotion of Industry &
Internal Trade",Logistics Infrastructure,1,"763
763",430.00
,,Ministry of Health & Family Welfare,Healthcare,1,"1299
1646.43",689.42
,,Ministry of Housing & Urban Affairs,Urban Public Transport,2,"11683.71
11683.7",717.70
,,,Waste & Water,1,"278.01
278.01",228.49
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"9028
9028",7456.30
,,,Oil & Gas,6,"46284.07
49955.1",37136.51
,,Ministry of Power,Transmission & Distribution,2,"11326
11326",2878.95
,,Ministry of Railways,Railways,4,"53464
126368",125828.27
,,Ministry of Road Transport & Highways,Roads & Highways,24,"32523.29
35571.1",14396.11
,,,Total,42,166649.08,189761.75
13,Himachal Pradesh,Department of Higher Education,Education,3,"811.15
921.89",683.14
,,Ministry of Power,Electricity Generation,3,"5113.04
11168.7",4162.08
,,Ministry of Railways,Railways,3,"17005
17005.1",10692.91
,,Ministry of Road Transport & Highways,Roads & Highways,25,"22698.11
26851.5",10103.06
,,,Total,34,45627.3,25641.19
14,Jammu and Kashmir,Department of Higher Education,Education,1,"424.93
500.91",484.52
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"861.37
861.37",327.30
,,Ministry of Health & Family Welfare,Healthcare,3,"2478
2810.84",1968.15
,,Ministry of Petroleum & Natural Gas,Oil & Gas,2,"1059.9
1059.9",314.60
,,Ministry of Power,Electricity Generation,4,"22207.77
27945.1",16421.23
,,,Transmission & Distribution,1,"218.6
218.6",3.72
,,Ministry of Road Transport & Highways,Roads & Highways,38,"34609.44
34690.9",13446.58
,,,Total,50,61860.01,32966.10
15,Jharkhand,Department of Telecommunications,Telecommunication,3,"7147.17
3937.81",1958.12
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"5430.04
12010.3",6213.24
,,Ministry of Coal,Coal,27,"49452.09
49216.4",10657.97
,,,Railways,1,"1799.64
2564.34",1713.19
,,Ministry of Health & Family Welfare,Healthcare,2,"500
958.9",336.00
,,Ministry of Housing & Urban Affairs,Waste & Water,3,"654.14
654.14",403.16
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"10228
12407",10987.22
,,,Oil & Gas,2,"633.07
633.07",326.80
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",4028.82
,,Ministry of Power,Coal,2,"2083
2365",1033.41
