Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Transmission & Distribution,,,,,,
22,"North Eastern Region Expansion Scheme-XXIII [NERES-XXIII]
(Power Grid Corporation of India Limited [POWERGRID])
(617375)",Arunachal Pradesh,"08/2025
(08/2025)","02/2028
(-)","209.38
(209.38)",3.14,1.5
23,"NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT
[NERPSIP]
(Power Grid Corporation of India Limited [POWERGRID])
(607709)","Multi-States (Mizoram,
Tripura, Assam,
Meghalaya, Manipur,
Nagaland)","12/2014
(03/2016)","12/2018
(03/2027)","5111.33
(6700)",5577.75,99
24,"Comprehensive Scheme for Strengthening of Transmission and Distribution
[T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim
(Power Grid Corporation of India Limited [POWERGRID])
(602223)","Multi-States (Sikkim,
Arunachal Pradesh)","10/2014
(10/2014)","12/2018
(03/2027)","4754.42
(9129.32)",8088.57,83.5
,Total (3),,,,10075.13,13669.46,
,Ministry of Petroleum & Natural Gas,,,,,,
,Energy Storage,,,,,,
25,"Setting up of new rail fed POL facility at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited [HPCL])
(709755)",Assam,"03/2023
(03/2023)","07/2027
(07/2027)","384.04
(384.04)",230.16,84.2
26,"Construction of LPG Facilities at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited)
(709754)",Assam,"03/2023
(03/2023)","07/2027
(07/2027)","156.36
(156.36)",104.75,77
27,"Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal
[COIT] at Paradip
(Ministry of Petroleum & Natural Gas)
(701349)",Assam,"01/2019
(01/2019)","07/2024
(10/2026)","10228
(12407)",10987.22,92.7
28,"LPG Bottling Plant at Mualkhang
(Ministry of Petroleum & Natural Gas)
(617829)",Mizoram,"07/2024
(07/2024)","10/2028
(03/2028)","225.71
(225.71)",30.4,32.5
29,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing
Dharmanagar Depot
(Indian Oil Corporation Limited [IOCL])
(400035)",Tripura,"06/2022
(06/2022)","09/2025
(06/2026)","656
(656)",541.81,97.7
,Total (5),,,,11650.11,11894.34,
,Oil & Gas,,,,,,
30,"Power Recovery Turbine [PRT] in PFCCU unit as an Energy Conservation
Scheme
(NRL)
(709865)",Assam,"04/2023
(04/2023)","12/2024
(12/2026)","293.5
(293.5)",81.84,99
31,"DCU Revamp Project
(NRL)
(709864)",Assam,"08/2021
(08/2021)","07/2024
(03/2027)","370
(370)",299.25,78.6
32,"Borholla GGS Life Extension Project [BLEP]
(Ministry of Petroleum & Natural Gas)
(709850)",Assam,"09/2023
(09/2023)","05/2026
(09/2026)","198.7
(198.7)",103.56,60.4
33,"Pipeline Network Project Rudrasagar
(Ministry of Petroleum & Natural Gas)
(709847)",Assam,"01/2023
(01/2023)","04/2026
(04/2027)","481.03
(481.03)",235.68,54.7
34,"Capacity Expansion of Digboi Refinery from 0.65 to 1.0 MMTPA
(MinistryofPetroleumNaturalGas)
(709779)",Assam,"06/2022
(06/2022)","03/2026
(07/2027)","768
(740)",183.47,57.5
35,"Augmentation/Revamping of Facilities at existing Guwahati Terminal at Betkuchi
(MinistryofPetroleumNaturalGas)
(709776)",Assam,"04/2022
(04/2022)","09/2026
(09/2026)","277
(323.09)",231.08,82.9
36,"Group Gathering Station, Lakwagaon
(Ministry of Petroleum & Natural Gas)
(619316)",Assam,"10/2025
(10/2025)","10/2027
(10/2027)","495.59
(495.59)",20.04,7.8
37,"Pipeline Rehabilitation Project, Phase-II
(Ministry of Petroleum & Natural Gas)
(617827)",Assam,"12/2024
(12/2024)","12/2029
(12/2029)","680
(680)",8.55,26
38,"Coke Drum Structure Package
(Ministry of Petroleum & Natural Gas)
(617836)",Assam,"12/2022
(12/2022)","12/2025
(09/2026)","635.28
(635.28)",543,69
39,"Construction of Field Gas Gathering Station at Baghjan area for collection,
processing & transportation of natural Gas to be produced from Baghjan Field
(Ministry of Petroleum & Natural Gas)
(616858)",Assam,"12/2020
(12/2020)","03/2024
(06/2026)","430.76
(430.76)",346.97,93.4
40,"Numaligarh Refinery Expansion Project
(Ministry of Petroleum & Natural Gas)
(604791)",Assam,"07/2020
(07/2020)","07/2024
(03/2027)","12366
(25313)",19820.29,85.5
41,"Development of Surface Facilities for production and evacuation of Crude Oil and
Natural Gas from Nadua and East Khagorija
(Ministry of Petroleum & Natural Gas)
(604863)",Assam,"01/2018
(01/2018)","02/2020
(06/2026)","682.9
(726.93)",599.64,94.3
42,"North East Gas Grid
(Ministry of Petroleum & Natural Gas)
(701346)","Multi-States (Arunachal
Pradesh, Nagaland,
Assam, Meghalaya,
Tripura, Sikkim,
Manipur, Mizoram)","04/2020
(04/2020)","03/2024
(07/2026)","9265
(9265)",6895.77,88
