Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
6,Bihar,Ministry of Petroleum & Natural Gas,Energy Storage,1,"10228
11407",10063.21
,,,Oil & Gas,6,"24473.5
26338.2",13728.20
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",3577.42
,,Ministry of Power,Electricity Generation,1,"10439.09
13756.6",12691.85
,,,Transmission & Distribution,3,"3119.63
3119.63",1.13
,,Ministry of Railways,Railways,24,"52621.17
57089.5",22954.30
,,,Total,53,132581.37,72565.33
7,Chhattisgarh,Department of Higher Education,Education,1,"1188.97
1188.97",0.00
,,Department of Telecommunications,Telecommunication,3,"7147.17
7147.17",1931.77
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"842.26
1109.33",855.96
,,Ministry of Coal,Coal,13,"30763.92
30763.9",12874.14
,,,Railways,1,"1686.22
1686.22",439.98
,,Ministry of Petroleum & Natural Gas,Oil & Gas,3,"10613.29
11024",6741.00
,,Ministry of Power,Electricity Generation,2,"25321
25897",4095.14
,,Ministry of Railways,Railways,19,"34549.26
39024.3",20449.55
,,Ministry of Steel,Metals & Mining,1,"1700
1756.2",142.16
,,,Steel,6,"7530.14
10050.1",5652.32
,,,Total,51,121342.23,53182.02
8,"Dadra & Nagar Haveli and
Daman & Diu",Ministry of Housing & Urban Affairs,Waste & Water,1,"210
210",0.00
,,Ministry of Power,Transmission & Distribution,1,"4546.26
4546.26",4318.95
,,Ministry of Railways,Railways,1,"108000
108000",84199.89
,,,Total,3,112756.26,88518.84
9,Delhi,Department of Higher Education,Education,2,"706.49
709.42",325.08
,,Department of Telecommunications,Telecommunication,1,"248.2
248.2",236.91
,,Ministry of Health & Family Welfare,Healthcare,2,"4799.19
4799.19",24.68
,,Ministry of Housing & Urban Affairs,Real Estate,1,"32850
32850",0.00
,,,Urban Public Transport,4,"69853.45
69853.4",45211.07
,,Ministry of Power,Transmission & Distribution,2,"2331
2331",1667.42
,,Ministry of Railways,Railways,15,"28623.17
28623.2",6031.48
,,,Total,27,139411.5,53496.64
10,Goa,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"255.69
255.69",154.30
,,Ministry of Railways,Railways,2,"5804.49
6182.62",6215.96
,,,Total,3,6060.18,6370.26
11,Gujarat,Department of Higher Education,Education,1,"490.63
490.63",314.51
,,Department of Telecommunications,Telecommunication,1,"336.89
301.13",235.96
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"25739.93
40082.8",36817.94
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"1305
1551",739.77
,,Ministry of Coal,Electricity Generation,2,"3719.69
3719.69",1058.05
,,Ministry of Housing & Urban Affairs,Real Estate,1,"539
539",39.63
,,,Urban Public Transport,3,"28177.49
30329",24589.83
,,,Waste & Water,1,"200
200",100.00
,,Ministry of Labour and Employment,Healthcare,3,"973.35
973.35",278.11
,,Ministry of Petroleum & Natural Gas,Energy Storage,4,"62601.86
98931.9",78394.04
,,,Oil & Gas,11,"32704.12
32296.3",23765.14
,,"Ministry of Ports, Shipping and Waterways",Shipping,3,"4514.64
4681.1",1141.96
,,,"Tourism, Hospitality & Wellness",1,"573
1238.05",515.97
