Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Ministry of Labour and Employment,,,,,,
,Healthcare,,,,,,
45,"Construction of 200 bedded ESIC Hospital with 62 Nos Staff quarters , Beltola
(Employee's State Insurance Company [ESIC])
(612201)",Assam,"12/2017
(10/2021)","04/2025
(02/2026)","143.23
(154.75)",101.83,94
,Total (1),,,,143.23,101.83,
,Ministry of Railways,,,,,,
,Railways,,,,,,
46,"Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km
(Northeast Frontier Railway [NFR])
(705572)",Assam,"09/2016
(09/2016)","03/2026
(03/2026)","4060
(4961)",3729.89,93
47,"Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh
(Central Organisation for Railway Electrification [CORE])
(706922)",Assam,"09/2020
(09/2018)","09/2020
(06/2024)","890.36
(889.36)",391.73,89
48,"Mariani-Jorhat, Tinsukia-Dangri and Makum -TirapTrack Electrification Project
(GM/C/ NFR)
(706940)",Assam,"09/2018
(01/2022)","05/2024
(-)","183.99
(183.99)",0,0
49,"Harmuty-Murkongselek Branch Line Electrification Project
(GM/C/ NFR)
(706942)",Assam,"09/2018
(01/2022)","05/2024
(-)","237.52
(237.52)",0,0
50,"Jiribam-Imphal new line project
(Northeast Frontier Railway [NFR])
(705391)",Manipur,"03/2013
(12/2007)","12/2026
(06/2029)","14323
(21885.9)",15782.48,72
51,"Murkongselek-Pasighat
(Northeast Frontier Railway (NFR) - II)
(705401)","Multi-States (Arunachal
Pradesh, Assam)","02/2011
(03/2023)","03/2025
(05/2026)","435
(1250)",771.1,62
52,"Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km]
(Northeast Frontier Railway [NFR])
(705392)","Multi-States (Assam,
Nagaland)","08/2015
(02/2016)","03/2025
(12/2025)","6663
(6663)",5634.59,81
53,"Lumding Furkating Doubling Project 140 km
(Northeast Frontier Railway [NFR])
(616701)","Multi-States (Assam,
Nagaland)","02/2024
(01/2025)","02/2028
(-)","2123.7
(2123.7)",13.74,0
54,"Sivok-Rangpo New Rail Line
(Indian Railway Construction International Limited [IRCON])
(705432)",Sikkim,"10/2009
(05/2010)","05/2015
(12/2027)","7877
(11775)",9647.55,89
,Total (9),,,,36793.57,35971.08,
,Department of Telecommunications,,,,,,
,Telecommunication,,,,,,
55,"Provision of 4G based Mobile Services in Uncovered Villages and National
Highways of Meghalaya
(Department of Telecommunications)
(701598)",Meghalaya,"09/2019
(09/2020)","03/2022
(03/2026)","971.96
(971.96)",208.25,99
56,"Provision of 4G Mobile Services in Uncovered Villages of Arunachal Pradesh and
2 Districts of Assam
(Department of Telecommunications)
(701597)","Multi-States (Arunachal
Pradesh, Assam)","12/2020
(10/2021)","04/2023
(03/2026)","1255.49
(1255.49)",284.04,92
,Total (2),,,,2227.45,492.29,
,"Department of Water Resources, River Development & GR",,,,,,
,Water Resources,,,,,,
57,"Borolia Irrigation Project
(Department of Water Resources, River Development & GR)
(701370)",Assam,"04/1996
(12/1996)","12/2022
(03/2026)","256.16
(256.16)",44.7,55
58,"Thoubal Multipurpose Project
(Water Resources Department-MN)
(701400)",Manipur,"04/1997
(04/1997)","12/2019
(03/2026)","1449.44
(1822.24)",1837.91,98
,Total (2),,,,1705.6,1882.61,
