Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
453,"AIIMS Bibinagar
(PMSSY AND Institute of NATIONAL Importance)
(701171)",Telangana,"12/2018
(07/2022)","06/2026
(06/2026)","1028
(1365.95)",818.46,85
,Total (5),,,,8954.19,2547.1,
,Ministry of Labour and Employment,,,,,,
,Healthcare,,,,,,
454,"Construction of 350 beds + 50 Super Specialty beds ESIC Hospital Sheelanagar,
Visakhapatnam, Andhra Pradesh
(Employee's State Insurance Company [ESIC])
(612167)",Andhra Pradesh,"02/2021
(04/2023)","10/2025
(01/2026)","384.27
(384.27)",105,40
455,"Construction of 200 bedded ESIC Hospital with 62 Nos Staff quarters , Beltola
(Employee's State Insurance Company [ESIC])
(612201)",Assam,"12/2017
(10/2021)","04/2025
(02/2026)","143.23
(154.75)",101.83,94
456,"C/o Construction of 200 bedded [Up-gradable to 300 bedded] ESI Hospital at Surat
Gujarat.
(Employee's State Insurance Company [ESIC])
(612185)",Gujarat,"06/2019
(03/2021)","06/2025
(01/2026)","209.36
(209.36)",185.96,98
457,"350 Bedded [Upgradable to 500 beds] ESI Hospital at Sanand
(Employee's State Insurance Company [ESIC])
(612186)",Gujarat,"06/2022
(04/2023)","03/2026
(05/2027)","558.12
(558.12)",60.66,8
458,"Demolition, Construction and upgradation of ESI Hospital, Kalol, Gujarat from 50 beds
to 150 beds.
(Employee's State Insurance Company [ESIC])
(612211)",Gujarat,"08/2022
(10/2023)","10/2025
(06/2026)","205.87
(205.87)",31.49,18
459,"Construction of 100 bedded ESIC Hospital & 32 nos. of Staff qtrs at OMPURA J&K.
(Employee's State Insurance Company [ESIC])
(612239)","Jammu and
Kashmir","09/2019
(12/2021)","09/2024
(12/2025)","131.05
(164.93)",162.05,99
460,"Construction of 200 bed ESI Hospital at Bommasandra, Karnataka
(Employee's State Insurance Company [ESIC])
(612745)",Karnataka,"02/2015
(10/2024)","01/2027
(-)","278
(278)",27.8,0
461,"Construction of 100 bed ESI Hospital and Staff Quarters [32 Nos.] at Harohalli,
Karnataka
(Employee's State Insurance Company [ESIC])
(612748)",Karnataka,"07/2019
(03/2025)","02/2027
(-)","150.92
(150.92)",0,0
462,"Construction of 200 Bedded [Upgradable to 500 Bedded including 50 beds of SST]
ESIC Hospital at Bibewadi, Pune
(Employee's State Insurance Company [ESIC])
(612188)",Maharashtra,"05/2018
(03/2023)","09/2025
(02/2026)","429.25
(429.25)",282.09,70
463,"Construction of 200 Bedded ESIC Hospital at Butibori, Nagpur, Maharashtra.
(Employee's State Insurance Company [ESIC])
(612213)",Maharashtra,"10/2013
(08/2022)","08/2025
(09/2026)","194.93
(196.7)",114.39,62
464,"Upgradation & Extension of ESIC Hospital and Construction of PG Hostel / Staff
Housing for ESIC Hospital at Andheri, Mumbai
(Employee's State Insurance Company [ESIC])
(616691)",Maharashtra,"12/2008
(06/2009)","08/2025
(12/2025)","260.13
(260.13)",210.12,89
465,"Construction of 100 Bedded ESI Hospital at Duburi, Odisha.
(Employee's State Insurance Company [ESIC])
(612513)",Odisha,"12/2010
(02/2025)","06/2027
(-)","164.6
(164.6)",16.4,7
466,"Construction of 100 Bedded ESIC Hospital building and 32 Nos Residential Quarters
at Vallam Vadangal, SIPCOT, Sriperumbudur
(Employee's State Insurance Company [ESIC])
(612178)",Tamil Nadu,"02/2015
(03/2023)","06/2025
(01/2026)","152.95
(177.01)",107.83,99
467,"CONSTRUCTION OF 300 BEDDED HOSPITAL AT HARIDWAR
(Employee's State Insurance Company [ESIC])
(612259)",Uttarakhand,"02/2021
(12/2021)","10/2024
(03/2026)","102.4
(297.63)",321.82,80
,Total (14),,,,3365.08,1727.44,
,"Ministry of Ports, Shipping and Waterways",,,,,,
,Healthcare,,,,,,
468,"Establishment of 600 bed super specialty hospital with optional development of
Medical college and further expansion on PPP basis.
(Mumbai Port Trust [MPT])
(708662)",Maharashtra,"08/2019
(01/2022)","06/2026
(12/2027)","693
(693)",58,11
,Total (1),,,,693,58,
,Inland Waterways,,,,,,
469,"Jal Marg Vikas Project
(Inland Waterways Authority of India [IWAI])
(701565)","Multi-States
(Bihar, Jharkhand,
Uttar Pradesh,
West Bengal)","01/2018
(02/2018)","12/2023
(12/2025)","5369.18
(5061.15)",3577.42,73
470,"Fairway Development in West Bengal Farakka - Kahelgaon
(Inland Waterways Authority of India [IWAI])
(611142)",Offshore,"01/2018
(08/2018)","07/2023
(04/2024)","177
(197)",383.41,100
,Total (2),,,,5546.18,3960.83,
,Shipping,,,,,,
471,"Development of Container Terminal at Tuna-Tekra, Deendayal Port on BOT Basis
Under PPP Mode
(Deendayal Port Trust)
(609424)",Gujarat,"10/2022
(03/2024)","03/2027
(-)","4243.64
(4243.64)",817.98,34
472,"Construction of oil jetty No.8 at old kandla through internal resources
(Deendayal Port Trust [DPT])
(701568)",Gujarat,"02/2018
(02/2021)","02/2023
(07/2024)","100
(225.85)",186.47,90
473,"Replacement and revamping of pipeline projects in oil jetty area, Kandla
(Deendayal Port Trust [DPT])
(701570)",Gujarat,"09/2021
(09/2021)","09/2023
(03/2025)","171
(211.61)",137.51,71
474,"Mechanization of Berth No.14 for handling Containers and other cargo on DBFOT
basis - Phase II
(New Mangalore Port Authority)
(617804)",Karnataka,"12/2023
(06/2024)","03/2027
(-)","153.23
(153.23)",24,33
