Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
6,Bihar,Ministry of Housing & Urban Affairs,Urban Public Transport,1,"13365.77
13365.8",4039.77
,,,Waste & Water,1,"158.78
158.78",602.50
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"10228
11407",9921.29
,,,Oil & Gas,6,"24473.5
26338.2",13509.65
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",3526.99
,,Ministry of Power,Electricity Generation,1,"10439.09
13756.6",12571.15
,,,Transmission & Distribution,2,"751.63
751.63",1.03
,,Ministry of Railways,Railways,23,"50603.79
55072",22922.70
,,,Total,51,128195.99,71848.10
7,Chhattisgarh,Department of Telecommunications,Telecommunication,3,"7147.17
7147.17",1835.88
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"842.26
1109.33",855.96
,,Ministry of Coal,Coal,14,"31042.56
31042.6",13042.96
,,,Railways,1,"1686.22
1686.22",353.12
,,Ministry of Petroleum & Natural Gas,Oil & Gas,2,"10056.25
10467",6682.30
,,Ministry of Power,Electricity Generation,2,"25321
25321",3730.56
,,,Transmission & Distribution,1,"385.84
385.84",382.40
,,Ministry of Railways,Railways,19,"34549.26
36180.5",18969.33
,,Ministry of Steel,Metals & Mining,1,"1700
1756.2",133.22
,,,Steel,6,"7530.14
10050.1",5536.55
,,,Total,51,120260.7,51522.28
8,"Dadra & Nagar Haveli and
Daman & Diu",Ministry of Housing & Urban Affairs,Waste & Water,1,"210
210",0.00
,,Ministry of Power,Transmission & Distribution,1,"4546.26
4546.26",4210.30
,,Ministry of Railways,Railways,1,"108000
108000",82967.89
,,,Total,3,112756.26,87178.19
9,Delhi,Department of Higher Education,Education,2,"706.49
709.42",312.96
,,Department of Telecommunications,Telecommunication,1,"248.2
248.2",236.91
,,Ministry of Housing & Urban Affairs,Construction,1,"646.53
646.52",545.86
,,,Real Estate,1,"32850
32850",0.00
,,,Urban Public Transport,4,"69853.45
69853.4",44578.92
,,Ministry of Power,Transmission & Distribution,4,"4356.47
4908.47",4066.48
,,Ministry of Railways,Railways,15,"28623.17
28623.2",5954.91
,,,Total,28,137284.31,55696.04
10,Goa,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"255.69
255.69",154.30
,,Ministry of Railways,Railways,2,"5804.49
6182.62",6215.96
,,,Total,3,6060.18,6370.26
11,Gujarat,Department of Higher Education,Education,1,"490.63
490.63",313.84
,,Department of Telecommunications,Telecommunication,1,"336.89
301.13",227.82
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"25739.93
40082.8",36815.85
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"1305
1551",718.20
,,Ministry of Coal,Electricity Generation,2,"3719.69
3719.69",981.48
,,Ministry of Housing & Urban Affairs,Real Estate,1,"539
539",39.63
,,,Urban Public Transport,3,"28177.49
30329",24498.08
,,,Waste & Water,1,"200
200",100.00
,,Ministry of Labour and Employment,Healthcare,3,"973.35
973.35",270.39
,,Ministry of Petroleum & Natural Gas,Energy Storage,3,"62245
98575",77278.48
,,,Oil & Gas,11,"32704.12
32296.3",23575.09
