Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
21,"Augmentation of Transformation Capacity and Implementation of Line Bays at
Mandsaur S/S for RE Interconnection [SPV Name- POWERGRID Mandsaur I RE
Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617802)",Madhya Pradesh,"10/2025
(10/2025)","03/2028
(-)","319
(-)"
,Total (3),,,,1279.74
,Ministry of Railways,,,,
,Railways,,,,
22,"3rd Line between Gudur Renigunta 83.17 Km
(South Central Railway [SCR] - II)
(617216)",Andhra Pradesh,"10/2024
(10/2024)","03/2027
(-)","877.34
(-)"
23,"Tiupati Katpadi 104.39 kms
(South Central Railway [SCR] - II)
(617210)",Andhra Pradesh,"04/2025
(04/2025)","03/2029
(-)","1215.56
(-)"
24,"Malugur- Palasamudram New Line Project [17.975 Km]
(South Western Railway [SWR] - II)
(611615)",Andhra Pradesh,"09/2022
(07/2026)","11/2027
(12/2027)","342
(-)"
25,"Construction of Bulb line at Nabinagar Ankorah of East Central Railway
(East Central Railway [ECR] - I)
(617231)",Bihar,"06/2024
(06/2024)","06/2028
(-)","611.74
(-)"
26,"KHARSIA- NAYA RAIPUR-PARMALKASA 5th and 6th Line [278KM]
(CAO/C/SECR)
(617200)",Chhattisgarh,"04/2025
(04/2025)","03/2031
(-)","7853.84
(-)"
27,"Construction of New BG line between Hassan to Belur [27 Km]
(South Western Railway [SWR] - II)
(400023)",Karnataka,"03/2019
(12/2025)","04/2028
(04/2027)","749
(-)"
28,"Belgaum-Dharwad via Kittur [73.10Km]
(South Western Railway [SWR] - II)
(706835)",Karnataka,"09/2020
(03/2025)","12/2027
(03/2029)","1591
(-)"
29,"Gondia-Balharshah [Chanda Fort] Doubling [240 Km]
(South East Central Railway)
(617201)",Maharashtra,"04/2025
(04/2025)","03/2031
(-)","4373.04
(-)"
30,"Rail Connectivity to Errupalem Amravati Namburu 57 Km
(South Central Railway [SCR] - II)
(617214)","Multi-States (Andhra Pradesh,
Telangana)","11/2024
(11/2024)","03/2027
(-)","2047.4
(-)"
31,"Buramara-Chakulia new line [59.96 km]
(South Eastern Railway [SER] - I)
(616588)","Multi-States (Jharkhand,
Odisha, West Bengal)","08/2024
(12/2024)","12/2029
(-)","1459.13
(-)"
32,"Jeypore-Malkanagiri New Railway Line Project
(East Coast Railway [ECoR] - II)
(705742)",Odisha,"02/2018
(12/2023)","07/2033
(07/2033)","2344
(-)"
33,"Bangriposi-Gorumahisani new line [ 85.60 km ]
(CAO/C/SER)
(616586)",Odisha,"08/2024
(09/2025)","12/2029
(-)","2269.49
(-)"
34,"Badampahar-Kendujhargarh new line [82.06 km]
(CAO/C/SER)
(616587)",Odisha,"08/2024
(09/2025)","12/2029
(-)","1875.72
(-)"
35,"Doubling between Bhadrachalam Road and Dornakal
(South Central Railway [SCR] - II)
(616856)",Telangana,"08/2023
(04/2025)","04/2029
(-)","770.12
(-)"
,Total (14),,,,28379.38
