Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
21,Manipur,"Department of Water Resources, River
Development & GR",Water Resources,1,"1449.44
1822.24",1837.91
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"499
499",154.43
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"9265
9265",6426.54
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5295.68
,,Ministry of Railways,Railways,1,"14323
21885.9",15598.11
,,,Total,5,30647.77,29312.67
22,Meghalaya,Department of Higher Education,Education,1,"494.52
494.52",413.57
,,Department of Telecommunications,Telecommunication,1,"971.96
971.96",208.25
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"9265
9265",6426.54
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5295.68
,,,Total,4,15842.81,12344.04
23,Mizoram,Department of Higher Education,Education,1,"474.23
474.23",167.55
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"9265
9265",6426.54
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5295.68
,,,Total,3,14850.56,11889.77
24,Nagaland,Department of Higher Education,Education,1,"275.63
275.63",261.24
,,Ministry of Petroleum & Natural Gas,Oil & Gas,2,"9492.62
9492.62",6435.88
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5295.68
,,Ministry of Railways,Railways,2,"8786.7
8786.7",5532.06
,,,Total,6,23666.28,17524.86
25,Odisha,Department of Higher Education,Education,1,"1229.32
773.76",837.04
,,Department of Telecommunications,Telecommunication,3,"7147.17
7147.17",1835.32
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"1556.46
5291.33",5342.49
,,Ministry of Coal,Coal,12,"36526.28
34218",13055.11
,,,Electricity Generation,1,"27212.96
27213",2517.13
,,Ministry of Mines,Metals & Mining,5,"7343.97
9724.14",5167.84
,,Ministry of Petroleum & Natural Gas,Energy Storage,2,"12886.34
14217",12084.27
,,,Oil & Gas,5,"25285.44
23768.5",15972.39
,,"Ministry of Ports, Shipping and Waterways",Shipping,1,"3004.63
3004.63",1149.79
,,Ministry of Power,Electricity Generation,1,"11843.75
12543",4574.68
,,,Transmission & Distribution,1,"342.69
342.69",0.70
,,Ministry of Railways,Railways,21,"38899.99
43632",32329.67
,,,Railways,1,"267.61
267.61",0.00
,,Ministry of Steel,Steel,1,"1105.23
1105.23",769.08
,,,Total,57,174651.84,95635.51
26,Puducherry,Department of Higher Education,Education,1,"618.34
544.34",509.55
,,Ministry of Railways,Railways,1,"713
981",598.38
,,,Total,2,1331.34,1107.93
27,Punjab,Department of Higher Education,Education,2,"559.3
559.3",300.39
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"3727.07
5177.86",5072.69
,,Ministry of Housing & Urban Affairs,Waste & Water,2,"545.53
545.53",1842.39
,,Ministry of Petroleum & Natural Gas,Oil & Gas,6,"13060.36
13090.4",8400.69
,,Ministry of Power,Transmission & Distribution,1,"5969
5969",344.41
,,Ministry of Railways,Railways,3,"15702.64
15703",9091.19
,,,Total,16,39563.9,25051.76
28,Rajasthan,Department of Telecommunications,Telecommunication,2,"758.54
530.07",362.33
