,AGENCY_NAME,,AGENCY_NAME_SHORT,
MAHANADI COAL FIELDS LIMITED,,,MCL,
MECON LIMITED,,,MECON LIMITED,
AHMEDABAD METRO RAIL,,,MEGA,
MADRAS FERTILISER LIMITED,,,MFL,
Munitions India Limited,,,MIL,
MAHARASTRA METRO RAIL CORPORATION LTD.,,,MMRC,
MUMBAI METRO RAIL CORPORATION LTD,,,MMRCL,
MINISTRY OF WATER RESOURCES,,,MOWR,
Madhya Pradesh Metro Rail Co Limited,,,MPMRCL,
Maharashtra Rail Infrastructure Development Corporation Limited,,,MRIDC,
MANGALORE REFINARY LIMITED,,,MRL,
METROPOLITAN RAPID TRANSPORT PROJECTS,,,MRTP,
Mumbai Railway Vikas Corporation,,,MRVC,
MAHANAGAR TELEPHONE NIGAM LIMITED,,,MTNL,
MUMBAI PORT TRUST,,,MUMBAI PORT TRU,
Armoured Vehicles Nigam Limited,,,MVNL,
MINISTRY OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDs),,,MoRTH,
NATIONAL ALUMINUM COMPANY LIMITED (NALCO),,,NALCO,
NATRIP IMPLEMENTATION SOCITY,,,NATIS,
NATIONAL BUILDING CONSTRUCION CORPORATION LTD,,,NBCC,
NBCC FOR COMMERCE,,,NBCC FOR COMMER,
NBCC FOR HEALTH,,,NBCC FOR HEALTH,
NORTHERN COAL FIELDS LIMITED,,,NCL,
NORTH CENTRAL RAILWAY,,,NCR,
NATIONAL CAPITAL REGION TRANSPORT CORP,,,NCRTC,
NATIONAL CENTRE OF EXCELLENCE,,,NCoE,
NORTH EAST ELECTRIC POWER CORPORATION,,,NEEPCO,
NORTH EAST GAS GRID,,,NEGG,
NORTH EASTERN RAILWAY,,,NER,
National Film Archive of India,,,NFAI,
NUCLEAR FUEL CORPORATION,,,NFC,
NATIONAL FERTILISER LIMITED,,,NFL,
NORTH EAST FRONTIER RAILWAY,,,NFR,
NATIONAL HIGHWAYS AUTHORITY OF INDIA,,,NHAI,
NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION Ltd.,,,NHIDCL,
NATIONAL HYDRO-ELECTRIC POWER CORPORATION,,,NHPC,
National High Speed Rail Corporation Limited,,,NHSRCL,
NEW LINE,,,NL,
NEYVELI LIGNITE CORPORATION,,,NLC,
NATIONAL MISSION FOR CLEAN GANGA,,,NMCG,
NATIONAL MINERAL DEVELOPMENT CORPORATION (NMDC),,,NMDC,
NAGPUR METRO RAIL CORPORATION LTD,,,NMRCL,
NATIONAL PROJECTS CONSTRUCTION CORPORATION LIMITED,,,NPCC,
NUCLEAR POWER CORPORATION OF INDIA LIMITED,,,NPCIL,
NORTHERN RAILWAY,,,NR,
NUMALIGARH REFINERY LIMITED,,,NRL,
SETTING UP OF NEW RAILWAY ZONES,,,NRZ,
NATIONAL THERMAL POWER CORPORATION,,,NTPC,
NORTH WESTERN RAILWAY,,,NWR,
OIL INDIA LIMITED,,,OIL,
OIL & NATURAL GAS CORPORATION LIMITED,,,ONGC,
PATNA METRO RAIL CORPORATION,,,PATNA METRO RAI,
