Sl. No.,Sector,Projects,"Cost
Original
(Revised)*
{Anticipated}
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,CIVIL AVIATION,41,"28,200.17
(29,521.45)
{32,130.66}","19,569.62"
2,COAL,117,"189,934.94
(194,478.98)
{199,308.23}","69,601.23"
3,DEPARTMENT OF HIGHER EDUCATION,20,"9,680.92
(10,072.78)
{10,271.25}","7,214.67"
4,DPIIT,2,"24,857.00
(31,457.00)
{32,085.00}","16,231.95"
5,FINANCE,2,"577.27
(577.27)
{569.04}",399.67
6,HEALTH AND FAMILY WELFARE,8,"7,301.27
(7,609.40)
{7,356.19}","5,137.01"
7,HOME AFFAIRS,5,"2,025.73
(2,949.25)
{2,949.25}","2,489.50"
8,MINES,8,"7,559.78
(9,356.73)
{9,845.57}","6,076.89"
9,PETROLEUM,109,"427,628.10
(479,675.67)
{489,828.88}","2,53,857.11"
10,POWER,115,"388,655.20
(411,996.48)
{476,127.63}","2,50,456.46"
11,RAILWAYS,214,"632,832.03
(622,151.48)
{659,838.53}","4,59,488.42"
12,ROAD TRANSPORT AND HIGHWAYS,1023,"793,179.02
(825,135.87)
{836,967.98}","4,33,508.00"
13,SHIPPING AND PORTS,1,"5,369.18
(5,061.15)
{5,061.15}","3,472.54"
14,SOCIAL JUSTICE,1,"170.99
(170.99)
{170.99}",162.63
15,STEEL,20,"16,297.20
(20,228.73)
{20,228.73}","8,030.85"
16,TELECOMMUNICATIONS,6,"26,961.69
(26,949.89)
{26,949.89}","9,777.17"
