project_id,project_name,agency,project_code,ministry,sector,state,approval_date,original_completion_date,revised_completion_date,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_pct,reporting_month,source_file,source_page,extraction_timestamp
PC-618339,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL N24002025) (-,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.45,2026-04,FlashReport_April2026_page100_table0.csv,100,2026-08-28T21:13:47.906750
PC-618340,Widening/Improvement to 4-Lane with Paved Shoulder from km 626030 Nalani hulla Gaon to km 650450 Chotahapjan on existing Tinsukhia -Makum Bypass of NH-15 OLD NH-37 and Strengthening of existing NH-315 OLD NH-38 from Km 0000 Chotahapjan to Km 16900 Bogapani section 2-Lane PS in Assam on EPCMode under NHO-NE Package-3,NHIDCL N24001419) (-,618340,,,Assam,01/2023,05/2025,07/2026,458.59,458.59,217.2,83.39,2026-04,FlashReport_April2026_page100_table0.csv,100,2026-08-28T21:13:47.907105
PC-618351,Widening & Upgradation to 2 lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 156.489 near P. Leikul to km 176.410 near Borowapu on EPC mode under NHO-NE Assam portion Package-10,NHIDCL N24001971) (10273,618351,,,Assam,03/2023,08/2025,06/2026,890.33,693.15,569.61,81.9,2026-04,FlashReport_April2026_page100_table0.csv,100,2026-08-28T21:13:47.907333
PC-618352,Widening & Upgradation to 2 lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 136.500 near Hejaichak to km 156.489 near P. Leikul Package-9 on EPC mode under NHO-NE Package-9,NHIDCL N24001970) (10274,618352,,,Assam,03/2023,08/2025,06/2026,860.37,614.43,528.46,87.5,2026-04,FlashReport_April2026_page100_table0.csv,100,2026-08-28T21:13:47.907531
PC-618353,Widening & Upgradation to 2-lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 116.480 near Hangrum to km 136.500 near Hejaichak Package-8 on EPC mode under NHO-NE Package 8,NHIDCL N24001969) (10275,618353,,,Assam,03/2023,08/2025,06/2026,904.04,904.04,520.05,85.2,2026-04,FlashReport_April2026_page100_table0.csv,100,2026-08-28T21:13:47.907729
PC-618354,Wideinig & Upgradation to 2-lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 96.870 near Jiri River to km 116.550 near Hangrum Package-7 on EPC mode Package7,NHIDCL N24002130) (10276,618354,,,Assam,12/2023,03/2026,06/2026,846.82,846.82,0.0,85.29,2026-04,FlashReport_April2026_page100_table0.csv,100,2026-08-28T21:13:47.907988
PC-618371,"Widening/Improvement to 4-Lane with Paved Shoulder configuration of existing single lane road from Srirampur near Bhairiguri Village to Kachukhana Harichara Paglagaunj Package-I of Srirampur - Dhubri Section of NH-127B from existing Km 0.000 to Km 28.050 Design Km 0.000 to Km 27.650, Design Length27.650 Km under JICA ODA Loan assistance Phase-V -Balance work",NHIDCL N24001831) (10285,618371,,,Assam,03/2022,11/2026,11/2026,613.89,613.89,260.02,78.09,2026-04,FlashReport_April2026_page100_table0.csv,100,2026-08-28T21:13:47.908290
PC-618372,"Widening / Improvement to 4-Lane with Paved Shoulder configuration of existing single lane road from Kachukhana Harichara Paglagaunj to Dhubri - Phulbari Bridge approach Package-II of Srirampur - Dhubri Section of NH-127B from existing Km 28.050 to Km 55.060 Design Km 27.650 to Km 54.154, Design Length26.504 Km under JICA ODA Loan assistance Phase-V [Srirampur - Dhubri Pkg-2]",NHIDCL N24001544) (10286,618372,,,Assam,03/2022,01/2025,06/2025,909.02,909.02,638.5,100.0,2026-04,FlashReport_April2026_page100_table0.csv,100,2026-08-28T21:13:47.908524
PC-618373,"Construction of 4-Lane Bridge including approaches over River Brahmaputra between Dhubri on North Bank,Assam and Phulbari on south Bank,Meghalaya on NH-127B under JICA ODA Loan assistance Phase-III",NHIDCL N24001326) (10287,618373,,,Assam,05/2019,09/2028,09/2028,4997.04,4997.04,2808.4,74.36,2026-04,FlashReport_April2026_page100_table0.csv,100,2026-08-28T21:13:47.908705
PC-618435,4-Laning from Rangagara to Kaliabor Tiniali from km 297.00 to km 315.315 of NH-37 on EPC basis under SARDP-NE in state of Assam,NHIDCL N24000438) (-,618435,,,Assam,01/2016,04/2020,06/2026,386.51,386.51,352.16,97.13,2026-04,FlashReport_April2026_page100_table0.csv,100,2026-08-28T21:13:47.908874
