project_id,observation_count,reporting_month,project_name,agency,project_code,ministry,sector,state,approval_date,original_completion_date,revised_completion_date,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_pct,source_file,source_page,extraction_timestamp
618339,14,2025-12,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.0,FlashReport_December_2025_page43_table1.csv,43,2026-08-28T21:13:48.882875
618339,14,2025-12,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.0,FlashReport_December_2025_page80_table1.csv,80,2026-08-28T21:13:49.116280
618339,14,2026-01,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.0,FlashReport_January_2026_page52_table1.csv,52,2026-08-28T21:13:50.300948
618339,14,2026-01,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.0,FlashReport_January_2026_page95_table1.csv,95,2026-08-28T21:13:50.589955
618339,14,2026-02,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL N24002025,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.0,FlashReport_February_2026_page107_table1.csv,107,2026-08-28T21:13:49.262735
618339,14,2026-02,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.0,FlashReport_February_2026_page56_table1.csv,56,2026-08-28T21:13:49.737601
618339,14,2026-03,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.45,FlashReport_March_2026_page44_table1.csv,44,2026-08-28T21:13:52.359485
618339,14,2026-03,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL N24002025,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.45,FlashReport_March_2026_page97_table1.csv,97,2026-08-28T21:13:52.627595
618339,14,2026-04,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL N24002025) (-,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.45,FlashReport_April2026_page100_table0.csv,100,2026-08-28T21:13:47.906750
618339,14,2026-04,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.45,FlashReport_April2026_page47_table0.csv,47,2026-08-28T21:13:48.235498
618339,14,2026-05,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.45,FlashReport_May2026_page46_table0.csv,46,2026-08-28T21:13:52.948578
