project_id,reporting_month,anomaly_type,reason,method,anomaly_score
618339,2025-12,expenditure_progress_divergence,Expenditure 0.00 below expected 71.33 for progress 20.0%,rule_based,
618339,2026-01,expenditure_progress_divergence,Expenditure 0.00 below expected 71.33 for progress 20.0%,rule_based,
618339,2026-02,expenditure_progress_divergence,Expenditure 0.00 below expected 71.33 for progress 20.0%,rule_based,
618339,2026-03,expenditure_progress_divergence,Expenditure 0.00 below expected 72.93 for progress 20.45%,rule_based,
618339,2026-04,expenditure_progress_divergence,Expenditure 0.00 below expected 72.93 for progress 20.45%,rule_based,
618339,2026-05,expenditure_progress_divergence,Expenditure 0.00 below expected 72.93 for progress 20.45%,rule_based,
618340,2025-12,expenditure_progress_divergence,Expenditure 0.00 below expected 311.84 for progress 68.0%,rule_based,
618340,2026-01,expenditure_progress_divergence,Expenditure 0.00 below expected 311.84 for progress 68.0%,rule_based,
618351,2026-01,unusual_progress_velocity,Unusually fast progress: 79.0% in one month,rule_based,
618351,2026-02,unusual_progress_velocity,Unusually fast progress: 81.0% in one month,rule_based,
618351,2026-03,unusual_progress_velocity,Unusually fast progress: 81.9% in one month,rule_based,
618351,2026-04,unusual_progress_velocity,Unusually fast progress: 81.9% in one month,rule_based,
618351,2026-05,unusual_progress_velocity,Unusually fast progress: 90.5% in one month,rule_based,
618351,2026-06,unusual_progress_velocity,Unusually fast progress: 90.5% in one month,rule_based,
618351,2026-07,unusual_progress_velocity,Unusually fast progress: 90.5% in one month,rule_based,
618352,2026-01,unusual_progress_velocity,Unusually fast progress: 85.0% in one month,rule_based,
618352,2026-01,unusual_progress_velocity,Unusually fast progress: 85.0% in one month,rule_based,
618352,2026-02,unusual_progress_velocity,Unusually fast progress: 87.0% in one month,rule_based,
618352,2026-02,unusual_progress_velocity,Unusually fast progress: 87.0% in one month,rule_based,
618352,2026-03,unusual_progress_velocity,Unusually fast progress: 87.5% in one month,rule_based,
618352,2026-03,unusual_progress_velocity,Unusually fast progress: 87.5% in one month,rule_based,
618352,2026-04,unusual_progress_velocity,Unusually fast progress: 87.5% in one month,rule_based,
618352,2026-04,unusual_progress_velocity,Unusually fast progress: 87.5% in one month,rule_based,
618352,2026-05,unusual_progress_velocity,Unusually fast progress: 87.5% in one month,rule_based,
618352,2026-05,unusual_progress_velocity,Unusually fast progress: 87.5% in one month,rule_based,
