project_id,synthetic_actual_final_cost,synthetic_actual_completion_date,cost_overrun_ratio,schedule_delay_months,cost_overrun_gt_10,schedule_delay_gt_6m,label_source,planned_duration_months
2dff663a-1ee3-52ae-8884-35f86a13eaec,487.23,2019-10-01,0.1601,3,1,0,synthetic_demonstration_only_pending_real_data_audit,18
3361e89d-1aec-5b88-8cdd-17486c69fc89,492.43,2019-12-01,0.1725,3,1,0,synthetic_demonstration_only_pending_real_data_audit,18
7841bc5d-bf81-54f3-9691-9ebad40d6524,271.66,2019-12-01,0.0448,1,0,0,synthetic_demonstration_only_pending_real_data_audit,18
42933df7-9bab-5ad2-9d9c-09ddffb4f481,440.36,2020-02-01,0.0485,1,0,0,synthetic_demonstration_only_pending_real_data_audit,18
edf47840-d7ca-56f4-9816-abfaa0d2d4af,732.16,2020-03-01,-0.0366,0,0,0,synthetic_demonstration_only_pending_real_data_audit,18
5d882336-ceeb-5a72-a55e-e959127a2fc0,2716.35,2020-09-01,0.2073,4,1,0,synthetic_demonstration_only_pending_real_data_audit,18
c83a2b34-4c1a-5f84-ba5e-b27c4c482161,4460.31,2020-10-01,0.1738,3,1,0,synthetic_demonstration_only_pending_real_data_audit,18
d3460fa9-6405-516b-af65-298f1a70ef72,1619.05,2021-01-01,0.1993,4,1,0,synthetic_demonstration_only_pending_real_data_audit,18
b29020e4-ce91-57a1-92f7-69498a0877b6,2314.24,2020-12-01,0.0286,1,0,0,synthetic_demonstration_only_pending_real_data_audit,18
901850d6-25ed-5774-818c-a1ee70ebddf7,3915.66,2021-02-01,0.0304,1,0,0,synthetic_demonstration_only_pending_real_data_audit,18
969a913f-8571-5886-878a-ea64b898dfb3,251.79,2021-03-01,-0.0316,0,0,0,synthetic_demonstration_only_pending_real_data_audit,18
70daf637-164c-5a84-8254-83134e6c075f,183.20,2021-05-01,0.0178,0,0,0,synthetic_demonstration_only_pending_real_data_audit,18
cb7cd51c-0bf1-5adb-b7a2-86be9596d0b0,3864.25,2021-07-01,0.0169,0,0,0,synthetic_demonstration_only_pending_real_data_audit,18
fde61600-2129-5f0f-b569-b526bd341330,4126.50,2021-11-01,0.0859,2,0,0,synthetic_demonstration_only_pending_real_data_audit,18
82d97917-a273-507e-82b4-1572b74a9253,895.66,2022-02-01,0.1785,3,1,0,synthetic_demonstration_only_pending_real_data_audit,18
47150dae-87f3-511e-926f-8b59512e2266,430.74,2022-01-01,0.0256,0,0,0,synthetic_demonstration_only_pending_real_data_audit,18
fcbb5921-5759-58e3-9447-6c3319b2ce8f,732.94,2022-03-01,-0.0356,0,0,0,synthetic_demonstration_only_pending_real_data_audit,18
ff99a7db-85af-5936-8c11-1f3d920516ef,467.38,2022-07-01,0.1128,2,1,0,synthetic_demonstration_only_pending_real_data_audit,18
7b204e98-a68b-58bb-8090-65b2f142dbf0,1642.39,2022-11-01,0.2166,4,1,0,synthetic_demonstration_only_pending_real_data_audit,18
53599431-c7e0-5456-b9e5-3be68614c4ed,216.84,2023-01-01,0.2047,4,1,0,synthetic_demonstration_only_pending_real_data_audit,18
49937151-eb68-50ad-a24a-ce40024c8284,1433.19,2022-12-01,0.0616,1,0,0,synthetic_demonstration_only_pending_real_data_audit,18
f3cd0554-3535-5ae9-a087-ac45c0aa2782,1503.92,2023-03-01,0.1140,2,1,0,synthetic_demonstration_only_pending_real_data_audit,18
aa36de9a-28c0-5a90-a6b2-46bd7c1a99e9,190.75,2023-04-01,0.0597,1,0,0,synthetic_demonstration_only_pending_real_data_audit,18
d74afb02-0d76-5082-adae-8458483b2a66,4747.85,2023-09-01,0.2494,4,1,0,synthetic_demonstration_only_pending_real_data_audit,18
