project_id,observation_count,reporting_month,project_name,agency,project_code,ministry,sector,state,approval_date,original_completion_date,revised_completion_date,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_pct,source_file,source_page,extraction_timestamp
618339,14,2025-12,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.0,FlashReport_December_2025_page43_table1.csv,43,2026-08-28T21:13:48.882875
618339,14,2026-01,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.0,FlashReport_January_2026_page52_table1.csv,52,2026-08-28T21:13:50.300948
618339,14,2026-02,Widening/Improvement to 2-Lane Lane with Paved Shoulder from km 16900 Bogapani to km 27150 Golai Goan on existing Dibrugarh to Ledo section with proposed Digboi Bypass Green Field and Brownfield 2-LanePS of NH-315 OLD NH-38 in Tinsukia District under NHO- NE Package-4,NHIDCL N24002025,618339,,,Assam,01/2023,12/2026,,356.65,356.65,0.0,20.0,FlashReport_February_2026_page107_table1.csv,107,2026-08-28T21:13:49.262735
618340,16,2025-12,Widening/Improvement to 4-Lane with Paved Shoulder from km 626030 Nalani hulla Gaon to km 650450 Chotahapjan on existing Tinsukhia -Makum Bypass of NH-15 OLD NH-37 and Strengthening of existing NH-315 OLD NH-38 from Km 0000 Chotahapjan to Km 16900 Bogapani section 2-Lane PS in Assam on EPCMode under NHO-NE Package-3,NHIDCL,618340,,,Assam,01/2023,09/2025,,458.59,458.59,0.0,68.0,FlashReport_December_2025_page43_table1.csv,43,2026-08-28T21:13:48.882994
618340,16,2026-01,Widening/Improvement to 4-Lane with Paved Shoulder from km 626030 Nalani hulla Gaon to km 650450 Chotahapjan on existing Tinsukhia -Makum Bypass of NH-15 OLD NH-37 and Strengthening of existing NH-315 OLD NH-38 from Km 0000 Chotahapjan to Km 16900 Bogapani section 2-Lane PS in Assam on EPCMode under NHO-NE Package-3,NHIDCL,618340,,,Assam,01/2023,05/2025,,458.59,458.59,0.0,68.0,FlashReport_January_2026_page52_table1.csv,52,2026-08-28T21:13:50.301181
618340,16,2026-02,Widening/Improvement to 4-Lane with Paved Shoulder from km 626030 Nalani hulla Gaon to km 650450 Chotahapjan on existing Tinsukhia -Makum Bypass of NH-15 OLD NH-37 and Strengthening of existing NH-315 OLD NH-38 from Km 0000 Chotahapjan to Km 16900 Bogapani section 2-Lane PS in Assam on EPCMode under NHO-NE Package-3,NHIDCL N24001419,618340,,,Assam,01/2023,05/2025,,458.59,458.59,210.94,80.0,FlashReport_February_2026_page108_table1.csv,108,2026-08-28T21:13:49.265574
618351,16,2025-12,Widening & Upgradation to 2 lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 156.489 near P. Leikul to km 176.410 near Borowapu on EPC mode under NHO-NE Assam portion Package-10,NHIDCL,618351,,,Assam,03/2023,08/2025,,890.33,693.15,0.0,0.0,FlashReport_December_2025_page44_table1.csv,44,2026-08-28T21:13:48.886131
618351,16,2026-01,Widening & Upgradation to 2 lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 156.489 near P. Leikul to km 176.410 near Borowapu on EPC mode under NHO-NE Assam portion Package-10,NHIDCL,618351,,,Assam,03/2023,08/2025,,890.33,693.15,528.84,79.0,FlashReport_January_2026_page53_table1.csv,53,2026-08-28T21:13:50.303635
618351,16,2026-02,Widening & Upgradation to 2 lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 156.489 near P. Leikul to km 176.410 near Borowapu on EPC mode under NHO-NE Assam portion Package-10,NHIDCL N24001971,618351,,,Assam,03/2023,08/2025,,890.33,693.15,551.37,81.0,FlashReport_February_2026_page108_table1.csv,108,2026-08-28T21:13:49.265910
618352,16,2025-12,Widening & Upgradation to 2 lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 136.500 near Hejaichak to km 156.489 near P. Leikul Package-9 on EPC mode under NHO-NE Package- 9,NHIDCL,618352,,,Assam,03/2023,08/2025,,860.37,614.43,0.0,0.0,FlashReport_December_2025_page44_table1.csv,44,2026-08-28T21:13:48.886443
