,AGENCY_NAME,,AGENCY_NAME_SHORT,
EDCIL(India) Limited,,,EDCIL,
ENNORE PORT LTD.,,,ENNORE PORT LTD,
ENNORE TANK TERMINAL PVT.LTD.,,,ENNORE TANK,
EASTERN RAILWAYS,,,ER,
FERTILISER AND CHEMICAL TRIVANCORE,,,FACT,
FREIGHT OPERATION INFORMATION SYSTEM,,,FOIS,
SETTING UP FILM AND TELEVISION INSTITUTE,,,FTI,
GAS AUTHORITY OF INDIA LIMITED,,,GAIL,
GOA SHIPYARD LIMITED,,,GSL,
HEALTH & FAMILY WELFARE,,,H&FW,
HINDUSTAN AERONAUTICS LTD,,,HAL,
HINDUSTAN COPPER LIMITED,,,HCL,
HALDIA FERTILISER CORPORATION,,,HFC,
HLL Infra Tech Services Limited,,,HITES,
HYDERABAD METRO RAIL LTD,,,HMRL,
HINDUSTAN PETROLEUM CORPORATION LIMITED,,,HPCL,
HPCL Rajasthan Refinery Limited(JV),,,HPCLRRL(JV),
HPOIL Gas Pvt. Ltd,,,HPOIL(JV),
HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,,HSCC,
HINDUSTAN STEELWORK CONSTRUCTION LIMITED,,,HSCL,
HINDUSTHAN STEELWORKS CONSTRUCTION LIMITED,,,HSCL,
HSCL FOR DONER,,,HSCL FOR DONER,
HSCL FOR RURAL,,,HSCL FOR RURAL,
HSCL FOR WATER,,,HSCL FOR WATER,
INDIAN FARMERS FERTILISER CORPORATION,,,IFFCO,
INDIRA GANDHI CENTRE FOR ATOMIC RESEARCH,,,IGCAR,
INDRADHANUSH GAS GRID LTD,,,IGGL,
India International Convention and Expo Centre,,,IICC,
IICC FOR DPIIT,,,IICC FOR DPIIT,
INDIAN IRON STEEL COMPANY,,,IISCO,
"Indian Institute of Technology, Kharagpur",,,IITKGP,
INDIAN OIL CORPORATION LIMITED,,,IOCL,
INDIAN PETRO-CHEMICAL CORPORATION LIMITED,,,IPCL,
Indian Railway Construction Company Limited,,,IRCON,
INDIAN STRATEGIC PETROLEUM RESERVES LTD,,,ISPRL,
INDIAN TELEPHONE INDUSTRY,,,ITI,
Inland Waterways Authority of India,,,IWAI,
INLAND WATER TRANSPORT,,,IWT,
JAWAHAR LAL NEHRU NATIONAL URBAN RENEWAL MISSION,,,JNNURM,
JWAAHARLAL NEHRU PORT TRUST,,,JNPT,
Jharkhand Urban Infrastructure Development Company Ltd,,,JUIDCO,
Kolkata Metropolitan Development Authority,,,KMDA,
KOCHI METRO RAIL CORPORATION LTD,,,KMRCL,
KOLKATA METRO RAIL CORPORATION LIMITED,,,KOMRCL,
KAMARAJAR PORT LIMITED,,,KPL,
KONKAN RAILWAY,,,KR,
Rail Infrastructure Development Company,,,KRIDE,
KOCHI REFINERIES LIMITED,,,KRL,
Kochi Salem Pipeline Private Limited(JV),,,KSPPL(JV),
LINE DOUBLING,,,LD,
LUCKNOW METRO RAIL CORPORATION LIMITED,,,LMRCL,
MANGALORE REFINERY AND PETROCHEMICALS LIMITED,,,MANGALORE REFIN,
