Sl. No.,Sector,Projects,"Cost
Original
(Revised)*
{Anticipated}
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,CIVIL AVIATION,38,"26,718.18
(27,771.19)
{30,473.90}","17,430.52"
2,COAL,113,"188,127.06
(192,671.10)
{197,500.35}","66,702.32"
3,DEPARTMENT OF HIGHER EDUCATION,20,"9,680.92
(10,152.14)
{10,206.43}","7,219.42"
4,DPIIT,2,"24,857.00
(31,457.00)
{32,085.00}","9,939.78"
5,FINANCE,2,"577.27
(577.27)
{569.04}",399.67
6,HEALTH AND FAMILY WELFARE,8,"7,301.27
(7,358.40)
{7,356.19}","4,704.48"
7,HOME AFFAIRS,5,"2,025.73
(2,949.25)
{2,949.25}","2,466.60"
8,MINES,8,"7,559.78
(9,356.73)
{9,845.57}","5,983.20"
9,PETROLEUM,106,"423,588.30
(474,888.00)
{485,041.21}","2,38,890.69"
10,POWER,106,"378,959.85
(397,275.55)
{464,282.09}","2,29,667.95"
11,RAILWAYS,213,"631,896.84
(620,968.20)
{658,071.79}","4,50,664.81"
12,ROAD TRANSPORT AND HIGHWAYS,979,"762,272.76
(793,364.28)
{805,114.24}","4,01,122.11"
13,SHIPPING AND PORTS,1,"5,369.18
(5,061.15)
{5,061.15}","3,414.95"
14,SOCIAL JUSTICE,1,"170.99
(170.99)
{170.99}",73.80
15,STEEL,20,"16,297.20
(20,228.73)
{20,228.73}","7,561.30"
16,TELECOMMUNICATIONS,6,"26,961.69
(26,949.89)
{26,949.89}","9,434.73"
