Sl. No.,State,Projects,"Cost Original
(Revised)*
{Anticipated}
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,ANDAMAN AND NICOBAR ISLANDS,10,"2,956.02
(3,029.18)
{3,010.04}","1,808.58"
2,ANDHRA PRADESH,101,"137,833.86
(138,333.19)
{186,185.06}","98,734.38"
3,ARUNACHAL PRADESH,15,"45,355.10
(45,418.63)
{65,231.68}","29,936.93"
4,ASSAM,66,"70,951.17
(71,435.04)
{78,927.98}","48,896.87"
5,BIHAR,91,"132,025.16
(143,881.81)
{156,093.17}","98,897.94"
6,CHHATTISGARH,50,"75,244.87
(79,134.30)
{79,609.36}","34,568.92"
7,DELHI,21,"90,609.18
(96,063.03)
{94,869.54}","75,889.17"
8,GOA,3,"1,201.05
(1,201.05)
{1,287.55}",479.89
9,GUJARAT,93,"171,766.13
(178,643.20)
{180,047.13}","88,746.28"
10,HARYANA,27,"64,666.15
(75,462.06)
{75,513.65}","38,801.14"
11,HIMACHAL PRADESH,29,"38,377.91
(39,407.59)
{47,304.24}","31,113.84"
12,JAMMU AND KASHMIR,54,"110,434.59
(111,493.16)
{124,794.68}","78,431.58"
13,JHARKHAND,63,"113,244.62
(117,005.23)
{116,157.04}","64,585.11"
14,KARNATAKA,79,"100,786.16
(102,083.89)
{101,111.19}","48,636.34"
15,KERALA,32,"64,106.75
(69,889.93)
{70,321.90}","35,689.51"
16,LADAKH,6,"2,474.97
(2,474.97)
{2,634.64}","1,335.62"
17,MADHYA PRADESH,59,"113,890.17
(113,291.57)
{119,877.89}","40,597.62"
