Sl. No.,State,Projects,"Cost Original
(Revised)*
{Anticipated}
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
18,MAHARASHTRA,157,"218,215.39
(219,727.02)
{244,735.03}","1,25,686.25"
19,MANIPUR,31,"25,573.90
(23,525.17)
{33,485.71}","19,617.15"
20,MEGHALAYA,14,"6,669.20
(6,671.16)
{6,679.40}","3,297.68"
21,MIZORAM,16,"14,026.44
(12,520.44)
{18,053.36}","15,684.86"
22,MULTI STATE,49,"331,697.08
(337,250.07)
{350,472.22}","2,53,221.50"
23,NAGALAND,23,"13,242.51
(14,429.85)
{14,128.82}","7,970.58"
24,ODISHA,76,"141,702.20
(143,692.35)
{146,380.41}","66,140.85"
25,PUNJAB,37,"37,339.85
(37,800.41)
{38,239.81}","15,087.38"
26,RAJASTHAN,59,"133,461.98
(163,301.66)
{162,895.85}","91,952.19"
27,SIKKIM,18,"20,007.02
(24,489.69)
{25,331.78}","18,325.74"
28,TAMIL NADU,58,"86,711.11
(92,401.36)
{97,359.99}","23,782.67"
29,TELANGANA,52,"29,124.48
(29,461.83)
{31,449.35}","15,398.11"
30,TRIPURA,14,"7,910.17
(7,947.06)
{8,032.54}","1,403.56"
31,UTTAR PRADESH,126,"206,693.32
(215,027.99)
{219,300.59}","1,08,471.35"
32,UTTARAKHAND,30,"58,506.75
(63,252.30)
{63,200.39}","45,102.40"
33,WEST BENGAL,56,"73,857.94
(78,618.45)
{86,227.14}","48,205.96"
,Total,1595,"2,685,568.07
(2,801,018.15)
{2,975,429.26}","16,30,750.12"
