Sl. No.,State,Projects,"Cost Original
(Revised)*
{Anticipated}
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
18,MAHARASHTRA,177,"235,212.75
(239,003.84)
{263,997.81}","1,39,123.44"
19,MANIPUR,33,"25,919.61
(23,907.05)
{33,831.42}","19,613.61"
20,MEGHALAYA,15,"6,827.06
(6,818.08)
{6,837.26}","3,427.30"
21,MIZORAM,17,"14,519.38
(13,013.38)
{18,688.72}","15,940.70"
22,MULTI STATE,50,"331,866.08
(337,419.07)
{350,641.22}","2,48,890.31"
23,NAGALAND,25,"13,894.53
(15,243.21)
{14,942.18}","8,322.44"
24,ODISHA,76,"141,702.20
(143,692.35)
{146,380.41}","64,716.85"
25,PUNJAB,37,"37,339.85
(37,800.41)
{38,239.81}","14,582.90"
26,RAJASTHAN,62,"138,216.71
(168,368.04)
{167,962.23}","91,585.48"
27,SIKKIM,20,"20,540.04
(25,022.71)
{25,866.28}","18,480.28"
28,TAMIL NADU,61,"88,967.98
(94,410.41)
{99,894.68}","24,829.27"
29,TELANGANA,52,"29,124.48
(29,461.83)
{31,449.35}","14,511.12"
30,TRIPURA,14,"7,910.17
(7,947.06)
{8,032.54}","1,291.48"
31,UTTAR PRADESH,125,"205,554.60
(213,896.31)
{217,968.91}","1,06,018.10"
32,UTTARAKHAND,31,"58,781.06
(63,618.31)
{63,170.51}","44,929.76"
33,WEST BENGAL,56,"78,752.95
(83,513.46)
{91,118.89}","48,147.34"
,Total,1637,"2,719,583.76
(2,838,278.79)
{3,012,166.88}","16,23,159.43"
