Sl.No,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,1,"763
763",430
,,Real Estate,7,"15586.25
15586.3",1244.36
,,Total,8,"16,349.25","1,674.36"
2,Department of Higher Education,Education,30,"15165.68
14908.2",8310.52
,,Total,30,"15,165.68","8,310.52"
3,Department of Sports,Education,1,"906.47
611.74",574.12
,,Total,1,906.47,574.12
4,Department of Telecommunications,Telecommunication,12,"151125.15
273253",77035.7
,,Total,12,"151,125.15","77,035.70"
5,"Department of Water Resources, River Development
& GR",Waste & Water,8,"4039.12
4039.12",1643.05
,,Water Resources,40,"117255.04
220989",160182
,,Total,48,"121,294.16","161,825.05"
6,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,"21600.76
22814.8",10762
,,Total,26,"21,600.76","10,762.00"
7,Ministry of Coal,Coal,117,"185612.91
183069",48260.8
,,Electricity Generation,9,"56050.64
60593.8",29405.7
,,Railways,2,"3485.86
5002.87",2338.96
,,Total,128,"245,149.41","80,005.46"
8,Ministry of Health & Family Welfare,Healthcare,23,"17252.19
21471",8356.63
,,Total,23,"17,252.19","8,356.63"
9,Ministry of Housing & Urban Affairs,Construction,1,"644
644",161.57
,,Real Estate,4,"33749.85
33795.9",14539.5
,,Urban Public Transport,27,"315168.47
335924",181939
,,Waste & Water,19,"4581.29
4680.57",3489.26
,,Total,51,"354,143.61","200,129.33"
10,Ministry of Labour and Employment,Healthcare,11,"2871.72
3080.24",1590
,,Total,11,"2,871.72","1,590.00"
11,Ministry of Mines,Construction,1,"255.37
255.37",98.92
,,Metals & Mining,5,"7989.36
12087.2",7203.91
,,Total,6,"8,244.73","7,302.83"
12,Ministry of Petroleum & Natural Gas,Energy Storage,16,"80623.3
119394",101617
,,Oil & Gas,96,"370568.19
399478",201674
,,Total,112,"451,191.49","303,291.00"
13,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",3990.06
,,Shipping,5,"13572.5
13613.1",10569.4
,,"Tourism, Hospitality & Wellness",1,"573
1238.05",614.91
,,Total,7,"19,514.68","15,174.37"
14,Ministry of Power,Coal,2,"2083
2365",1072.11
,,Electricity Generation,31,"284729.2
335456",130569
,,Transmission & Distribution,69,"208869.73
214833",69254.8
,,Total,102,"495,681.93","200,895.91"
15,Ministry of Railways,Railways,260,"718136.25
869473",578947
,,Total,260,"718,136.25","578,947.00"
16,Ministry of Road Transport & Highways,Roads & Highways,1137,"1054522.87
1.08112e+006",369902
,,Total,1137,"1,054,522.87","369,902.00"
17,Ministry of Steel,Metals & Mining,1,"1700
1756.2",258.41
,,Steel,18,"17811.66
21050",10073
,,Total,19,"19,511.66","10,331.41"
Total,,,1981,"3,712,662.01","2,036,107.69"
