Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
19,Madhya Pradesh,Ministry of Power,Electricity Generation,1,"20446
20446",1721.18
,,,Transmission & Distribution,10,"46260.32
46260.3",7207.11
,,Ministry of Railways,Railways,18,"55989.79
69626.6",55110.99
,,Ministry of Road Transport & Highways,Roads & Highways,61,"43398.77
40100.6",11482.23
,,,Total,125,309604.06,124125.98
20,Maharashtra,Department of Telecommunications,Telecommunication,3,"7147.17
7147.17",2535.97
,,"Department of Water Resources, River
Development & GR",Water Resources,11,"22660.36
32345.7",36882.64
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"500.48
500.48",381.20
,,Ministry of Coal,Coal,26,"12900.3
12900.3",3152.48
,,Ministry of Housing & Urban Affairs,Urban Public Transport,9,"60255.66
74569.4",36353.25
,,,Waste & Water,4,"814.94
814.94",715.68
,,Ministry of Labour and Employment,Healthcare,3,"884.31
886.08",672.75
,,Ministry of Petroleum & Natural Gas,Energy Storage,2,"764.49
872.81",558.28
,,,Oil & Gas,12,"45781.88
48746.3",21550.71
,,"Ministry of Ports, Shipping and Waterways",Shipping,1,"6000
6000",5999.89
,,Ministry of Power,Transmission & Distribution,6,"34016.67
34016.7",7275.40
,,Ministry of Railways,Railways,34,"266393.54
357833",287950.70
,,Ministry of Road Transport & Highways,Roads & Highways,101,"84448.08
90412.2",27651.08
,,,Total,213,542567.88,431680.03
21,Manipur,Department of Sports,Education,1,"906.47
611.74",574.12
,,"Department of Water Resources, River
Development & GR",Water Resources,1,"1449.44
1822.24",1837.91
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"499
499",201.99
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"9265
9265",6877.97
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5577.75
,,Ministry of Railways,Railways,1,"14323
21885.9",16020.78
,,Ministry of Road Transport & Highways,Roads & Highways,30,"10790.98
10791",5985.39
,,,Total,36,42345.22,37075.91
22,Meghalaya,Department of Higher Education,Education,1,"494.52
429.7",368.98
,,Department of Telecommunications,Telecommunication,1,"971.96
971.96",232.79
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"9265
9265",6877.97
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5577.75
,,Ministry of Railways,Railways,2,"9628.9
9646.9",1520.59
,,Ministry of Road Transport & Highways,Roads & Highways,12,"6148.96
5995.63",1034.15
,,,Total,18,31620.67,15612.23
23,Mizoram,Department of Higher Education,Education,1,"474.23
474.23",167.55
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"225.71
225.71",22.78
,,,Oil & Gas,1,"9265
9265",6877.97
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5577.75
,,Ministry of Road Transport & Highways,Roads & Highways,21,"14421.14
14565.7",2548.87
,,,Total,25,29497.41,15194.92
24,Nagaland,Department of Higher Education,Education,1,"275.63
275.63",263.25
,,Ministry of Petroleum & Natural Gas,Oil & Gas,2,"9492.62
9492.62",6903.91
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5577.75
,,Ministry of Railways,Railways,2,"8786.7
8786.7",6403.64
,,Ministry of Road Transport & Highways,Roads & Highways,19,"6191.03
6745.08",925.84
,,,Total,25,29857.31,20074.39
