Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Transmission & Distribution,,,,,,
22,"North Eastern Region Expansion Scheme-XXIII [NERES-XXIII]
(Power Grid Corporation of India Limited [POWERGRID])
(617375)",Arunachal Pradesh,"08/2025
(08/2025)","02/2028
(-)","209.38
(209.38)",3.14,1.5
23,"Comprehensive Scheme for Strengthening of Transmission and Distribution
[T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim
(Power Grid Corporation of India Limited [POWERGRID])
(602223)","Multi-States (Arunachal
Pradesh, Sikkim)","10/2014
(10/2014)","12/2018
(03/2027)","4754.42
(9129.32)",8069.4,83.4
24,"NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT
[NERPSIP]
(Power Grid Corporation of India Limited [POWERGRID])
(607709)","Multi-States (Mizoram,
Manipur, Tripura,
Assam, Meghalaya,
Nagaland)","12/2014
(03/2016)","12/2018
(03/2027)","5111.33
(6700)",5577.75,98.5
,Total (3),,,,10075.13,13650.29,
,Ministry of Petroleum & Natural Gas,,,,,,
,Energy Storage,,,,,,
25,"Setting up of new rail fed POL facility at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited [HPCL])
(709755)",Assam,"03/2023
(03/2023)","07/2027
(07/2027)","384.04
(384.04)",216.85,82.4
26,"Construction of LPG Facilities at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited)
(709754)",Assam,"03/2023
(03/2023)","07/2027
(07/2027)","156.36
(156.36)",102.07,75.5
27,"Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal
[COIT] at Paradip
(Ministry of Petroleum & Natural Gas)
(701349)",Assam,"01/2019
(01/2019)","07/2024
(10/2026)","10228
(11407)",10912.42,92.4
28,"LPG Bottling Plant at Mualkhang
(Ministry of Petroleum & Natural Gas)
(617829)",Mizoram,"07/2024
(07/2024)","10/2028
(11/2027)","225.71
(225.71)",22.78,32
29,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing
Dharmanagar Depot
(Indian Oil Corporation Limited [IOCL])
(400035)",Tripura,"06/2022
(06/2022)","09/2025
(06/2026)","656
(656)",537.17,97
,Total (5),,,,11650.11,11791.29,
,Oil & Gas,,,,,,
30,"Power Recovery Turbine [PRT] in PFCCU unit as an Energy Conservation
Scheme
(NRL)
(709865)",Assam,"04/2023
(04/2023)","12/2024
(09/2026)","293.5
(293.5)",81.84,99
31,"DCU Revamp Project
(NRL)
(709864)",Assam,"08/2021
(08/2021)","07/2024
(10/2026)","370
(370)",281.31,76.3
32,"Borholla GGS Life Extension Project [BLEP]
(Ministry of Petroleum & Natural Gas)
(709850)",Assam,"09/2023
(09/2023)","05/2026
(09/2026)","198.7
(198.7)",96.22,55.7
33,"Pipeline Network Project Rudrasagar
(Ministry of Petroleum & Natural Gas)
(709847)",Assam,"01/2023
(01/2023)","04/2026
(04/2027)","481.03
(481.03)",235.37,54.1
34,"Numaligarh Refinery Expansion Project
(Ministry of Petroleum & Natural Gas)
(604791)",Assam,"07/2020
(07/2020)","07/2024
(03/2027)","12366
(22494)",19522.33,84.6
35,"Development of Surface Facilities for production and evacuation of Crude Oil and
Natural Gas from Nadua and East Khagorija
(Ministry of Petroleum & Natural Gas)
(604863)",Assam,"01/2018
(01/2018)","02/2020
(06/2026)","682.9
(726.93)",598.62,94.3
36,"Capacity Expansion of Digboi Refinery from 0.65 to 1.0 MMTPA
(MinistryofPetroleumNaturalGas)
(709779)",Assam,"06/2022
(06/2022)","03/2026
(07/2027)","768
(740)",174.5,56
37,"Guwahati Refinery Expansion [1.0 to 1.2 MMTPA] along with installation of CRU,
Guwahati Refinery
(Ministry of Petroleum & Natural Gas)
(607701)",Assam,"05/2021
(05/2021)","10/2023
(05/2026)","412.3
(577)",457.64,94.9
38,"Augmentation/Revamping of Facilities at existing Guwahati Terminal at Betkuchi
(MinistryofPetroleumNaturalGas)
(709776)",Assam,"04/2022
(04/2022)","09/2026
(09/2026)","277
(323.09)",226.36,81.2
39,"Construction of Field Gas Gathering Station at Baghjan area for collection,
processing & transportation of natural Gas to be produced from Baghjan Field
(Ministry of Petroleum & Natural Gas)
(616858)",Assam,"12/2020
(12/2020)","03/2024
(06/2026)","430.76
(430.76)",346.97,92.4
40,"Pipeline Rehabilitation Project, Phase-II
(Ministry of Petroleum & Natural Gas)
(617827)",Assam,"12/2024
(12/2024)","12/2029
(12/2029)","680
(680)",8.19,24
41,"Coke Drum Structure Package
(Ministry of Petroleum & Natural Gas)
(617836)",Assam,"12/2022
(12/2022)","12/2025
(09/2026)","635.28
(635.28)",453.66,60.6
42,"Group Gathering Station, Lakwagaon
(Ministry of Petroleum & Natural Gas)
(619316)",Assam,"10/2025
(10/2025)","10/2027
(10/2027)","495.59
(495.59)",18.04,5.7
