Sl.No,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,Department for Promotion of Industry & Internal Trade,Real Estate,2,"3841.25
3841.25",494.3
2,Department of Higher Education,Education,30,"12754.41
12685.5",8159.38
3,Department of Telecommunications,Telecommunication,14,"150849.85
272942",72122.5
4,"Department of Water Resources, River Development
& GR",Waste & Water,8,"4039.12
4039.12",1643.05
,,Water Resources,40,"93248.95
195108",138397
5,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,"23049.84
23511",24879.8
6,Ministry of Coal,Coal,117,"166806.82
164263",53439.3
,,Electricity Generation,5,"46865.63
51408.8",23562.4
,,Railways,2,"3485.86
3485.86",1641.67
7,Ministry of Health & Family Welfare,Healthcare,3,"4155
4492.95",2694.22
8,Ministry of Housing & Urban Affairs,Construction,1,"646.53
646.52",533.12
,,Inland Waterways,1,"63246
63246",26410.2
,,Real Estate,4,"33749.85
33749.8",58.58
,,Urban Public Transport,21,"223016.77
243598",159570
,,Waste & Water,25,"6085.6
6085.6",19062.9
9,Ministry of Mines,Construction,1,"255.37
255.37",79.34
,,Metals & Mining,9,"12736.35
15116.5",6124.59
10,Ministry of Petroleum & Natural Gas,Energy Storage,16,"81301.48
120185",90497.5
,,Oil & Gas,90,"351248.78
383480",184032
11,"Ministry of Ports, Shipping and Waterways",Healthcare,1,"693
693",58
,,Inland Waterways,2,"9612.82
9304.79",3876.92
,,Shipping,5,"4823.34
4823.34",2020.93
,,"Tourism, Hospitality & Wellness",1,"573
1238.05",496.63
12,Ministry of Power,Coal,2,"2083
2365",910.82
,,Electricity Generation,30,"223418.07
278228",132370
,,Transmission & Distribution,61,"142976.51
149491",52183.1
13,Ministry of Railways,Railways,263,"691320.92
837521",524256
14,Ministry of Steel,Metals & Mining,1,"1700
1756.2",65.44
,,Steel,19,"16748.25
19986.5",7969.76
Total,,,800,"2,375,332.37","1,537,609.45"
