Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
11,Gujarat,Ministry of Railways,Railways,31,"187430.66
262112",216423.66
,,,Total,73,397607.96,394515.63
12,Haryana,Ministry of Health & Family Welfare,Healthcare,1,"1299
1299",349.41
,,Ministry of Housing & Urban Affairs,Urban Public Transport,1,"6230.99
6230.99",0.29
,,,Waste & Water,2,"491.2
491.2",2617.89
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"9028
9028",7136.41
,,,Oil & Gas,5,"45925.07
49596.1",33666.90
,,Ministry of Power,Transmission & Distribution,4,"13362
13914",2619.30
,,Ministry of Railways,Railways,4,"53464
126368",125567.23
,,,Total,18,129800.26,171957.43
13,Himachal Pradesh,Department of Higher Education,Education,3,"811.15
921.89",579.09
,,Department of Telecommunications,Telecommunication,1,"336.89
301.13",227.82
,,Ministry of Power,Electricity Generation,4,"7728.04
12252.1",4137.13
,,Ministry of Railways,Railways,3,"17005
17005.1",9366.44
,,,Total,11,25881.08,14310.48
14,Jammu and Kashmir,Department of Higher Education,Education,1,"424.93
500.91",484.52
,,Department of Telecommunications,Telecommunication,1,"336.89
301.13",227.82
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"861.37
861.37",177.69
,,Ministry of Health & Family Welfare,Healthcare,1,"1828
1828",1531.86
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"676.89
676.89",526.10
,,,Oil & Gas,2,"1059.9
1059.9",193.82
,,Ministry of Power,Electricity Generation,4,"22207.77
27945.1",12525.60
,,,Transmission & Distribution,3,"825.43
825.43",496.12
,,,Total,14,28221.18,16163.53
15,Jharkhand,Department of Telecommunications,Telecommunication,2,"5262.57
5262.57",1699.75
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"5430.04
12010.3",5704.07
,,Ministry of Coal,Coal,27,"45414.48
45178.8",10417.02
,,,Railways,1,"1799.64
1799.64",1293.71
,,Ministry of Housing & Urban Affairs,Waste & Water,3,"654.14
654.14",2532.48
,,Ministry of Mines,Metals & Mining,2,"3370.02
3370.02",16.57
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"10228
11407",9766.72
,,,Oil & Gas,3,"2010.07
2010.07",595.56
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,"5369.18
5061.15",3510.72
,,Ministry of Power,Coal,2,"2083
2365",910.82
,,,Electricity Generation,2,"31470
34660",18606.57
,,Ministry of Railways,Railways,12,"43352.74
43746.7",14874.38
,,Ministry of Steel,Steel,6,"2854.58
3572.87",1284.99
,,,Total,64,159298.46,71213.36
16,Karnataka,"Department for Promotion of Industry &
Internal Trade",Real Estate,1,"1701.81
1701.81",88.25
,,Department of Higher Education,Education,1,"420.41
420.41",360.72
,,"Department of Water Resources, River
Development & GR",Water Resources,1,"770.16
1606.07",1511.22
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,"1143.4
1143.4",515.77
,,Ministry of Housing & Urban Affairs,Urban Public Transport,2,"41193.24
45483.2",37902.51
,,,Waste & Water,2,"337.69
337.69",1278.27
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"678
1732",713.86
,,,Oil & Gas,5,"9662
12693.6",8749.96
