Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
45,"Jiribam-Imphal new line project
(Northeast Frontier Railway [NFR])
(705391)",Manipur,"03/2013
(12/2007)","12/2026
(06/2029)","14323
(21885.9)",15598.11,69
46,"Murkongselek-Pasighat
(Northeast Frontier Railway (NFR) - II)
(705401)","Multi-States (Arunachal
Pradesh, Assam)","NA
(03/2012)","03/2025
(12/2025)","435
(1250)",901,56
47,"Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km]
(Northeast Frontier Railway [NFR])
(705392)","Multi-States (Assam,
Nagaland)","08/2015
(02/2016)","03/2025
(12/2025)","6663
(6663)",5312.26,80
48,"Lumding Furkating Doubling Project 140 km
(Northeast Frontier Railway [NFR])
(616701)","Multi-States (Assam,
Nagaland)","NA
(01/2025)","02/2028
(-)","2123.7
(2123.7)",13.74,0
49,"Sivok-Rangpo New Rail Line
(Indian Railway Construction International Limited [IRCON])
(705432)",Sikkim,"10/2009
(05/2010)","05/2015
(12/2027)","7877
(12133)",9039.91,84
,Total (9),,,,36793.57,34940.5,
,Department of Telecommunications,,,,,,
,Telecommunication,,,,,,
50,"Provision of 4G based Mobile Services in Uncovered Villages and National
Highways of Meghalaya
(Department of Telecommunications [DoT])
(701598)",Meghalaya,"09/2019
(09/2020)","03/2022
(09/2025)","971.96
(971.96)",208.25,99
51,"Provision of 4G Mobile Services in Uncovered Villages of Arunachal Pradesh and
2 Districts of Assam
(Department of Telecommunications [DoT])
(701597)","Multi-States (Arunachal
Pradesh, Assam)","12/2020
(10/2021)","04/2023
(09/2025)","1255.49
(1255.49)",284.04,89
,Total (2),,,,2227.45,492.29,
,Ministry of Housing & Urban Affairs,,,,,,
,Waste & Water,,,,,,
52,"Dibrugarh Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702682)",Assam,"NA
(01/2020)","03/2023
(12/2025)","186.8
(186.8)",1291.55,98
,Total (1),,,,186.8,1291.55,
,"Department of Water Resources, River Development & GR",,,,,,
,Water Resources,,,,,,
53,"Borolia Irrigation Project
(Department of Water Resources, River Development & GR)
(701370)",Assam,"NA
(12/1996)","12/2022
(03/2026)","256.16
(256.16)",0,55
54,"Thoubal Multipurpose Project
(Water Resources Department-MN)
(701400)",Manipur,"01/2022
(04/1997)","12/2019
(03/2026)","1449.44
(1822.24)",1837.91,98
,Total (2),,,,1705.6,1837.91,
