Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
220,"TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL
RENEWABLE ENERGY ZONE IN KHAVDA AREA OF GUJARAT UNDER PHASE-V
[8 GW] PART A [SPV Name POWERGRID West Central Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615347)","Multi-States
(Gujarat,
Maharashtra)","11/2024
(11/2024)","05/2029
(-)","24819
(24819)",1796.14,1
221,"Transmission system for evacuation of power from Rajasthan REZ Ph-IV [Part-
3/6GW] [Bikaner complex] Part A [SPV Name POWERGRID Bikaner IV Transmission
Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615339)","Multi-States
(Haryana, Punjab,
Rajasthan)","11/2024
(11/2024)","11/2026
(-)","5969
(5969)",218.47,5
222,"TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN
REZ PH-IV [PART-3/ 6 GW] [BIKANER COMPLEX] PART B [SPV Name
POWERGRID Siwani Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615340)","Multi-States
(Haryana,
Rajasthan)","11/2024
(11/2024)","11/2026
(-)","5357
(5357)",267.85,9
223,"Transmission System for Strengthening of Srinagar-Leh Tr. System
(Power Grid Corporation of India Limited [POWERGRID])
(606781)","Multi-States
(Jammu and
Kashmir, Ladakh)","03/2022
(03/2022)","12/2024
(10/2025)","288.71
(288.71)",207.8,75
224,"Transmission Scheme for Solar Energy Zone in Bidar [2500 MW], Karnataka [Bidar
Transmission Ltd]
(Power Grid Corporation of India Limited [POWERGRID])
(612138)","Multi-States
(Karnataka,
Telangana)","02/2024
(02/2024)","02/2026
(-)","2147.62
(2147.62)",1144.89,61
225,"Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5
GW] [Jaisalmer/Barmer Complex] Part D [SPV Name POWERGRID Beawar
Mandsaur Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615333)","Multi-States
(Madhya Pradesh,
Rajasthan)","08/2024
(08/2024)","08/2026
(-)","2227
(2227)",622.89,20
226,"Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5
GW] [Jaisalmer/Barmer Complex] Part E [SPV Name POWERGRID Mewar
Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615334)","Multi-States
(Madhya Pradesh,
Rajasthan)","08/2024
(08/2024)","08/2026
(-)","3251
(3251)",780.24,18
227,"Rajasthan REZ Ph-V [Part-1- 4 GW] [Sirohi/Nagaur] Complex [Rajasthan V Power
Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617186)","Multi-States
(Madhya Pradesh,
Rajasthan)","03/2025
(03/2025)","03/2027
(-)","5028
(5028)",203.2,1
228,"Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1]
[Bikaner Complex] Part D [Neemrana Bareilly Transmission Ltd]
(Power Grid Corporation of India Limited [POWERGRID])
(612133)","Multi-States
(Rajasthan, Uttar
Pradesh)","12/2023
(12/2023)","12/2025
(06/2026)","2056
(2056)",1356.96,58
229,"Transmission System for evacuation of Power from Rajasthan REZ Ph-IV [Part-4 3.5
GW] Part A [SPV name POWERGRID Ghiror Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(616670)","Multi-States
(Rajasthan, Uttar
Pradesh)","12/2024
(12/2024)","12/2026
(-)","5846
(5846)",293.47,4
230,"Transmission system strengthening scheme for evacuation of power from solar energy
zones in Rajasthan[8.1 GW] under phase-II- Part E
(Power Grid Corporation of India Limited [POWERGRID])
(611659)",Rajasthan,"03/2023
(03/2023)","09/2024
(10/2025)","1433.28
(1433)",1359.63,95
231,"Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under
Phase III- Part E2
(Power Grid Corporation of India Limited [POWERGRID])
(611947)",Rajasthan,"11/2023
(11/2023)","06/2025
(12/2025)","428.3
(428.3)",179.89,51
232,"Transmission system for evacuation of power from REZ in Rajasthan 20 GW under
Phase-III part H
(Power Grid Corporation of India Limited [POWERGRID])
(611948)",Rajasthan,"10/2023
(10/2023)","04/2025
(12/2025)","2211.29
(2211.29)",1817.46,80
233,"Transmission system for evacuation of power from REZ in Rajasthan 20 GW under
Phase-III part C1
(Power Grid Corporation of India Limited [POWERGRID])
(611949)",Rajasthan,"10/2023
(10/2023)","04/2025
(10/2025)","1796.02
(1796.02)",1247.87,83
234,"Transmission system for evacuation of power from REZ in Rajasthan 20 GW under
Phase-III part B1
(Power Grid Corporation of India Limited [POWERGRID])
(611950)",Rajasthan,"09/2023
(09/2023)","04/2025
(12/2025)","2190.54
(2190.54)",1870.72,83
235,"Transmission system for evacuation of power from REZ in Rajasthan 20GW under
Phase-III Part E1
(Power Grid Corporation of India Limited [POWERGRID])
(611951)",Rajasthan,"12/2021
(08/2023)","02/2025
(09/2025)","688.74
(688.74)",587.42,96
236,"Transmission System for Evacuation of power from Rajasthan REZ Ph-IV [Part-1]
[Bikaner Complex] Part A [Bikaner Neemrana Transmission Ltd]
(Power Grid Corporation of India Limited [POWERGRID])
(612134)",Rajasthan,"12/2023
(12/2023)","12/2025
(03/2026)","2998.34
(2998.34)",1703.11,51
237,"Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5
GW][Jaisalmer/Barmer Complex] Part B [SPV Name POWERGRID Sirohi
Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615332)",Rajasthan,"08/2024
(08/2024)","08/2026
(-)","3279
(3279)",688.59,21
238,"Transmission System Strengthening for Interconnections of Bhadla-III & Bikaner III
Complex [SPV Name POWERGRID BHADLA BIKANER TRANSMISSION LIMITED]
(Power Grid Corporation of India Limited [POWERGRID])
(615335)",Rajasthan,"08/2024
(08/2024)","08/2026
(-)","1382
(1382)",41.46,4
239,"Additional Transmission System for evacuation of Power from Bhadla-III PS as part of
Rajasthan REZ Phase III Scheme [20 GW] [SPV Name POWERGRID Bhadla-III
Power Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615337)",Rajasthan,"08/2024
(08/2024)","02/2026
(-)","369
(369)",58.26,16
240,"TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN
REZ PH -IV [PART-2 5.5 GW] [JAISALMER/BARMER COMPLEX] PART F [SPV
Name POWERGRID BARMER I TRANSMISSION LIMITED]
(Power Grid Corporation of India Limited [POWERGRID])
(615338)",Rajasthan,"11/2024
(11/2024)","11/2026
(-)","2735
(2735)",82.05,8
241,"Augmentation at Fatehgarh-II PS, Fatehgarh-IV PS [Section-II] and Barmer-I PS
[POWERGRID Fatehgarh Barmer Augmentation Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617181)",Rajasthan,"03/2025
(03/2025)","12/2026
(-)","404
(404)",8.04,0
