Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
19,Madhya Pradesh,Ministry of Railways,Railways,19,"58468.02
72465.1",46251.50
,,Ministry of Road Transport & Highways,Roads & Highways,18,"11067.7
11053.4",4005.01
,,,Total,77,204021.97,92265.52
20,Maharashtra,Department of Telecommunications,Telecommunication,4,"7608.59
7608.59",2535.04
,,"Department of Water Resources, River
Development & GR",Water Resources,11,"22660.36
32345.7",34616.74
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"500.48
500.48",348.09
,,Ministry of Coal,Coal,25,"12455.88
12455.9",2875.77
,,Ministry of Housing & Urban Affairs,Urban Public Transport,9,"60255.66
74395.7",34603.37
,,,Waste & Water,4,"814.94
814.94",662.68
,,Ministry of Labour and Employment,Healthcare,3,"884.31
886.08",606.60
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"281.35
389.67",249.50
,,,Oil & Gas,11,"32676.16
35504.2",20955.37
,,"Ministry of Ports, Shipping and Waterways",Healthcare,1,"693
693",58.00
,,,Shipping,2,"6900
6900",6064.89
,,Ministry of Power,Transmission & Distribution,4,"30596.67
30596.7",6459.46
,,Ministry of Railways,Railways,34,"267898.34
358579",272544.48
,,Ministry of Road Transport & Highways,Roads & Highways,52,"49332.36
49549.1",14283.95
,,,Total,162,493558.1,396863.94
21,Manipur,Department of Sports,Education,1,"906.47
611.74",565.17
,,"Department of Water Resources, River
Development & GR",Water Resources,1,"1449.44
1822.24",1837.91
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"499
499",160.06
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"9265
9265",6622.00
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5442.41
,,Ministry of Railways,Railways,1,"14323
21885.9",15824.48
,,Ministry of Road Transport & Highways,Roads & Highways,22,"8432.41
8432.41",4453.04
,,,Total,28,39986.65,34905.07
22,Meghalaya,Department of Higher Education,Education,1,"494.52
429.7",426.07
,,Department of Telecommunications,Telecommunication,1,"971.96
971.96",215.36
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"9265
9265",6622.00
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5442.41
,,Ministry of Road Transport & Highways,Roads & Highways,9,"4138.06
4138.06",182.58
,,,Total,13,19980.87,12888.42
23,Mizoram,Department of Higher Education,Education,1,"474.23
474.23",167.55
,,Ministry of Petroleum & Natural Gas,Energy Storage,1,"225.71
225.71",16.32
,,,Oil & Gas,1,"9265
9265",6622.00
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5442.41
,,Ministry of Road Transport & Highways,Roads & Highways,11,"6992.95
7137.51",587.89
,,,Total,15,22069.22,12836.17
24,Nagaland,Department of Higher Education,Education,1,"275.63
275.63",261.70
,,Ministry of Petroleum & Natural Gas,Oil & Gas,2,"9492.62
9492.62",6637.85
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5442.41
,,Ministry of Railways,Railways,2,"8786.7
8786.7",5842.09
,,Ministry of Road Transport & Highways,Roads & Highways,18,"5867.05
6421.1",228.62
,,,Total,24,29533.33,18412.67
25,Odisha,Department of Higher Education,Education,1,"1229.32
843.09",835.60
,,Department of Telecommunications,Telecommunication,3,"7147.17
7147.17",2369.02
