Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
155,"Construction of 2-Laning with Paved Shoulder of New Greenfield Alignment From
Chochenpheri at Km 52000 to Helipad near Menla at Km 82000 of Rhenock-
Menla Spur NH-717B Package-IIIA on EPC Basis under SARDP-NE Phase 'A' in
the State of Sikkim.
(NHIDCL)
(618448)",Sikkim,"10/2020
(12/2020)","12/2023
(09/2025)","816.79
(786.6)",0,0
156,"Construction & Upgradation of existing road to 2-lane with paved shoulder from
km27.200 End of Rongli bypass to km37.600New Rolep Bridge of Rhenok-Menla
spur NH-717B on EPC Mode under SARDP-NE Phase-A in Sikkim Pkg-II B
(NHIDCL)
(618449)",Sikkim,"07/2020
(10/2020)","04/2023
(02/2025)","230.45
(244.91)",0,64
157,"Rehabilitation & Upgradation of existing road to 2-lane with paved shoulder
including geometric improvement of section from start of Rabangla km33.600 to
km58.840 under SARDP-NE Phase A Pkg- IV
(NHIDCL)
(618450)",Sikkim,"07/2020
(10/2020)","05/2022
(04/2025)","292.8
(292.8)",1.91,18
158,"Construction of two lane with paved shoulder Gangtok Bypass Road from
Ranipool to Burtuk Ch 0.00 Km to 23.316 L23.316 Km in the State of Sikkim
(MoRTH)
(618071)",Sikkim,"10/2021
(05/2022)","05/2024
(01/2025)","385.15
(342.89)",0,78
159,"Rehabilitation and up-gradation of road from km 16.077 to km 43.935 total length
27.858 km of Lalchara-Kanchanpur section via Shivbari on NH-44A to 2 lane with
paved shoulder in the state of Tripura on EPC Mode Pkg-2 under BharatMala
Pariyojana Manu-Simlung -2
(NHIDCL)
(618307)",Tripura,"02/2022
(01/2023)","01/2025
(04/2025)","456.88
(456.88)",0,0
160,"Construction of 4-Lane with paved shoulder Agartala bypass Western side, length
25.402 km connecting NH-8 near Amtali to NH-108B near Lembuchhera in the
state of Tripura on EPC basis under NHO-NE
(NHIDCL)
(618417)",Tripura,"03/2023
(03/2024)","03/2027
(-)","2026.05
(2026.05)",0,0
161,"Melaghar-Srimantapur section on NH-08 Spur from Km 23 to Km 34.500 11.5 Km
and overlay from Km 20.30 to Km 22.00 1.7 Km Total Length 13.2 Km
(NHIDCL)
(618411)",Tripura,"01/2023
(05/2023)","11/2024
(12/2025)","195.95
(195.95)",0,0
162,"Rehabilitation and up-gradation of road from design km 25.250 to km 36.460
Total lengh 11.210 km of Kailashahar-Kurti Bridge section on NH-208A to 2-lane
with paved shoulder on EPC basis under NHO Package-III- Balance Work
(NHIDCL)
(618385)",Tripura,"02/2020
(09/2024)","09/2025
(-)","174.43
(174.43)",0,0
163,"Rehabilitation & Upgradation of Road from Km 0.00 to Km 18.600 Total length-
18.600 km of Kumarghat-Kailashahar section on NH-208 to 2-lane with Paved
shoulder on EPC bais under NHO
(NHIDCL)
(618386)",Tripura,"02/2020
(07/2020)","01/2022
(10/2024)","277.5
(302.03)",0,0
164,"Improvement and Widening to 2-lane with paved shoulder of road from design
Km 36.000 Rangamati to design Km 72.000 Pati Chhari Total length 36.000 Km
on Teliamura to Harina section of NH 208 in the state of Tripura on EPC mode
under JICA ODA Loan Phase VI Package-3
(NHIDCL)
(618368)",Tripura,"01/2024
(09/2024)","09/2026
(-)","670.9
(670.9)",0,6
165,"Improvement and Widening to 2-lane with paved shoulder of road from existing
Km 438.170 Khowai Chowmuhani to existing Km 439.410 South Pulinpur of NH-
08 and from design Km 0.000 South Pulinpur to design Km 36.00 near
Rangamati of NH 208 on Khowai Teliamura- Harina section Total length 37.24 in
the state of Tripura on EPC mode under JICA ODA Loan Phase VI Package-2
(NHIDCL)
(618369)",Tripura,"01/2024
(09/2024)","09/2026
(-)","657.21
(657.21)",0,42
166,"Improvement and Widening to 2-lane with paved shoulder of road from Km
101.300 to km 127.319 Total Length 26.019 Km i.e. the Khowai Teliamura-
Amarpur-Harina-Sabroom section of NH 208 in the state of Tripura on EPC under
JICA ODA Loan Phase VI Package-1
(NHIDCL)
(618370)",Tripura,"01/2024
(07/2024)","07/2026
(-)","431.78
(431.78)",0,0
,Total (112),,,,62357.28,7723.6,
,Department of Telecommunications,,,,,,
,Telecommunication,,,,,,
167,"Provision of 4G based Mobile Services in Uncovered Villages and National
Highways of Meghalaya
(Department of Telecommunications)
(701598)",Meghalaya,"09/2019
(09/2020)","03/2022
(03/2026)","971.96
(971.96)",215.36,99
168,"Provision of 4G Mobile Services in Uncovered Villages of Arunachal Pradesh and
2 Districts of Assam
(Department of Telecommunications)
(701597)","Multi-States (Assam,
Arunachal Pradesh)","12/2020
(10/2021)","04/2023
(03/2026)","1255.49
(1255.49)",299.02,99
,Total (2),,,,2227.45,514.38,
,"Department of Water Resources, River Development & GR",,,,,,
,Water Resources,,,,,,
169,"Borolia Irrigation Project
(Department of Water Resources, River Development & GR)
(701370)",Assam,"04/1996
(12/1996)","12/2022
(03/2026)","256.16
(256.16)",44.7,55
170,"Thoubal Multipurpose Project
(Water Resources Department-MN)
(701400)",Manipur,"04/1997
(04/1997)","12/2019
(03/2026)","1449.44
(1822.24)",1837.91,98
,Total (2),,,,1705.6,1882.61,
