Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
978,"6L of Thalikulam to Kodugallur section from km 369.015 to km 397.850 of NH - 66 old
NH-17
(National Highways Authority of India [NHAI])
(618602)",Kerala,"06/2021
(09/2022)","02/2025
(11/2025)","4302.06
(4302.06)",618.13,80
979,"6L of Kodugallur to Edapppally section from km 397.750 to km 423.780 of NH - 66 old
NH-17
(National Highways Authority of India [NHAI])
(618603)",Kerala,"11/2021
(10/2022)","04/2025
(-)","3465.82
(3606.2)",767.36,64
980,"Aroor-Thuravoor Thekku
(National Highways Authority of India [NHAI])
(618604)",Kerala,"08/2022
(02/2023)","01/2026
(-)","2429.52
(2382.83)",1567.88,81
981,"Thuravoor Thekku-Paravoor
(National Highways Authority of India [NHAI])
(618605)",Kerala,"09/2021
(03/2022)","09/2024
(03/2026)","2878.97
(2638.67)",1880.96,65
982,"Paravoor-Kottankulangara
(National Highways Authority of India [NHAI])
(618606)",Kerala,"12/2021
(08/2022)","02/2025
(-)","3273.61
(3200.24)",1131.86,61
983,"Kottankulangara- Start of Kollam Bypass
(National Highways Authority of India [NHAI])
(618607)",Kerala,"06/2021
(04/2022)","10/2024
(-)","2842.14
(3680.49)",684.52,73
984,"Widening/Development of Existing NH-85 from Km 0.000 to Km 124.636 section to
2L/LPS section in the state of Kerala on EPC Mode under Bharatmala Pariyojana
(National Highways Authority of India [NHAI])
(618708)",Kerala,"09/2022
(06/2023)","06/2025
(-)","1187.47
(1265.47)",545.52,50
985,"Kargil Zanskar Road
(NHIDCL)
(618408)",Ladakh,"03/2021
(07/2021)","01/2023
(03/2025)","398.37
(398.37)",0,0
986,"Widening & Up-gradation to 2 lane with Paved shoulder of NH-301 Kargil- Zanskar
Road from Design km 57.000 Ex. Km. 57.905 to Km 87.000 Ex. Km. 88.2491 of
30.000 Km length Pkg-lll
(NHIDCL)
(618409)",Ladakh,"03/2021
(07/2021)","01/2023
(02/2025)","381.01
(381.01)",0,0
987,"Widening & Up-gradation to 2 lane with paved shoulder of NH-301 Kargil- Zanskar
Road from Design Km .30.040 Ex. Km. 30.000 to Design Km 57.000 Ex. Km. 57.905
of 26.960 Km length Pkg-II
(NHIDCL)
(618410)",Ladakh,"03/2021
(07/2021)","01/2023
(12/2026)","404.89
(404.89)",0,0
988,"Rehabilitation and upgradation Umaria to Shahdol section of NH-78 from Existing Km.
68/4 to Km. 142/2 to 2LPS including construction of Birshinghpur and Shahdol Bypass
on EPC mode under NHDP-IVA
(MoRTH)
(617911)",Madhya Pradesh,"03/2015
(08/2015)","07/2017
(07/2023)","511.83
(613.16)",0,0
989,"Upgradation of Dindori-Sagartola-kabichabutra MP-CG border section of NH -45 from
km 000Design to km 77.00 Design to Two lane with paved shoulder configration along
with one time improvement in 04 nos. of bypaased built-up areas in a total length of
9.1 km in the state of Madhya Pradesh on EPC mode.
(MoRTH)
(617915)",Madhya Pradesh,"01/2022
(09/2023)","09/2025
(-)","329.14
(319.09)",0,0
990,"Upgradation & widening of Jharkheda- Berasia - Dholkhedi from design km 0000 to
km 87900 Design length 87.90km of NH-346 including 3 nos. bypasses of 13.10 Km in
the State of Madhya Pradesh under EPC mode.
(MoRTH)
(618019)",Madhya Pradesh,"03/2022
(05/2023)","05/2025
(-)","365.21
(365.21)",0,0
991,"Rehabilitation & Upgradation of KurwaiMungaoliChanderi Road section of NH-346,
from Design Chainge 0.000 to 81.300 Km Total length 83.1 km to Two lane with paved
shoulder configuration along with One time improvement in 07 nos of bypassed built-
up areas in a total length of 22.615 km in the state of Madhya Pradesh on EPC mode.
(MoRTH)
(618020)",Madhya Pradesh,"03/2022
(02/2023)","02/2025
(07/2025)","386.49
(386.49)",160.38,0
992,"Construction of Mihona bypass, Lahar bypass, Daboh bypass & Bhander Bypass total
length 20.60 km to 2-lane with paved shoulder from on Mihona-Bhander-MP/UP
border section of NH 552E in the State of Madhya Pradesh on EPC mode
(MoRTH)
(618045)",Madhya Pradesh,"03/2022
(06/2023)","12/2024
(-)","179.18
(179.18)",71.77,67
993,"Construction of Kaithi-Padaria Kala bypass, Patna-Tamoli bypass, Jaso bypass and
Nagod bypass total length 15.44 Km to 2-lane with paved shoulders flexible pavement
on NH-943 in the State of Madhya Pradesh on EPC Mode.
(MoRTH)
(618068)",Madhya Pradesh,"03/2022
(10/2023)","10/2025
(-)","158.36
(158.36)",0,0
994,"Upgradation of Nasrullagani-Rehti-Budhni Scction to 2-lane with paved shoulder from
Km 0150 to Km 50500 of NH-146B in the state of Madhya Pradesh on EPC mode.
(MoRTH)
(618085)",Madhya Pradesh,"12/2021
(04/2023)","10/2024
(02/2025)","305.12
(293.74)",0,0
995,"Indore - Edlabad Pkg-II [Tejajinagar to Balwara]
(National Highways Authority of India [NHAI])
(618621)",Madhya Pradesh,"03/2022
(01/2023)","01/2025
(-)","1162.8
(1530.82)",484.47,79
996,"4L of Indore - Boregaon Pkg-III [Balwara to Dhangaon] from km. 42.260 to km. 82.660
of NH347BG & 753L
(National Highways Authority of India [NHAI])
(618622)",Madhya Pradesh,"01/2021
(04/2022)","04/2024
(05/2025)","1001.69
(888.81)",679.16,87
997,"4L Greenfield Rudhi to Deshgaon Pkg V of Betul-Khandwa/Deshgaon
(National Highways Authority of India [NHAI])
(618654)",Madhya Pradesh,"11/2022
(10/2023)","10/2025
(03/2026)","521.21
(469.68)",162.85,59
998,"i 4L Vidisha to Hinotiya from km 0.000 to Km 27.000 Vidisha Mehulwa-Talbehat Pkg-
I Section of NH- 346 and ii 4L Vidisha to Morikori from Km 39.000 to 59.476 section of
NH-146
(National Highways Authority of India [NHAI])
(618663)",Madhya Pradesh,"09/2022
(12/2023)","12/2025
(05/2026)","1003.87
(941.12)",305.39,70
999,"Berkhedi to Godpehra on NH-44 Sagar link road
(National Highways Authority of India [NHAI])
(618664)",Madhya Pradesh,"02/2022
(11/2022)","11/2024
(08/2025)","524.84
(471.31)",292.9,0
1000,"4L of Sagar - Mohari from Km.8 to Km.50 Pkg-I
(National Highways Authority of India [NHAI])
(618665)",Madhya Pradesh,"03/2021
(04/2022)","04/2024
(-)","790.78
(660.38)",411.38,75
