Sl.No,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
1,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,1,"763
763",430
,,Real Estate,2,"3841.25
3841.25",895.36
,,Total,3,"4,604.25","1,325.36"
2,Department of Higher Education,Education,29,"14711.41
14454",7931.02
,,Total,29,"14,711.41","7,931.02"
3,Department of Sports,Education,1,"906.47
611.74",571.72
,,Total,1,906.47,571.72
4,Department of Telecommunications,Telecommunication,14,"151923.46
274016",77298.1
,,Total,14,"151,923.46","77,298.10"
5,"Department of Water Resources, River Development
& GR",Waste & Water,8,"4039.12
4039.12",1643.05
,,Water Resources,41,"117826.11
221647",157621
,,Total,49,"121,865.23","159,264.05"
6,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,"21600.76
22814.8",10079.9
,,Total,26,"21,600.76","10,079.90"
7,Ministry of Coal,Coal,118,"188169.37
185625",47927.5
,,Electricity Generation,8,"51903.57
56446.7",27917.9
,,Railways,2,"3485.86
5002.87",2225.07
,,Total,128,"243,558.80","78,070.47"
8,Ministry of Health & Family Welfare,Healthcare,23,"17252.19
21471",8026.18
,,Total,23,"17,252.19","8,026.18"
9,Ministry of Housing & Urban Affairs,Construction,1,"644
644",136.51
,,Real Estate,4,"33749.85
33740.8",13033.9
,,Urban Public Transport,28,"335215.64
355797",208407
,,Waste & Water,22,"5389.29
5457.82",3955.3
,,Total,55,"374,998.78","225,532.71"
10,Ministry of Labour and Employment,Healthcare,13,"3234.03
3466.61",1845.4
,,Total,13,"3,234.03","1,845.40"
11,Ministry of Mines,Construction,1,"255.37
255.37",96.26
,,Metals & Mining,6,"8344.36
10724.5",7100.6
,,Total,7,"8,599.73","7,196.86"
12,Ministry of Petroleum & Natural Gas,Energy Storage,17,"81207.16
120038",98707.5
,,Oil & Gas,96,"367211.08
395613",191971
,,Total,113,"448,418.24","290,678.50"
13,"Ministry of Ports, Shipping and Waterways",Healthcare,1,"693
693",58
,,Inland Waterways,2,"5546.18
5258.15",4190.19
,,Shipping,9,"15124.41
15290.9",9338.98
,,"Tourism, Hospitality & Wellness",1,"573
1238.05",545.51
,,Total,13,"21,936.59","14,132.68"
14,Ministry of Power,Coal,2,"2083
2365",1007.16
,,Electricity Generation,30,"258786.76
313027",131207
,,Transmission & Distribution,69,"203950.25
209914",62393.4
,,Total,101,"464,820.01","194,607.56"
15,Ministry of Railways,Railways,245,"690121.29
839704",561724
,,Total,245,"690,121.29","561,724.00"
16,Ministry of Road Transport & Highways,Roads & Highways,1108,"1023675.67
1.05157e+006",323515
,,Total,1108,"1,023,675.67","323,515.00"
17,Ministry of Steel,Metals & Mining,1,"1700
1756.2",183.71
,,Steel,19,"18161.41
21399.7",9471.99
,,Total,20,"19,861.41","9,655.70"
Total,,,1948,"3,632,088.32","1,971,455.21"
