Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
29,Sikkim,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"323.26
323.26",68.04
,,Ministry of Health & Family Welfare,Healthcare,1,"250
635.21",655.21
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"9265
9265",6689.00
,,Ministry of Power,Electricity Generation,2,"6686.33
7576.15",5783.52
,,,Transmission & Distribution,1,"4754.42
9129.32",7951.63
,,Ministry of Railways,Railways,1,"7877
11775",10312.14
,,Ministry of Road Transport & Highways,Roads & Highways,8,"3158.89
3287.17",88.66
,,,Total,17,33314.72,32007.15
30,Tamil Nadu,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"1207
1207",250.29
,,Ministry of Coal,Electricity Generation,1,"218.03
218.03",166.55
,,Ministry of Health & Family Welfare,Healthcare,1,"1264
2021.51",441.29
,,Ministry of Housing & Urban Affairs,Urban Public Transport,1,"63246
63246",31451.38
,,Ministry of Labour and Employment,Healthcare,1,"152.95
177.01",123.22
,,Ministry of Mines,Metals & Mining,1,"166
166",135.00
,,Ministry of Petroleum & Natural Gas,Energy Storage,3,"2334
3448.71",1976.59
,,,Oil & Gas,4,"38385
46153",6498.64
,,Ministry of Power,Transmission & Distribution,1,"548
548",115.08
,,Ministry of Railways,Railways,6,"6938.7
7456.71",3541.19
,,Ministry of Road Transport & Highways,Roads & Highways,50,"61860.57
58070.9",18710.87
,,,Total,70,176320.25,63410.10
31,Telangana,Department of Higher Education,Education,1,"262
262",203.94
,,Department of Telecommunications,Telecommunication,3,"3923.59
3923.59",1226.29
,,"Department of Water Resources, River
Development & GR",Water Resources,4,"11670.14
24129.6",11936.59
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"500.48
500.48",368.21
,,Ministry of Coal,Coal,7,"2986.57
2986.57",1747.85
,,Ministry of Health & Family Welfare,Healthcare,1,"1028
1365.95",950.92
,,Ministry of Housing & Urban Affairs,Construction,1,"644
644",136.51
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,"215
215",38.16
,,Ministry of Power,Transmission & Distribution,2,"5694.56
5694.56",5293.99
,,Ministry of Railways,Railways,11,"19213.75
22977.8",14669.64
,,Ministry of Road Transport & Highways,Roads & Highways,56,"39336.09
42423.6",10994.09
,,,Total,88,85474.18,47566.19
32,Tripura,Ministry of Petroleum & Natural Gas,Energy Storage,1,"656
656",509.07
,,,Oil & Gas,2,"9474.33
9396.51",6767.98
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5506.73
,,Ministry of Road Transport & Highways,Roads & Highways,9,"6081.38
6105.91",254.99
,,,Total,13,21323.04,13038.77
33,Uttar Pradesh,Department of Higher Education,Education,1,"246
246",200.11
,,Department of Telecommunications,Telecommunication,4,"4220.71
3992.24",1454.03
,,"Department of Water Resources, River
Development & GR",Waste & Water,2,"1532.96
1532.96",243.43
,,,Water Resources,4,"23983.27
27339.8",13244.04
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,"3949.13
3949.13",1031.36
,,Ministry of Coal,Coal,2,"1328.09
1328.09",1099.25
,,,Electricity Generation,1,"17237.8
21780.9",20991.24
,,Ministry of Housing & Urban Affairs,Urban Public Transport,4,"55531.15
55531.2",42884.49
