Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
218,"Four Laning of Trichy - Dindigul from km. 333.00 to km. 421.273 of NH-45
(National Highways Authority of India [NHAI])
(618874)",Tamil Nadu,(01/2008),"07/2010
(-)","1003.11
(435.81)"
219,"Balance works of four lane from km 43.950 Thiruvallur Bypass to km 61.470
Veppampattu Bypass passing through Thannerkulam, Thozur and Sevapet Bypass
17.520 kms of Tirupathi- Tiruttani- Chennai section of NH 205
(National Highways Authority of India [NHAI])
(619222)",Tamil Nadu,"03/2022
(09/2022)","09/2024
(02/2025)","467.99
(699.68)"
220,"Rehabilitation and upgradation of NH-221 from km 121/0 to 165/0 Rudrampur to
Bhadrachalam section to two lane with paved shoulder under NHDPIV in the state of
Telangana through EPC mode
(MoRTH)
(619193)",Telangana,"01/2015
(02/2015)","02/2017
(07/2020)","295.47
(334.82)"
221,"Hyderabad - Maneguda
(National Highways Authority of India [NHAI])
(618944)",Telangana,"10/2021
(11/2024)","11/2026
(-)","958.86
(1218.49)"
222,"4L Access Controlled Greenfield Section Mancherial Warangal from Puttapaka village
at Design Ch. 35.300 Km to Pangidipalle village at Design Ch. 72.350 KmPackage-II
(National Highways Authority of India [NHAI])
(618812)",Telangana,"01/2023
(06/2025)","06/2027
(-)","1129.33
(1145.41)"
223,"4L Access Controlled Greenfield Section Mancherial Warangal from Narva village at
Design Ch. 3.834 Km to Puttapaka village at Design Ch. 35.300 Km Package-I
(National Highways Authority of India [NHAI])
(618813)",Telangana,"03/2023
(12/2024)","12/2026
(-)","1127.9
(1104.27)"
224,"4L Access Controlled Greenfield Highway section on NH-163G Warangal-Khammam
from Venkatpur village in Warangal District at Design Ch. 150.240 Km to
Thallasenkesa village in Mahabubabed District at Design Ch. 189.650 kmPackage-II
(National Highways Authority of India [NHAI])
(618815)",Telangana,"03/2023
(04/2024)","04/2026
(04/2026)","1092.88
(1083.11)"
225,"Widening to two/four lane with paved shoulders from Km.34.250 to Km.71.830 of NH-
365A on Kodad-Khammam-Kurvi road.
(MoRTH)
(618140)",Telangana,"10/2022
(02/2025)","01/2027
(-)","445.76
(-)"
226,"Widening to two lane with paved shoulders from Km 0/000 to Km 45/946 of Nizampet-
Narayankhed-bidar section of NH-161B in the state of Telangana under Annual Plan
2021-22 on EPC mode under NHO
(MoRTH)
(618091)",Telangana,"03/2022
(02/2024)","02/2026
(-)","512.98
(-)"
227,"Widening to 2 lane with paved shoulders from 0.00 to 32.970 ofAdilabadto Bela section
of NH 353B in the State of Telangana
(MoRTH)
(618130)",Telangana,"10/2022
(05/2024)","05/2026
(-)","490.92
(-)"
