Sl.No,STATE NAME,Allocated To,Sector,Project Count,"Original Cost
(Latest Revised Cost)
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
24,Nagaland,Ministry of Petroleum & Natural Gas,Oil & Gas,2,"9492.62
9492.62",6695.08
,,Ministry of Power,Transmission & Distribution,1,"5111.33
6700",5474.57
,,Ministry of Railways,Railways,2,"8786.7
8786.7",6006.95
,,Ministry of Road Transport & Highways,Roads & Highways,19,"6191.03
6745.08",703.09
,,,Total,25,29857.31,19141.39
25,Odisha,Department of Higher Education,Education,2,"1428.29
1042.06",867.08
,,Department of Telecommunications,Telecommunication,3,"7147.17
7147.17",2381.99
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"1556.46
5291.33",5560.14
,,Ministry of Coal,Coal,13,"37048.73
34740.4",13753.68
,,,Electricity Generation,1,"27212.96
27213",2616.26
,,Ministry of Labour and Employment,Healthcare,1,"164.6
164.6",16.40
,,Ministry of Mines,Metals & Mining,4,"6322
8702.17",5912.56
,,Ministry of Petroleum & Natural Gas,Energy Storage,2,"12886.34
14217",12763.55
,,,Oil & Gas,6,"25800.35
24283.5",16352.40
,,"Ministry of Ports, Shipping and Waterways",Shipping,1,"3004.63
3004.63",1277.52
,,Ministry of Power,Electricity Generation,1,"11843.75
12543",5442.33
,,,Transmission & Distribution,2,"3065.19
3065.19",41.22
,,Ministry of Railways,Railways,28,"43414.1
49171.3",31613.62
,,,Railways,1,"267.61
267.61",0.00
,,Ministry of Road Transport & Highways,Roads & Highways,28,"19570.95
22198.2",6426.29
,,,Total,95,200733.13,105025.04
26,Puducherry,Department of Higher Education,Education,1,"618.34
544.34",530.88
,,Ministry of Railways,Railways,1,"713
981",633.24
,,Ministry of Road Transport & Highways,Roads & Highways,3,"5669.29
5888.85",1489.49
,,,Total,5,7000.63,2653.61
27,Punjab,Department of Higher Education,Education,2,"559.3
559.3",329.51
,,"Department of Water Resources, River
Development & GR",Water Resources,2,"3727.07
5177.86",4333.05
,,Ministry of Health & Family Welfare,Healthcare,2,"650
924.75",0.00
,,Ministry of Housing & Urban Affairs,Waste & Water,2,"545.53
553.64",374.66
,,Ministry of Petroleum & Natural Gas,Oil & Gas,5,"12693.36
12693.4",8229.18
,,Ministry of Power,Transmission & Distribution,1,"5969
5969",1049.35
,,Ministry of Railways,Railways,3,"15702.64
15703",96912.57
,,Ministry of Road Transport & Highways,Roads & Highways,31,"42503.92
47280.3",19966.25
,,,Total,48,82350.82,131194.57
28,Rajasthan,Department of Telecommunications,Telecommunication,2,"758.54
530.07",387.43
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,"2874
2874",829.90
,,Ministry of Coal,Electricity Generation,1,"1813
1813",1752.16
,,Ministry of Petroleum & Natural Gas,Energy Storage,3,"52618.05
88948.1",71985.94
,,,Oil & Gas,2,"10599
10599",6722.93
,,Ministry of Power,Transmission & Distribution,21,"75547.23
75547.2",21124.86
,,Ministry of Railways,Railways,23,"88788.95
165500",150922.53
,,Ministry of Road Transport & Highways,Roads & Highways,20,"14198.21
13977.3",7497.56
,,,Total,75,247196.98,261223.31
29,Sikkim,Department of Higher Education,Education,2,"999.82
924.82",450.25
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,"323.26
323.26",51.21
,,Ministry of Health & Family Welfare,Healthcare,1,"250
635.21",645.21
