Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
133,"4-Laning of Vairengte - Chhimluang section Package-3 of NH-306 from Existing
Chainage km 43000 to Km 59700 Design Chainage km 46000 to km 60850 on Silchar
- Vairengte- Sairang road in the State of Mizoram under Bharatmala Pariyojna under
NHO-NE. Package-1&2 in Assam state
(NHIDCL)
(618316)",Mizoram,"12/2021
(07/2025)","01/2027
(-)","491.39
(-)"
134,"4-Laning of chhimluang-Kolasib from section pkg-4 of NH-306 & NH-6 existing
chainage km 59700 to km 86000 design chainage km 61000 to km 77500 on Silchar-
vairengte-sairang road in the state of Mizoram under Bharatmala Pariyojna on EPC
mode Vairengte - Sairang Pkg-4
(NHIDCL)
(618317)",Mizoram,"12/2021
(07/2025)","01/2027
(-)","561.91
(-)"
135,"4-Laning of Kolasib - Sethawn section Package-5 of NH-6 from Existing Chainage km
86000 to km 107850 Design Chainage km 77500 to km 95500 on silchar - vairengte -
sairang road under Bharatmala Pariyojna on EPC mode under NHO-NE Vairengte -
Sairang Pkg-5
(NHIDCL)
(618318)",Mizoram,"11/2021
(07/2025)","07/2027
(-)","720.4
(-)"
136,"4-Laning of Sethawn - N. Kawnpui section Package-6 of NH-6 from Existing Chainage
km 107850 to km 126315 Design Chainage km 95500 to km 111850 on Silchar-
Vairengte- Sairang road, Vairengte - Sairang Pkg-6
(NHIDCL)
(618319)",Mizoram,"12/2021
(07/2025)","01/2027
(-)","595.65
(-)"
137,"Construction of 4-Laning of N. Kawnpui N. Mualvum Mualkhang via Khamrang Village
section Package-7 of NH-6 from Existing Chainage km 127200 to km 142000 Design
Chainage km 111850 to km 123400 on Silchar - Vairengte - Sairang road in the State
of Mizoram on EPC mode
(NHIDCL)
(618320)",Mizoram,"02/2024
(10/2025)","10/2028
(-)","866.32
(-)"
138,"Construction of 4-Laning of West Serawlg-Sairang section of NH-6 from Existing
Chainage km 142000 to km 158900 Design Chainage km 123400 to km 136260 on
Silchar - Vairengte - Sairang road in the State of Mizoram under Bharatmala Pariyojna
on EPC mode under NHO-NE Package-8
(NHIDCL)
(618321)",Mizoram,"02/2024
(11/2025)","11/2028
(-)","875.79
(-)"
139,"Construction of Twin Tube Uni-directional Aizawl Bypass Tunnel of 2.5 km and its
approaches of 2.1 km from km 10.600 to km 15.200 on Sarrang - Phaibawk section of
NH-6 in the State of Mizoram on EPC Mode under NHO-NE Package-2
(NHIDCL)
(618323)",Mizoram,"01/2024
(12/2025)","12/2028
(-)","1313.28
(-)"
140,"Construction of 2-lane Aizawl Bypass from km 15.200 to km 34.500 Package-3 on
Sairang - Phaibawk section of NH-6 in the State of Mizoram under Bharatmala
Pariyojna on EPC Mode under NHO-NE
(NHIDCL)
(618324)",Mizoram,"02/2023
(10/2025)","11/2028
(-)","720.72
(-)"
141,"Walajahpet/Ranipet to TN/AP Border Section of from Km.106.800 to Km.133.36 NH-4
(National Highways Authority of India [NHAI])
(618769)","Multi-States (Andhra Pradesh,
Tamil Nadu)","12/2024
(09/2025)","09/2027
(-)","1338.14
(1214.7)"
142,"6 laning of Balance Work of Chennai - Tada from km. 21.40 to km. 54.40
(National Highways Authority of India [NHAI])
(619077)","Multi-States (Andhra Pradesh,
Tamil Nadu)","12/2017
(03/2018)","03/2020
(09/2022)","464.62
(472.37)"
